run,estimate_fungicide,lower_fungicide,upper_fungicide,estimate_herbicide,lower_herbicide,upper_herbicide,estimate_insecticide,lower_insecticide,upper_insecticide
1,-0.7598,-1.6558,0.1362,-1.0897,-1.438,-0.7414,-0.2494,-0.6153,0.1166
2,-0.769,-1.6615,0.1236,-1.0916,-1.4377,-0.7454,-0.2515,-0.6147,0.1117
3,-0.7609,-1.6561,0.1343,-1.0888,-1.4369,-0.7408,-0.2513,-0.6165,0.1139
4,-0.7658,-1.6612,0.1297,-1.0886,-1.4366,-0.7406,-0.2579,-0.6238,0.108
5,-0.7533,-1.649,0.1424,-1.0883,-1.4375,-0.7391,-0.2564,-0.6223,0.1094
6,-0.7665,-1.6641,0.1311,-1.1005,-1.4516,-0.7494,-0.2516,-0.6183,0.1152
7,-0.7688,-1.6624,0.1248,-1.0862,-1.432,-0.7404,-0.2533,-0.6176,0.111
8,-0.767,-1.6618,0.1278,-1.1085,-1.4589,-0.758,-0.258,-0.6231,0.1071
9,-0.7683,-1.6636,0.1269,-1.0812,-1.4294,-0.7329,-0.2551,-0.6203,0.1102
10,-0.7655,-1.6601,0.1291,-1.087,-1.4384,-0.7355,-0.2527,-0.6182,0.1128
11,-0.7633,-1.6601,0.1335,-1.0967,-1.4466,-0.7468,-0.2585,-0.6249,0.10780000000000001
12,-0.7645,-1.6599,0.1308,-1.0952,-1.4439,-0.7466,-0.2519,-0.6176,0.1138
13,-0.7685,-1.6632,0.1262,-1.095,-1.4417,-0.7484,-0.2538,-0.6191,0.1116
14,-0.7651,-1.6588,0.1287,-1.0894,-1.4354,-0.7433,-0.2501,-0.6149,0.1148
15,-0.7676,-1.6635,0.1282,-1.095,-1.4452,-0.7448,-0.2528,-0.619,0.1134
16,-0.7689,-1.6605,0.1228,-1.0896,-1.4359,-0.7432,-0.2557,-0.6183,0.107
17,-0.7627,-1.6587,0.1334,-1.087,-1.4377,-0.7363,-0.2516,-0.6185,0.1154
18,-0.7671,-1.6605,0.1263,-1.0787,-1.4258,-0.7316,-0.248,-0.613,0.117
19,-0.7689,-1.6653,0.1275,-1.0862,-1.4324,-0.7401,-0.2581,-0.6248,0.1087
20,-0.7671,-1.6613,0.1272,-1.083,-1.4306,-0.7353,-0.2528,-0.6179,0.1122
21,-0.7391,-1.6349,0.1568,-1.0838,-1.4329,-0.7347,-0.2536,-0.6195,0.1123
22,-0.7676,-1.6593,0.1242,-1.0828,-1.428,-0.7376,-0.2513,-0.6155,0.1128
23,-0.763,-1.657,0.131,-1.0923,-1.4398,-0.7449,-0.2517,-0.6167,0.1132
