DATA_ID,estimate_fungicide,lower_fungicide,upper_fungicide,estimate_herbicide,lower_herbicide,upper_herbicide,estimate_insecticide,lower_insecticide,upper_insecticide
563,-0.7546,-1.6293,0.1202,-0.9837,-1.3404,-0.6271,-0.2398,-0.5945,0.1149
565,-0.7538,-1.629,0.1214,-0.9778,-1.3347,-0.6208,-0.239,-0.5939,0.1159
467,-0.7537,-1.6297,0.1224,-0.9791,-1.3361,-0.6221,-0.2475,-0.6054,0.1105
476,-0.754,-1.6281,0.1201,-0.9778,-1.3337,-0.622,-0.2392,-0.5936,0.1153
477,-0.754,-1.628,0.1201,-0.9778,-1.3336,-0.622,-0.239,-0.5935,0.1154
478,-0.7538,-1.6278,0.1203,-0.9778,-1.3336,-0.622,-0.239,-0.5935,0.1154
479,-0.7539,-1.628,0.1202,-0.9778,-1.3337,-0.622,-0.2393,-0.5938,0.1152
480,-0.754,-1.6281,0.1201,-0.9778,-1.3337,-0.622,-0.2392,-0.5937,0.1153
481,-0.7538,-1.6279,0.1202,-0.9778,-1.3336,-0.622,-0.239,-0.5935,0.1155
482,-0.754,-1.6281,0.1201,-0.9778,-1.3336,-0.622,-0.239,-0.5935,0.1154
483,-0.7539,-1.628,0.1202,-0.9779,-1.3337,-0.622,-0.2393,-0.5938,0.1152
484,-0.7537,-1.6278,0.1205,-0.9779,-1.3338,-0.622,-0.2396,-0.5941,0.115
485,-0.7536,-1.6277,0.1204,-0.9778,-1.3336,-0.622,-0.239,-0.5935,0.1155
486,-0.7538,-1.6279,0.1202,-0.9778,-1.3336,-0.622,-0.2391,-0.5935,0.1154
487,-0.7538,-1.6278,0.1202,-0.9778,-1.3336,-0.622,-0.2388,-0.5932,0.1157
569,-0.7457,-1.6242,0.1328,-0.9778,-1.3339,-0.6218,-0.2388,-0.5935,0.116
570,-0.7454,-1.6209,0.13,-0.9778,-1.3337,-0.6218,-0.2388,-0.5934,0.1158
571,-0.7681,-1.6424,0.1062,-0.9779,-1.3336,-0.6222,-0.2395,-0.5939,0.1149
572,-0.7851,-1.6605,0.0903,-0.978,-1.3336,-0.6225,-0.2401,-0.5944,0.1141
