DATA_ID,estimate_fungicide,lower_fungicide,upper_fungicide,estimate_herbicide,lower_herbicide,upper_herbicide,estimate_insecticide,lower_insecticide,upper_insecticide
563,-0.0763,-1.0034,0.8508,-0.9802,-1.3,-0.6604,-0.1961,-0.5173,0.125
565,-0.0761,-1.0037,0.8515,-0.9747,-1.2947,-0.6546,-0.1956,-0.517,0.1258
467,-0.0778,-1.0059,0.8503,-0.9751,-1.295,-0.6551,-0.2029,-0.527,0.1211
476,-0.0763,-1.0027,0.8501,-0.9742,-1.2932,-0.6552,-0.1956,-0.5167,0.1254
477,-0.0762,-1.0026,0.8501,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
478,-0.0761,-1.0025,0.8503,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
479,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1958,-0.5168,0.1253
480,-0.0763,-1.0027,0.8502,-0.9742,-1.2932,-0.6552,-0.1957,-0.5167,0.1254
481,-0.0762,-1.0025,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
482,-0.0762,-1.0026,0.8501,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
483,-0.0762,-1.0027,0.8502,-0.9742,-1.2932,-0.6552,-0.1958,-0.5168,0.1252
484,-0.0762,-1.0026,0.8503,-0.9743,-1.2933,-0.6552,-0.1961,-0.5171,0.125
485,-0.0761,-1.0024,0.8503,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
486,-0.0762,-1.0025,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
487,-0.0761,-1.0024,0.8502,-0.9742,-1.2931,-0.6552,-0.1952,-0.5162,0.1258
571,-0.0738,-1.0002,0.8526,-0.9742,-1.2932,-0.6552,-0.1954,-0.5164,0.1256
572,-0.1011,-1.0286,0.8265,-0.9743,-1.2934,-0.6552,-0.1963,-0.5174,0.1248
573,-0.1018,-1.0304,0.8269,-0.9743,-1.2934,-0.6552,-0.1963,-0.5175,0.1248
574,-0.0896,-1.0169,0.8376,-0.9742,-1.2932,-0.6552,-0.196,-0.517,0.1251
575,-0.0691,-0.9956,0.8575,-0.9742,-1.2931,-0.6552,-0.1953,-0.5163,0.1257
576,-0.0748,-1.0012,0.8515,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
468,-0.0761,-1.0025,0.8502,-0.9742,-1.2931,-0.6552,-0.1952,-0.5162,0.1258
469,-0.0762,-1.0025,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
470,-0.0761,-1.0025,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
471,-0.0762,-1.0027,0.8502,-0.9742,-1.2932,-0.6552,-0.1959,-0.5169,0.1251
472,-0.0762,-1.0026,0.8501,-0.9742,-1.2932,-0.6552,-0.1955,-0.5166,0.1255
473,-0.0762,-1.0026,0.8501,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
474,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
475,-0.0762,-1.0026,0.8502,-0.9742,-1.2931,-0.6552,-0.1954,-0.5164,0.1256
539,-0.0759,-1.0029,0.851,-0.9709,-1.291,-0.6509,-0.1952,-0.5166,0.1261
558,-0.0801,-1.0173,0.8572,-0.9742,-1.2938,-0.6546,-0.1945,-0.5182,0.1293
559,-0.1119,-1.1085,0.8847,-0.9743,-1.2938,-0.6548,-0.1949,-0.5165,0.1267
492,-0.0759,-1.0042,0.8525,-0.9742,-1.2943,-0.6541,-0.1954,-0.5196,0.1288
547,-0.0756,-0.9986,0.8475,-0.9665,-1.2851,-0.6478,-0.1951,-0.5155,0.1253
548,-0.076,-1.0029,0.8508,-0.9716,-1.2906,-0.6525,-0.1951,-0.5161,0.126
549,-0.0762,-1.0038,0.8514,-0.9749,-1.2941,-0.6557,-0.1954,-0.5167,0.1258
550,-0.076,-1.0022,0.8503,-0.9705,-1.2895,-0.6515,-0.195,-0.516,0.1259
551,-0.0761,-1.0033,0.8511,-0.9726,-1.2917,-0.6535,-0.1952,-0.5163,0.126
552,-0.076,-1.0002,0.8483,-0.9798,-1.299,-0.6606,-0.1968,-0.5178,0.1241
553,-0.0762,-1.0038,0.8514,-0.9751,-1.2943,-0.6559,-0.1955,-0.5167,0.1258
554,-0.0761,-1.0034,0.8512,-0.973,-1.2921,-0.6539,-0.1952,-0.5163,0.126
555,-0.0758,-0.9977,0.8462,-0.9809,-1.3,-0.6618,-0.1975,-0.5181,0.1232
540,-0.1312,-1.1163,0.8539,-0.9745,-1.2943,-0.6546,-0.1975,-0.5195,0.1245
493,-0.0762,-1.0035,0.851,-0.9792,-1.2988,-0.6596,-0.1961,-0.5175,0.1252
494,-0.0762,-1.0038,0.8514,-0.9761,-1.2956,-0.6565,-0.1956,-0.517,0.1257
495,-0.0761,-1.0036,0.8514,-0.9718,-1.2913,-0.6523,-0.1951,-0.5164,0.1262
496,-0.076,-1.0031,0.8512,-0.9697,-1.2892,-0.6502,-0.195,-0.5162,0.1263
566,-0.0824,-1.0077,0.843,-0.977,-1.2955,-0.6585,-0.2199,-0.5426,0.1028
583,-0.0761,-1.0025,0.8504,-0.9744,-1.2934,-0.6553,-0.1955,-0.5166,0.1255
584,-0.0761,-1.0025,0.8504,-0.9744,-1.2934,-0.6553,-0.1955,-0.5166,0.1255
556,-0.0784,-1.0056,0.8488,-0.9753,-1.2946,-0.656,-0.2046,-0.5268,0.1176
