DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,BIO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,GUIDELINES,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES,SOURCE,AI_N_INDIVIDUAL,FORM_N_INDIVIDUAL,AI_SE_INDIVIDUAL,FORM_SE_INDIVIDUAL,AI_BIGGEST_CI_ARM,FORM_BIGGEST_CI_ARM,REASON_EXCLUSION,LRR,LRR_VAR_INDIVIDUAL,TIME_SIMPLE
563,119,glyphosate,100,LC50,NA,NA,imputed,4,30,"120 individuals total, batch of 30",Glyphosat TF,100,LC50,NA,NA,imputed,4,30,"120 individuals total, batch of 30",4 parameter logistic,119_ai_a,119_form_b,119_1,1,Xenopus laevis,African clawed frog,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,216,herbicide,NO,NO,NA,environmental,Acute,14,NA,NA,2-cell stage,NO,NA,NA,YES,soluble concentrate,YES,NA,2024,Computed from data extracted from the figures,Lisa,120,120,1.8406058621438601,4.130399025844709,NA,NA,NA,0,0.0020448026052457264,1
565,119,glyphosate,100,LC50,NA,NA,imputed,4,30,"120 individuals total, batch of 30",Helosate,59.815,LC50,NA,NA,imputed,5,30,"150 individuals total, batch of 30",4 parameter logistic,119_ai_a,119_form_d,119_3,1,Xenopus laevis,African clawed frog,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,216,herbicide,NO,NO,NA,environmental,Acute,14,NA,NA,2-cell stage,NO,NA,NA,YES,soluble concentrate,YES,NA,2024,No SE from the computing because few points,Lisa,120,150,8.089550793884085,0.2668986330741391,NA,NA,NA,-0.5139137203652239,0.006563993260839128,1
467,120,lambda‐cyhalothrin,469.9,LC50,117.8,117.8,SE,4,10,"10 larvae/dish, 4 replicates",Zero ® (5% LCT),655.5,LC50,25.8,25.8,SE,4,10,"10 larvae/dish, 4 replicates",Logistic,120_ai_a,120_form_a,120_1,1,Boana pulchella,Montevideo tree frog,"El Pescado stream, Argentina",Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,96,insecticide,NO,NO,NA,environmental,Acute,25,8,No feeding,Stage 25,NO,NA,120,NO,emulsifiable concentrate,YES,NA,2024,"Didn't found information on the type of formulation, even after quick search on Internet",Lisa,40,40,117.8,25.8,NA,NA,NA,0.3328783970949846,0.06439544857687797,1
476,130,chlorpyrifos,135.34,LC50,18.277,19.706,CI_95,3,5,"5 individuals/becher, 3 replicates",Dursban ®,71.761,LC50,8.565,8.97,CI_95,3,5,"5 individuals/becher, 3 replicates",Probit,130_ai_a,130_form_a,130_1,1,Duttaphrynus melanostictus,Asian common toad,"Pond in Kalyani, Nadia district, West Bengal, India",Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Tadpoles,24,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,15,15,9.187860084645957,4.182234089073086,19.706,8.97,NA,-0.6344489778106125,0.008005241668728673,1
477,130,chlorpyrifos,126.205,LC50,15.585,17.622,CI_95,3,5,"5 individuals/becher, 3 replicates",Dursban ®,64.112,LC50,8.852,9.717,CI_95,3,5,"5 individuals/becher, 3 replicates",Probit,130_ai_a,130_form_a,130_1,1,Duttaphrynus melanostictus,Asian common toad,"Pond in Kalyani, Nadia district, West Bengal, India",Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Tadpoles,48,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,15,15,8.21620168535629,4.530520473079507,17.622,9.717,NA,-0.6772760150798335,0.009231917912725525,2
478,130,chlorpyrifos,118.507,LC50,14.139,15.955,CI_95,3,5,"5 individuals/becher, 3 replicates",Dursban ®,55.224,LC50,10.356,11.467,CI_95,3,5,"5 individuals/becher, 3 replicates",Probit,130_ai_a,130_form_a,130_1,1,Duttaphrynus melanostictus,Asian common toad,"Pond in Kalyani, Nadia district, West Bengal, India",Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Tadpoles,72,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,15,15,7.438968215291092,5.346452430256531,15.955,11.467,NA,-0.7635743891593034,0.013313310476696351,3
479,130,chlorpyrifos,101.828,LC50,15.027,17.892,CI_95,3,5,"5 individuals/becher, 3 replicates",Dursban ®,52.568,LC50,9.992,11.012,CI_95,3,5,"5 individuals/becher, 3 replicates",Probit,130_ai_a,130_form_a,130_1,1,Duttaphrynus melanostictus,Asian common toad,"Pond in Kalyani, Nadia district, West Bengal, India",Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Tadpoles,96,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,15,15,8.342088330177887,5.134310121390505,17.892,11.012,NA,-0.6611775458176957,0.01625083614077987,4
480,130,chlorpyrifos,464.97,LC50,68.609,68.509,CI_95,3,10,"10 individuals/becher, 3 replicates",Dursban ®,179.594,LC50,14.798,15.228,CI_95,3,10,"10 individuals/becher, 3 replicates",Probit,130_ai_e,130_form_e,130_2,1,Branchiura sowerbyi,NA,"Aquarium shop in Kalyani, Nadia district, West Bengal, India",Clitellata,Annelida,Animalia,Aquatic,Mature,24,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,30,30,33.545866237522645,7.445618666137022,68.609,15.228,NA,-0.9512741396393984,0.006923859617679908,1
481,130,chlorpyrifos,442.521,LC50,65.405,65.493,CI_95,3,10,"10 individuals/becher, 3 replicates",Dursban ®,161.583,LC50,12.678,12.598,CI_95,3,10,"10 individuals/becher, 3 replicates",Probit,130_ai_e,130_form_e,130_2,1,Branchiura sowerbyi,NA,"Aquarium shop in Kalyani, Nadia district, West Bengal, India",Clitellata,Annelida,Animalia,Aquatic,Mature,48,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,30,30,32.02232094177252,6.198814909987205,65.493,12.678,NA,-1.0074689784155322,0.00670818336785286,2
482,130,chlorpyrifos,371.956,LC50,62.584,63.496,CI_95,3,10,"10 individuals/becher, 3 replicates",Dursban ®,148.931,LC50,12.585,12.603,CI_95,3,10,"10 individuals/becher, 3 replicates",Probit,130_ai_e,130_form_e,130_2,1,Branchiura sowerbyi,NA,"Aquarium shop in Kalyani, Nadia district, West Bengal, India",Clitellata,Annelida,Animalia,Aquatic,Mature,72,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,30,30,31.0459024707799,6.1621442112769165,63.496,12.603,NA,-0.9152924562685515,0.008678632797639259,3
483,130,chlorpyrifos,303.675,LC50,57.964,59.325,CI_95,3,10,"10 individuals/becher, 3 replicates",Dursban ®,135.026,LC50,12.592,12.701,CI_95,3,10,"10 individuals/becher, 3 replicates",Probit,130_ai_e,130_form_e,130_2,1,Branchiura sowerbyi,NA,"Aquarium shop in Kalyani, Nadia district, West Bengal, India",Clitellata,Annelida,Animalia,Aquatic,Mature,96,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,30,30,29.006522679838376,6.210060590925027,59.325,12.701,NA,-0.8104906980988849,0.011238973935868686,4
484,130,chlorpyrifos,1881.733,LC50,241.442,243.842,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Dursban ®,853.182,LC50,120.737,123.81,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Probit,130_ai_i,130_form_i,130_3,1,Pila globosa,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Gastropoda,Mollusca,Animalia,Aquatic,Medium sized,24,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,15,15,113.69056017254844,57.72602035319273,243.842,123.81,NA,-0.7909755504018479,0.008228167916199394,1
485,130,chlorpyrifos,1801.424,LC50,241.917,240.663,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Dursban ®,685.961,LC50,109.281,113.73,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Probit,130_ai_i,130_form_i,130_3,1,Pila globosa,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Gastropoda,Mollusca,Animalia,Aquatic,Medium sized,48,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,15,15,112.79303501965371,53.026252279853075,241.917,113.73,NA,-0.9655119674340802,0.009896041355116115,2
