Dose ,Treatment ,Species ,Response_mean_SE
0,Moxidectin_ai,Achillea ptarmica L.,15.4 ± 4.5
0.1,Moxidectin_ai,Achillea ptarmica L.,13.7 ± 4.4
1,Moxidectin_ai,Achillea ptarmica L.,15.1 ± 2.3
10,Moxidectin_ai,Achillea ptarmica L.,14.6 ± 1.6
0,Moxidectin_ai,Centaurea jacea L.,15.4 ± 1.7
0.1,Moxidectin_ai,Centaurea jacea L.,27.1 ± 1.6
1,Moxidectin_ai,Centaurea jacea L.,26.6 ± 2.1
10,Moxidectin_ai,Centaurea jacea L.,28.0 ± 1.6
0,Moxidectin_ai,Hypochaeris radicata L.,93.4 ± 1.4
0.1,Moxidectin_ai,Hypochaeris radicata L.,94.0 ± 1.8
1,Moxidectin_ai,Hypochaeris radicata L.,98.9 ± 0.4
10,Moxidectin_ai,Hypochaeris radicata L.,92.0 ± 1.5
0,Moxidectin_ai,Cerastium holosteoides Fr.,35.1 ± 3.9
0.1,Moxidectin_ai,Cerastium holosteoides Fr.,40.3 ± 2.6
1,Moxidectin_ai,Cerastium holosteoides Fr.,34.6 ± 5.5
10,Moxidectin_ai,Cerastium holosteoides Fr.,41.7 ± 3.4
0,Moxidectin_ai,Dianthus deltoides L.,18.9 ± 1.9
0.1,Moxidectin_ai,Dianthus deltoides L.,16.0 ± 3.2
1,Moxidectin_ai,Dianthus deltoides L.,24.0 ± 2.3
10,Moxidectin_ai,Dianthus deltoides L.,17.7 ± 2.6
0,Moxidectin_ai,Lychnis flos-cuculi L.,12.3 ± 2.6
0.1,Moxidectin_ai,Lychnis flos-cuculi L.,20.9 ± 3.1
1,Moxidectin_ai,Lychnis flos-cuculi L.,17.4 ± 3.5
10,Moxidectin_ai,Lychnis flos-cuculi L.,19.1 ± 3.8
0,Moxidectin_ai,Hippocrepis comosa L.,17.4 ± 2.2
0.1,Moxidectin_ai,Hippocrepis comosa L.,21.1 ± 1.4
1,Moxidectin_ai,Hippocrepis comosa L.,22.0 ± 2.1
10,Moxidectin_ai,Hippocrepis comosa L.,15.4 ± 2.2
0,Moxidectin_ai,Medicago lupulina L,18.6 ± 3.0
0.1,Moxidectin_ai,Medicago lupulina L,16.3 ± 2.0
1,Moxidectin_ai,Medicago lupulina L,18.0 ± 2.8
10,Moxidectin_ai,Medicago lupulina L,17.4 ± 1.9
0,Moxidectin_ai,Trifolium aureum POLLICH,70.6 ± 3.1
0.1,Moxidectin_ai,Trifolium aureum POLLICH,72.3 ± 2.7
1,Moxidectin_ai,Trifolium aureum POLLICH,68.9 ± 3.0
10,Moxidectin_ai,Trifolium aureum POLLICH,67.7 ± 2.3
0,Moxidectin_ai,Trifolium pratense L.,81.4 ± 1.9
0.1,Moxidectin_ai,Trifolium pratense L.,85.4 ± 1.7
1,Moxidectin_ai,Trifolium pratense L.,81.7 ± 2.6
10,Moxidectin_ai,Trifolium pratense L.,82.6 ± 4.5
0,Moxidectin_ai,Plantago lanceolata L.,21.4 ± 4.1
0.1,Moxidectin_ai,Plantago lanceolata L.,31.4 ± 5.7
1,Moxidectin_ai,Plantago lanceolata L.,33.7 ± 3.4
10,Moxidectin_ai,Plantago lanceolata L.,39.4 ± 3.1
0,Moxidectin_ai,Plantago media L.,7.7 ± 2.2
0.1,Moxidectin_ai,Plantago media L.,10.0 ± 2.3
1,Moxidectin_ai,Plantago media L.,12.9 ± 2.7
10,Moxidectin_ai,Plantago media L.,17.1 ± 1.6
0,Moxidectin_ai,Veronica officinalis L.,4.9 ± 1.7
0.1,Moxidectin_ai,Veronica officinalis L.,7.7 ± 2.8
1,Moxidectin_ai,Veronica officinalis L.,16.9 ± 6.8
10,Moxidectin_ai,Veronica officinalis L.,7.1 ± 2.3
