Dose ,Treatment ,Response_mean,Response_SE_up,Response_SE_low
0,Propiconazole_24,11.6547,12.8537,10.5036
10,Propiconazole_24,12.0863,13.3813,10.8393
50,Propiconazole_24,10.5995,11.4149,9.7842
100,Propiconazole_24,10.3597,11.3189,9.4005
150,Propiconazole_24,5.8993,8.777,3.0695
0,Propiconazole_48,14.4844,14.9161,14.0528
10,Propiconazole_48,15.5396,15.9233,15.2038
50,Propiconazole_48,10.3597,11.5588,9.2086
100,Propiconazole_48,8.4892,9.976,7.0504
150,Propiconazole_48,4.4125,6.5707,2.2062
0,Mentor_24,13.1081,14.1892,12.0721
10,Mentor_24,9.7748,10.9009,8.7387
50,Mentor_24,7.027,8.6486,5.4054
100,Mentor_24,3.4685,3.9189,3.0631
150,Mentor_24,7.8378,11.8919,3.8288
0,Mentor_48,12.2523,13.6036,10.991
10,Mentor_48,8.6036,11.0811,6.1712
50,Mentor_48,11.3514,12.8378,9.8198
100,Mentor_48,11.036,11.7568,10.3604
150,Mentor_48,13.1532,14.2342,12.0721
0,PropiStar_24,14.6545,16.3508,13.0524
10,PropiStar_24,11.8272,13.1466,10.5079
50,PropiStar_24,10.6021,14.7958,6.4555
100,PropiStar_24,3.4869,3.7696,3.1571
150,PropiStar_24,4.1937,4.3351,4.0052
0,PropiStar_48,12.4869,13.6649,11.2147
10,PropiStar_48,11.8743,13.2408,10.5079
50,PropiStar_48,9.6597,9.7539,9.377
100,PropiStar_48,1.2723,2.0733,0.5183
150,PropiStar_48,1.178,1.6492,0.6597
0,Metconazole_24,13.2868,14.005,12.5686
10,Metconazole_24,11.7606,13.9601,9.5611
50,Metconazole_24,6.8678,8.798,4.9825
100,Metconazole_24,5.5212,6.7332,4.3092
150,Metconazole_24,7.1372,8.2145,6.015
0,Metconazole_48,9.6958,12.2544,7.1372
10,Metconazole_48,8.7082,9.3367,7.99
50,Metconazole_48,6.8229,7.2718,6.419
100,Metconazole_48,6.4638,8.0349,4.8928
150,Metconazole_48,8.2594,10.5037,6.015
0,Quash_24,9.2847,9.8102,8.7591
10,Quash_24,8.0146,9.7226,6.3066
50,Quash_24,9.1095,10.5109,7.6204
100,Quash_24,9.854,10.4234,9.2847
150,Quash_24,9.9854,10.3796,9.5912
0,Quash_48,15.2847,15.3723,15.1095
10,Quash_48,9.1095,9.5474,8.6715
50,Quash_48,6.3942,7.1387,5.6934
100,Quash_48,6.438,8.0146,4.9051
150,Quash_48,6.0876,7.7518,4.5109
0,Caramba_24,8.0053,10.9421,5.0684
10,Caramba_24,4.1684,5.8737,2.4632
50,Caramba_24,3.3158,3.3158,3.3158
100,Caramba_24,2.5105,2.5579,2.3684
150,Caramba_24,3.8368,3.8842,3.6947
0,Caramba_48,12.7895,12.7895,12.7895
10,Caramba_48,9.6158,11.7474,7.4368
50,Caramba_48,1.5632,1.5632,1.5632
100,Caramba_48,2.4158,2.4158,2.4158
150,Caramba_48,3.2211,3.2211,3.2211
