Dose,Treatment ,Response
0.1,Glyphosate_4,97
1,Glyphosate_4,90
10,Glyphosate_4,85
100,Glyphosate_4,96
1000,Glyphosate_4,100
10000,Glyphosate_4,100
0.1,Roundup_4,91.30020659
1,Roundup_4,100
10,Roundup_4,100
100,Roundup_4,25.1916279
1000,Roundup_4,40.4005782
10000,Roundup_4,26.61815855
0.1,Fozat_4,100
1,Fozat_4,100
10,Fozat_4,100
100,Fozat_4,23.76309636
1000,Fozat_4,22.95405028
10000,Fozat_4,6.639772185
0.1,Glyfos_4,99.46902669
1,Glyfos_4,100
10,Glyfos_4,100
100,Glyfos_4,34.44758296
1000,Glyfos_4,26.20185644
10000,Glyfos_4,9.226158602
0.1,Glyphosate_20,99
1,Glyphosate_20,70
10,Glyphosate_20,97
100,Glyphosate_20,73
1000,Glyphosate_20,98
10000,Glyphosate_20,96
0.1,Roundup_20,94
1,Roundup_20,97
10,Roundup_20,100
100,Roundup_20,27
1000,Roundup_20,11
10000,Roundup_20,21
0.1,Fozat_20,91
1,Fozat_20,100
10,Fozat_20,100
100,Fozat_20,16
1000,Fozat_20,13
10000,Fozat_20,4
0.1,Glyfos_20,82
1,Glyfos_20,89
10,Glyfos_20,100
100,Glyfos_20,9
1000,Glyfos_20,14
10000,Glyfos_20,3
