Dose ,Treatment ,Response
1,Mix_ai_teb_pro,
2,Mix_ai_teb_pro,
5,Mix_ai_teb_pro,96.47
8,Mix_ai_teb_pro,
10,Mix_ai_teb_pro,107.87
15,Mix_ai_teb_pro,110.41
20,Mix_ai_teb_pro,61.69
30,Mix_ai_teb_pro,3.19
40,Mix_ai_teb_pro,2.65
60,Mix_ai_teb_pro,
80,Mix_ai_teb_pro,0.51
120,Mix_ai_teb_pro,
160,Mix_ai_teb_pro,0.66
1,Product_teb_pro,92.99
2,Product_teb_pro,104.3
5,Product_teb_pro,109.23
8,Product_teb_pro,101.37
10,Product_teb_pro,2.86
15,Product_teb_pro,
20,Product_teb_pro,1.79
30,Product_teb_pro,
40,Product_teb_pro,0.63
60,Product_teb_pro,
80,Product_teb_pro,0.78
120,Product_teb_pro,
160,Product_teb_pro,
3,Mix_ai_pip_cyp,96.45
6,Mix_ai_pip_cyp,99.51
15,Mix_ai_pip_cyp,103.2
30,Mix_ai_pip_cyp,100.17
48,Mix_ai_pip_cyp,
60,Mix_ai_pip_cyp,96.22
80,Mix_ai_pip_cyp,
120,Mix_ai_pip_cyp,87.33
160,Mix_ai_pip_cyp,
200,Mix_ai_pip_cyp,
240,Mix_ai_pip_cyp,72.21
320,Mix_ai_pip_cyp,
360,Mix_ai_pip_cyp,
480,Mix_ai_pip_cyp,42.58
600,Mix_ai_pip_cyp,
640,Mix_ai_pip_cyp,
720,Mix_ai_pip_cyp,
960,Mix_ai_pip_cyp,
1440,Mix_ai_pip_cyp,
1920,Mix_ai_pip_cyp,
3,Product_pip_cyp,98.76
6,Product_pip_cyp,101.09
15,Product_pip_cyp,102.99
30,Product_pip_cyp,95.55
48,Product_pip_cyp,67.11
60,Product_pip_cyp,47.56
80,Product_pip_cyp,
120,Product_pip_cyp,5.18
160,Product_pip_cyp,
200,Product_pip_cyp,
240,Product_pip_cyp,2.22
320,Product_pip_cyp,
360,Product_pip_cyp,
480,Product_pip_cyp,
600,Product_pip_cyp,
640,Product_pip_cyp,
720,Product_pip_cyp,
960,Product_pip_cyp,
1440,Product_pip_cyp,
1920,Product_pip_cyp,
