Dose ,Treatment ,Response_mortality
0,Glyphosate_adult_7,0
1,Glyphosate_adult_7,0
3.16,Glyphosate_adult_7,0
10,Glyphosate_adult_7,0
31.6,Glyphosate_adult_7,0
100,Glyphosate_adult_7,0
316,Glyphosate_adult_7,0
1000,Glyphosate_adult_7,0.666666667
0,Glyphosate_regen_7,0
1,Glyphosate_regen_7,0
3.16,Glyphosate_regen_7,0
10,Glyphosate_regen_7,0
31.6,Glyphosate_regen_7,0
100,Glyphosate_regen_7,0
316,Glyphosate_regen_7,0
1000,Glyphosate_regen_7,0.25
0,RC_adult_7,0
1,RC_adult_7,0
3.16,RC_adult_7,0
10,RC_adult_7,0
31.6,RC_adult_7,0
100,RC_adult_7,0
316,RC_adult_7,0.291666667
1000,RC_adult_7,0.458333333
0,RC_regen_7,0
1,RC_regen_7,0
3.16,RC_regen_7,0
10,RC_regen_7,0
31.6,RC_regen_7,0
100,RC_regen_7,0
316,RC_regen_7,0.041666667
1000,RC_regen_7,1
0,RR_adult_7,0
1,RR_adult_7,0
3.16,RR_adult_7,0
10,RR_adult_7,0
31.6,RR_adult_7,0
100,RR_adult_7,0
316,RR_adult_7,0.583333333
1000,RR_adult_7,1
0,RR_regen_7,0
1,RR_regen_7,0
3.16,RR_regen_7,0
10,RR_regen_7,0
31.6,RR_regen_7,0
100,RR_regen_7,0
316,RR_regen_7,0.25
1000,RR_regen_7,1
0,Glyphosate_adult_12,0.083333333
1,Glyphosate_adult_12,0
3.16,Glyphosate_adult_12,0.041666667
10,Glyphosate_adult_12,0.041666667
31.6,Glyphosate_adult_12,0
100,Glyphosate_adult_12,0
316,Glyphosate_adult_12,0
1000,Glyphosate_adult_12,0.666666667
0,Glyphosate_regen_12,0
1,Glyphosate_regen_12,0
3.16,Glyphosate_regen_12,0.041666667
10,Glyphosate_regen_12,0
31.6,Glyphosate_regen_12,0.083333333
100,Glyphosate_regen_12,0
316,Glyphosate_regen_12,0
1000,Glyphosate_regen_12,0.291666667
0,RC_adult_12,0
1,RC_adult_12,0
3.16,RC_adult_12,0
10,RC_adult_12,0
31.6,RC_adult_12,0
100,RC_adult_12,0.041666667
316,RC_adult_12,0.5
1000,RC_adult_12,1
0,RC_regen_12,0
1,RC_regen_12,0.041666667
3.16,RC_regen_12,0
10,RC_regen_12,0
31.6,RC_regen_12,0
100,RC_regen_12,0
316,RC_regen_12,0.125
1000,RC_regen_12,1
0,RR_adult_12,0
1,RR_adult_12,0.041666667
3.16,RR_adult_12,0.041666667
10,RR_adult_12,0.083333333
31.6,RR_adult_12,0.125
100,RR_adult_12,0
316,RR_adult_12,0.583333333
1000,RR_adult_12,1
0,RR_regen_12,0.041666667
1,RR_regen_12,0
3.16,RR_regen_12,0.041666667
10,RR_regen_12,0
31.6,RR_regen_12,0
100,RR_regen_12,0.041666667
316,RR_regen_12,0.291666667
1000,RR_regen_12,1
