Dose,Treatment,Response_mortality
0,Calypso,0.023
1,Calypso,0.756
10,Calypso,2.074
50,Calypso,26.517
100,Calypso,52.954
200,Calypso,78.511
250,Calypso,100.52
500,Calypso,100.564
0,Sumialfa,0
5,Sumialfa,0
7.5,Sumialfa,19.534
10,Sumialfa,53.061
15,Sumialfa,74.927
20,Sumialfa,97.959
0,Filon,0
150,Filon,0
300,Filon,3.158
350,Filon,19.737
400,Filon,36.316
450,Filon,39.737
550,Filon,63.158
600,Filon,83.158
700,Filon,100
0,Frontier,0
50,Frontier,0
100,Frontier,13.996
150,Frontier,27.401
200,Frontier,47.824
250,Frontier,67.912
300,Frontier,81.522
350,Frontier,101.592
400,Frontier,101.651
