DOI,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,ABSTRACT,TYPE,STUDY_ID,FULL_TEXT,GUY,Notes 
10.1007/978-3-030-44873-8_6,Santaella C.; Plancot B.,Interactions of Nanoenabled Agrochemicals with Soil Microbiome,2020,Nanopesticides: From Research and Development to Mechanisms of Action and Sustainable Use in Agriculture,NA,137,163,"Soil is a dynamic, physically, spatially, and temporally heterogeneous but well-organized, three-dimensional porous matrix mixing mineral and organic matter and living organisms. Among them, soil microbiota constitutes a reservoir in which plants select a specific microbiome, contributing to their growth and their health. Microbes in soil also contribute to many ecosystemic services in agrosystems, as the recycling of major nutrients in the soil ecosystem (carbon, nitrogen, phosphorus, sulfurâ€¦). Nanoagrochemicals are active substances based on nanotechnologies and nanoformulations to improve the characteristics and properties of active molecules as pesticides for agronomy purposes, e.g., biocides, herbicides but also nutrients. Nanotechnologies have burst into agronomy with a potential for innovation in order to improve the efficiency of pesticides, nutrients, their delivery and thus contribute to the reduction of inputs in agriculture. However, the impact of these nanopesticides on the soil microbiota as non-target organism remains underestimated up to now. The chapter reviews the approaches and trends in the evaluation of nanopesticides implications on soil microbiota, focusing on copper- and silver-based nanoparticles as pesticides or on formulation or nanocarriers of conventional pesticides. By confronting the current knowledge and comparing methodologies, the potential and the pitfalls to overcome are discussed, together with future directions. Â© Springer Nature Switzerland AG 2020.",Review,1245,,,
10.1007/978-3-030-44873-8_7,JampÃ­lek J.; KrÃ¡lâ€™ovÃ¡ K.; Fedor P.,Bioactivity of Nanoformulated Synthetic and Natural Insecticides and Their Impact on Environment,2020,Nanopesticides: From Research and Development to Mechanisms of Action and Sustainable Use in Agriculture,NA,165,225,"Insects represent the most diverse group of organisms on our planet with approximately one million described species. While some of them have beneficial effects in ecosystem services through plant pollination and natural pest control, there are numerous quarantine insect pests causing considerable damage to crop production and storage. Consequently, in crop pest management, the application of effective insecticides is extremely needed, and at selection of appropriate active compounds, the effects of insecticides or their residues on non-target organisms should be considered. The application of synthetic insecticides could result in the resistance of the target insect against the applied insecticide. Therefore, recently, a great attention has been devoted to insecticide formulations using active compounds of natural origin that are less toxic than conventional synthetic insecticides, exert the effects exclusively on the target insect and closely related organisms, are very effective in very small doses, are characterized with rapid decomposition, and, due to short exposure, practically do not contribute to environmental pollution. Using a nanotechnology approach, insecticide formulations with the enhanced bioavailability of active ingredients enabling their targeted delivery, controlled release, protection against degradation, and higher effectiveness could be prepared. In this manner, the overuse of these toxic compounds could be avoided resulting in the reduced contamination of the environment and representing an economically favorable solution. This chapter gives a comprehensive overview of recent findings related to the bioactivity of nanoformulations of synthetic and natural insecticides against harmful insects causing severe damage to economically important crops or deteriorating stored food products. The impact of nanoinsecticides on the environment, including potential deleterious effects on non-target organisms, is discussed as well. Â© Springer Nature Switzerland AG 2020.",Review,1248,,,
10.1007/978-3-030-44873-8_9,de Albuquerque F.P.; Preisler A.C.; Fraceto L.F.; Oliveira H.C.; de Castro V.L.S.S.,Overview of Nanopesticide Environmental Safety Aspects and Regulatory Issues: The Case of Nanoatrazine,2020,Nanopesticides: From Research and Development to Mechanisms of Action and Sustainable Use in Agriculture,NA,281,298,"The use of nanotechnology to create new formulations has shown great potential to reduce the indiscriminate use of pesticides and provide environmentally safer alternatives. Pesticides formulated using controlled release nanosystems are designed to efficiently provide sufficient and targeted quantities of active ingredients to target organisms, thus improving crop yields and reducing environmental contamination with pesticides. However, the possible harmful effects of these nanomaterials on the environment are not yet well understood, highlighting the need for studies assessing the fate and behavior of nanopesticides in the environment. This chapter will discuss the major challenges and advances in the research regarding nanopesticide risk analysis. It will also discuss the difficulty in developing regulations about the commercialization of nanoproducts, due to the underlying specific features of nanomaterials that drive their reactivity and toxicity. Finally, the case of nanoatrazine will be reviewed, providing an example of how the nanoencapsulation can affect herbicide efficiency and influence its toxicity to different non-target organisms. Â© Springer Nature Switzerland AG 2020.",Review,1243,,,
10.1016/B978-1-4377-3463-8.00014-X,"Zeliger, Harold I.",Pesticides,2011,"HUMAN TOXICOLOGY OF CHEMICAL MIXTURES: TOXIC CONSEQUENCES BEYOND THE IMPACT OF ONE-COMPONENT PRODUCT AND ENVIRONMENTAL EXPOSURES, 2ND EDITION",NA,173,185,NA,Review,1691,,,
10.1016/j.aquatox.2017.10.028,Janssens L.; Stoks R.,Stronger effects of Roundup than its active ingredient glyphosate in damselfly larvae,2017,Aquatic Toxicology,193,210,216,"Pesticides are causing strong decreases in aquatic biodiversity at concentrations assumed safe by legislation. One reason for the failing risk assessment may be strong differences in the toxicity of the active ingredient of pesticides and their commercial formulations. Sublethal effects, especially those on behaviour, have been largely ignored in this context, yet can be equally important as lethal effects at the population and ecosystem levels. Here, we compared the toxicity of the herbicide Roundup and its active ingredient glyphosate on survival, but also on ecologically relevant sublethal traits (life history, behaviour and physiology) in damselfly larvae. Roundup was more toxic than glyphosate with negative effects on survival, behaviour and most of the physiological traits being present at lower concentrations (food intake, escape swimming speed) or even only present (survival, sugar and total energy content and muscle mass) following Roundup exposure. This confirms the toxicity of the surfactant POEA. Notably, also glyphosate was not harmless: a realistic concentration of 2 mg/l resulted in reduced growth rate, escape swimming speed and fat content. Our results therefore indicate that the toxicity of Roundup cannot be fully attributed to its surfactant, thereby suggesting that also the new generation of glyphosate-based herbicides with other mixtures of surfactants likely will have adverse effects on non-target aquatic organisms. Ecotoxicological studies comparing the toxicity of active ingredients and their commercial formulations typically ignore behaviour while the here observed differential effects on behaviour likely will negatively impact damselfly populations. Our data highlight that risk assessment of pesticides ignoring sublethal effects may contribute to the negative effects of pesticides on aquatic biodiversity. Â© 2017 Elsevier B.V.",Normal,1660,YES,YES,
10.1016/j.envint.2015.10.012,Meredith A.N.; Harper B.; Harper S.L.,The influence of size on the toxicity of an encapsulated pesticide: A comparison of micron- and nano-sized capsules,2016,Environment International,86,68,74,"Encapsulation technology involves entrapping a chemical active ingredient (a.i.) inside a hollow polymeric shell and has been applied to commercial pesticide manufacturing for years to produce capsule suspension (CS) formulations with average particle sizes in the micron-scale. The few literature sources that investigate the environmental fate and toxicity to non-target organisms of encapsulated commercially available pesticide products with regard to capsule size report on average sizes between 20 and 50Î¼m. Here, we have identified a CS formulation with an average capsule size of approximately 2Î¼m with some capsules extending into the nanometer scale (~200nm). Determining how carrier size influences toxicity is important to understanding if current pesticide risk assessments are sufficient to protect against products that incorporate encapsulation technology. Here, a commercial pyrethroid CS pesticide with lambda-cyhalothrin (Î»-Cy) as the a.i. was separated into two suspensions, a fraction consisting of nano-sized capsules (~250nm) and a fraction of micron-sized capsules (~2200nm) in order to investigate the influence of capsule size on toxicity to embryonic zebrafish, Danio rerio. Toxicity was evaluated 24h after exposure to equivalent amounts of a.i. by the presence and severity of pyrethroid-specific tremors, 14 sublethal developmental impacts and mortality. Fish exposed to greater than 20Î¼g a.i. L-1 technical Î»-Cy or formulated product experienced curvature of the body axis, pericardial edema, craniofacial malformations, and mortality. Exposure to the unfractionated formulation, micro fraction, nano fraction and technical a.i. resulted in no significant differences in the occurrence of sublethal impacts or mortality; however, the technical a.i. exposure resulted in significantly less fish experiencing tremors and shorter tremors compared to any of the formulated product exposures. This suggests that the capsule size does not influence the toxic response of the entrapped Î»-Cy, but the presence or absence of the capsules does. Testing across other encapsulated products is needed to determine if size does not have influence on toxicity regardless of encapsulation technology. Â© 2015 Elsevier Ltd.",Normal/Nano,1663,YES,YES,
10.1016/j.hal.2018.11.004,Dabney B.L.; PatiÃ±o R.,"Low-dose stimulation of growth of the harmful alga, Prymnesium parvum, by glyphosate and glyphosate-based herbicides",2018,Harmful Algae,80,130,139,"Glyphosate-based herbicides (GBH) are widely used around the globe. While generally toxic to phototrophs, organic phosphorus in glyphosate can become available to glyphosate-resistant phytoplankton and contribute to algal bloom development. Few studies have examined the effects of GBH on growth of eukaryotic microalgae and information for the toxic bloom-forming haptophyte, Prymnesium parvum, is limited. Using a batch-culture system, this study examined the effects on P. parvum growth of a single application of Roundup Weed and Grass Killer Super Concentrate PlusÂ® (Roundup SC), Roundup Weed and Grass Killer Ready-to-Use IIIÂ® (Roundup RtU), and technical-grade glyphosate at low concentrations [0â€“1000 Î¼g glyphosate acid equivalent (ae) lâˆ’1]. Roundup formulations differ in the percent of glyphosate as active ingredient (Roundup SC, âˆ¼50%; Roundup RtU, 2%), allowing indirect evaluation of the influence of inactive ingredients. Roundup SC enhanced exponential growth rate at 10â€“1000 Î¼g glyphosate ae lâˆ’1, and a positive monotonic association was noted between Roundup SC concentration and early (pre-exponential growth) but not maximum cell density. Glyphosate and both Roundup formulations enhanced growth rate at 100 Î¼g glyphosate lâˆ’1, but only Roundup SC and glyphosate significantly stimulated early and maximum density. This observation suggests the higher concentration of inactive ingredients and other compounds in Roundup RtU partially counteracts glyphosate-dependent growth stimulation. When phosphate concentration was varied while maintaining other conditions constant, addition of Roundup SC and glyphosate at 100 Î¼g lâˆ’1 influenced growth more strongly than equivalent changes in phosphate-associated phosphorus. It appears, therefore, that low doses of glyphosate stimulate growth by mechanisms unrelated to the associated small increases in total phosphorus. In conclusion, glyphosate and GBH stimulate P. parvum growth at low, environmentally relevant concentrations. This finding raises concerns about the potential contribution to P. parvum blooms by glyphosate-contaminated runoff or by direct application of GBH to aquatic environments. Â© 2018",Normal,1251,YES,YES,
10.1080/03067319.2017.1363196,"Eszter Takacs; Klatyik, Szandra; Maria Mortl; Racz, Gergely; Krisztina Kovacs; Bela Darvas; Szekacs, Andras",Effects of neonicotinoid insecticide formulations and their components on Daphnia magna - the role of active ingredients and co-formulants,2017,INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,97,885,900,"Formulating agents used in pesticide products have been regarded as inactive/inert components; however, several studies confirmed additive, synergistic or antagonistic effects between the active ingredients (AIs) and additives, or the individual toxicity of the formulating agents. The worldwide used neonicotinoid insecticides and their components can reach surface waters, due to their physico-chemical properties (e.g. water solubility) or improper application in chemical plant protection technology, and can adversely affect non-target aquatic organisms. Formulated pesticides were analysed for alkane sulphonate surfactants by using liquid chromatography coupled with tandem mass spectrometry. In acute immobilisation tests on Daphnia magna, differences were found among the toxicity of the investigated neonicotinoid AIs and formulations. The toxicity of a formulated insecticide (APACHE 50 WG (R) - AI: clothianidin) was found to be 46.5 times more toxic than explained by its AI, probably due to toxic effect of the formulating agents on D. magna. In contrast, two preparations (CALYPSO 480 SC (R) - AI: thiacloprid, ACTARA 240 SC (R) - AI: thiamethoxam) were 2-3 times less toxic than their AIs. Results indicate possible synergistic/antagonistic interaction with the AIs.",Normal,1688,YES,YES,
10.1556/1886.2019.00005,PÃ¶ppe J.; Bote K.; Merle R.; Makarova O.; Roesler U.,"Minimum inhibitory concentration of glyphosate and a glyphosate-containing herbicide in salmonella enterica isolates originating from different time periods, hosts, and serovars",2019,European Journal of Microbiology and Immunology,9,35,41,"Glyphosate, the active compound of Roundup, is one of the most used pesticides in the world. Its residues are often detected in animal feed, but the impact on the animal gut microbiota and on pathogens of the intestine has not intensively been investigated. In this study, we analyzed the minimum inhibitory concentration (MIC) of glyphosate isopropylamine salt and a common glyphosate-containing herbicide formulation in 225 Salmonella enterica isolates by broth microdilution. A bacteriostatic effect of glyphosate on Salmonella growth was detected at the concentration range of 10 to 80 mg/mL for both the active ingredient and the ready-to-use formulation. Time/year of isolation, host species, and serovars revealed a statistically significant influence on MIC values. Recently collected Salmonella isolates had significantly higher MIC values for glyphosate and the glyphosate-containing product compared with isolates collected between 1981 and 1990. Isolates from pigs showed significantly higher MIC values compared with isolates from poultry, and isolates of the Salmonella serovar Typhimurium had significantly higher MIC values than Salmonella Enteritidis and Infantis isolates. Â© 2019 The Author(s).",Normal,1249,YES,YES,
10.17151/biosa.2020.19.1.3,Vargas-Mena E.,Fipronil toxicity. Systematic review of literature; [Toxicidad del Fipronil. RevisiÃ³n sistemÃ¡tica de la literatura],2020,Biosalud,19,50,87,"Introduction: Fipronil is a broad-spectrum pesticide belonging to the phenyl pyrazole family. It has GABAergic and glutaminergic effects and has been extensively applied mainly on peach palm Bactris gasipaes crops, as a control of the Rhynchophorus palmarum weevil. Objective: The present review aims to conduct a literature review focused on published papers regarding the toxicity of fipronil, with special emphasis on toxicological analysis tools, endpoints, adverse outcome pathways, and mechanisms of toxicity in humans and effects associated with fipronil exposure, in the reduction of hormone levels associated with sexual development, alterations in the nervous system, teratogenesis and behavioral alterations, combining pathological studies with metabolomic approaches, analytical methodologies for identification and proposals for the development of in silico methodologies for toxicological analysis. Â© 2020 Universidad de Caldas. All rights reserved.",Review,1665,,,
