STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT,...10,STUDY_ID.1
1,Lisa,NO,Wang T.; Wang Y.,Component Effects on Agricultural Spray,2025,Langmuir,41,7212,7224,10.1021/acs.langmuir.5c00278,"Regulating the spray behavior of liquids is of great importance in various practical applications, especially in improving pesticide utilization efficiency because the spray states are directly related to the spray drift and deposition efficiency. The components of pesticides, including surfactants, polymers, and active ingredients, were found to influence spray behavior significantly. However, because of both the complexity of interactions in sprayed liquids and the technology limit, only a few specific aspects of the formation of droplets have been studied, and a comprehensive and general understanding is still lacking. This brief review summarizes the effects of surfactants, polymers, and active ingredients on spray and highlights the underlying mechanisms related to sheet breakup and droplet formation. Other factors that warrant detailed exploration in the future are proposed, including dilatational viscoelasticity, zeta potential, aggregation, and sheet thickness. Finally, insights into the design of spray additives for agricultural applications are provided. © 2025 American Chemical Society.",NA,1
2,Lisa,NO,Marczewska P.; Rolnik J.; Stobiecki T.; Sajewicz M.,Development and validation of an analytical method for acetamiprid determination in plant protection products using HPLC-DAD,2025,Acta Chromatographica,37,105,111,10.1556/1326.2024.01214,"Plant protection products (PPP), crucial for agricultural production, are experiencing increased global demand, particularly with the growing need for food production. To meet this demand, robust analytical methods are essential for confirming the presence and determining active substance concentrations in PPP. This study introduces an analytical method utilizing high-performance liquid chromatography with a diode array detector (HPLC-DAD) for determination of acetamiprid in water-soluble powder formulations. The method, validated according to SANCO/3030/99 rev.5, demonstrated exhibited adequate accuracy and precision, with repeatability expressed as the ratio of the standard deviation (% RSD) to the relative standard deviation (% RSDr) being lower than 1. Recoveries for the active substance at concentrations above 10% ranged from 97% to 103%. The developed method is also characterized by suitable linearity, confirmed by a correlation coefficient >0.99. Specific chromatographic profiles were generated, and acetamiprid content in 180 formulations was analyzed, including reference products. The developed method aligns with ""green chemistry""principles, minimizing solvent use and emphasizing energy efficiency. Overall, it offers a comprehensive approach for qualitative and quantitative analysis, ensuring the reliability of PPP quality control. © 2024 The Author(s).",NA,2
3,Lisa,NO,Zhao Z.; Liu B.; Zhang Z.; Fan Y.; Wang Y.,Anti-Mold Activities of Cationic Oligomeric Surfactants,2025,Langmuir,41,2821,2833,10.1021/acs.langmuir.4c04684,"Molds are persistent and harmful but receive far less research attention compared with pathogenic bacteria. With the increase in microbial resistance to single-chain surfactant antimicrobial agents, it is crucial to investigate how surfactant structures affect the antimicrobial activity of surfactants. Here, we have studied the antimold efficacy of a series of oligomeric cationic quaternary ammonium surfactants at varying oligomerization levels with or without dynamic covalent imine bonds. Four common molds are chosen as representatives: A. niger, T. viride, C. globosum, and P. funiculosum. The minimum fungicidal concentration (MFC) results indicate that the dynamic covalent surfactants in solution display stronger antimold activity than the surfactants of the same oligomerization degree without imine bonds, and the antimold activity decreases as the oligomerization degree increases. The superior fungicidal efficacy of imine-based surfactants in solution is attributed to their longer hydrophobic chains and benzene rings, which enhance the interactions with mold membranes, causing perforation and membrane disruption. Nonetheless, the higher oligomerization degree reduces antimold effectiveness due to the formation of overly stable aggregates, which lower the concentration of free molecular monomers released from aggregates and may accumulate on mold spore membranes. However, on fabric surfaces, the surfactants with a higher oligomerization degree show stronger antimold performance. The multiple hydrophobic chains and cationic headgroups result in greater surfactant adsorption and stronger antimildew activity. Moreover, the reversibility of the imine-based surfactants plays a significant role in reducing the likelihood of resistance. This work is helpful to construct antimicrobial agents with broad-spectrum activity and a weak resistance potential. © 2025 American Chemical Society.",NA,3
4,Lisa,NO,de Almeida A.C.; Batista R.M.; Castro Í.B.; Fillmann G.,Passive sampling-derived aqueous concentrations of organotins and booster biocides in the largest Port of South America (Southeastern Brazil),2025,Water Research,273,NA,NA,10.1016/j.watres.2024.123009,"Organotin compounds (OTs) used to be the most widely used biocide in antifouling paint systems, but the International Maritime Organization (IMO) banned them because of their high environmental toxicity to non-target organisms. Currently, at least 25 active ingredients are being employed as biocides in antifouling paint formulations. In the present study, silicone rubber-based passive sampling was used to determine the freely dissolved concentrations (Cw) of 6 OTs and 4 booster biocides in the water column at the entrance of Santos Port's main navigation channel, the largest Port of South America (southeastern Brazil). Fifteen sampling events of ∼45 days long were conducted over 2 years. Cw of OTs ranged from 1.1 to 2.5 ng Sn L−1 for monobutyltin (MBT), 0.2 to 4.7 ng Sn L−1 for dibutyltin (DBT), and 0.06 to 0.7 ng Sn L−1 for tributyltin (TBT), while triphenyltin (TPhT), diphenyltin (DPhT), and monophenyltin (MPhT) were always below their limits of detection (<LOD). For booster biocides, Cw ranged from 3.9 to 6.3 ng L−1 for diuron, 0.03 to 0.49 ng L−1 for Irgarol, <0.55 to 44.3 ng L−1 for DCOIT, and <0.01 to <0.02 ng L−1 for dichlofluanid. Levels found in the water column are likely explained by a combination of sources, including simultaneous releases from marinas and shipyards located in adjacent areas, dredging operations, intense vessel traffic in the Santos Port, and desorption from APPs previously released along sediments of the Santos-São Vicente Estuarine System (SSES). Although OTs and booster biocide levels in the Port of Santos were relatively lower than in other studies worldwide, levels detected for TBT, DCOIT, and diuron pose a risk to non-target organisms. © 2024 Elsevier Ltd",NA,4
5,Lisa,NO,Nendza M.; Kosfeld V.; Schlechtriem C.,Consolidated octanol/water partition coefficients: combining multiple estimates from different methods to reduce uncertainties in log KOW,2025,Environmental Sciences Europe,37,NA,NA,10.1186/s12302-025-01072-2,"Background: The octanol/water partition coefficient (KOW) is a key parameter for assessing the fate and effects of chemicals. It is a metric of their hydrophobicity, related to uptake and accumulation in organisms and specific tissues, and distribution in water, soil and sediments. The log KOW can be determined experimentally, more often it is calculated. Variability may be due to properties of the substances, different experimental methods, or different computational approaches with different domains of applicability. The objective of the present study is to derive coherent log KOW estimates with known variability by (1) estimating multiple log KOW values by different methods for diverse chemicals to exemplify their variabilities, (2) analysing the variabilities of log KOW estimates by underlying methods and for different chemical classes, and (3) recommending approaches to obtain reliable and robust log KOW estimates for hazard and risk assessment. Results: Comparative analyses were based on 231 case study chemicals representing diverse chemical classes, such as POPs, PCB, PAH, siloxanes, flame retardants, PFAS, pesticides, pharmaceuticals, surfactants, etc. The variability of up to 36 log KOW values per substance, determined experimentally or estimated by different computational approaches, is 1 log unit and more across the entire log KOW range from <0 to >8. No systematic pattern is evident. Different methods for deriving log KOW perform sometimes better and sometimes worse for different chemicals. None of the methods (experimental or computational) is consistently superior and any method can be the worst. Conclusions: Iterative consensus modelling combines multiple estimates by a weight-of-evidence (WoE) or averaging approach for scientifically valid and reproducible log KOW estimates with known variability. Consolidated log KOW, being the mean of at least 5 valid data obtained by different independent methods (experimental and computational), are a pragmatic way to deal with the variability and uncertainty of individual results. While this approach does not solve any of the problems about “correctly” determining log KOW, it does limit the bias due to individual erroneous estimates. Consolidated log KOW are robust and reliable measures of hydrophobicity, with variability mostly within 0.2 log units. © The Author(s) 2025.",NA,5
6,Lisa,NO,Singh R.; Dhalani J.,A simple and expeditious RP-HPLC method for the simultaneous determination of commercially available seven pesticides formulations,2025,Microchemical Journal,208,NA,NA,10.1016/j.microc.2024.112292,"For the purpose of simultaneously determination, a quick, easy, accurate and precise, high-performance liquid chromatographic analytical technique was validated for tolfenpyrad, pyraclostrobin, trifloxystrobin, azoxystrobin, fipronil, thiamethoxam, thiophanate-methyl, and azoxystrobin in their respective commercially accessible technical product compositions. Active components were separated chromatographically from additives and co-formulations using isocratic elution with 0.1 % orthophosphoric acid and acetonitrile in a 30:70 (v/v) at a flow rate of 1.0 mL per min on an Inertsil ODS-3 column (250 × 4.6 mm; 3.5 µm) with UV detection at 190 nm. With a 20-minute run time, the retention times for thiamethoxam, thiophanate-methyl, azoxystrobin, fipronil, pyraclostrobin, trifloxystrobin, and tolfenpyrad were found to be 2.96, 3.68, 5.98, 8.39, 11.31, 13.74, and 16.38 min, respectively. SANCO guidelines for precision, linearity, robustness, accuracy, LOD, specificity and selectivity were followed to approve the efficiency of this technique. Because all analyses were conducted using a single method and constant chromatographic settings, the suggested method offers several advantages, including rapid, sustainable, and eco-friendly analysis, as well as overall low costs. Developed method can be applied to water, food and different sources samples. © 2024 Elsevier B.V.",NA,6
7,Lisa,maybe,Kline O.; Adamczyk J.; Joshi N.K.,Toxicity responses of different bee species to flupyradifurone and sulfoxaflor insecticides reveal species and sex-based variations,2025,Science of the Total Environment,964,NA,NA,10.1016/j.scitotenv.2024.178264,"Mason bees (Osmia spp.) are solitary, tunnel-nesting bees. Several species, including the horn-faced bee (Osmia cornifrons) and the blue orchard bee (Osmia lignaria), are commercially managed, primarily for the pollination of fruit trees and tree nuts. They are efficient pollinators and have high pollen fidelity, and so can greatly benefit orchard yields compared to honey bees (Apis mellifera) alone. Apis mellifera are often used as surrogates for other pollinators during pesticide risk assessment. Non-Apis bee species, however, can be more sensitive to certain pesticides, so it is also important to research the impact of novel pesticides on other bee species. This study investigated the effect of two formulated pesticide products containing recently approved active ingredients, sulfoxaflor and flupyradifurone, on the survival of A. mellifera and three species of mason bees (O. lignaria, O. cornifrons, and Osmia californica). Bees were orally exposed to sulfoxaflor or flupyradifurone and their survival was measured over four days following exposure. Bee sensitivity to the insecticides varied by species and sex of bee. Apis mellifera was the least sensitive, followed by O. cornifrons, with O. lignaria and O. californica as the most sensitive. Male Osmia spp. bees were less sensitive than females. These insecticides may pose a higher risk to the health of Osmia spp. compared to A. mellifera. © 2025 Elsevier B.V.",NA,7
8,Lisa,NO,Oi D.H.; Atchison R.A.; Read Q.D.,Effect of fast and slow-acting bait toxicants on tawny crazy ant (Hymenoptera: Formicidae) foraging and nesting in the field,2025,Journal of Economic Entomology,118,329,338,10.1093/jee/toae284,"Tawny crazy ants (TCAs), Nylanderia fulva (Mayr) are an invasive species that develops extremely large populations that overrun landscapes. Control measures frequently rely on spraying contact insecticides, which often are inadequate. To provide insights for utilizing baits for their control, TCA foraging behavior was examined on liquid ant bait formulations that contained either fast-acting dinotefuran or slow-acting disodium octaborate tetrahydrate (DOT), and the impacts of these baits were assessed. Bayesian modeling of counts from time-lapse photography of TCA feeding on the baits and a control of sucrose solution in the field revealed strong evidence of similar foraging intensities between the control and the DOT bait and less foraging intensity on the dinotefuran bait. TCA abundance on the dinotefuran bait peaked within 8 h, then diminished to smaller feeding bouts over the 3-day study. In contrast, foraging on the DOT and control remained consistently high before bait depletion. The impact of the fast and slow-acting baits in field plots were based on TCA nest sizes and TCA abundance on sausage lures. Bayesian modeling predictions revealed nest sizes declined over the 2 months with bait present while the control had large nests. Abundance on the lures in the dinotefuran plots declined from the start of the study, while with the slow-acting DOT bait, declines in abundance were not lower than the control plot until 30 days after baiting was initiated. Further refinements in baiting with liquid baits containing fast and slow acting active ingredients may provide fast and sustained control of TCA. © 2025 Oxford University Press. All rights reserved.",NA,8
9,Lisa,NO,Wen X.; Cai F.; Yang Q.; Zhang Y.; Wu S.; Zhang M.; Ma L.,"Instant nanocapsule formulation based on self-assembly of alginate with quaternary ammonium to improve the encapsulation efficiency, photostability, and insecticidal activity of emamectin benzoate",2025,Journal of Nanoparticle Research,27,NA,NA,10.1007/s11051-025-06266-6,"Nanocapsule was obtained by self-assembling of sodium alginate (SA) with cetyl trimethyl ammonium bromide (CTAB) and Tween 80 in a coarse dispersion of butyl acetate and turned out to be a good carrier of emamectin benzoate (EB). The nanocapsule exhibited better storing stability, anti-photolysis property, foliar wettability, and retention, as compared to the conventional concentrated emulsion of EB (EB-EC). Incorporation into the nanocapsule retarded the release of EB, which was pH-sensitive and dependent on the structure of the nanocapsule. A better sustaining effect could be achieved by an increase of SA or a reduction of CTAB and in a basic environment, due to the enhanced interaction between the active ingredient and the shell matrix of the nanocapsule. The incorporation into the nanocapsule greatly increased the activity of EB. The median lethal concentration of typical positively charged nanocapsule EB@SA0.1CTAB0.4Tw0.2 against Mythimna separata larvae was 48% of that of commercial EB-EC, after feeding to the insect for 48 h. The result indicated that the self-assembling of SA and CTAB was a good strategy to fabricate instant nanoformulation under mild conditions and with high efficiency and low cost, which was valuable to prompt nanopesticides from laboratory investigation to field application. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.",NA,9
10,Lisa,NO,Anusuya S.; Sathiyabama M.,Nanointegrated Methods for Plant Disease Management and Sustainable Agriculture,2025,Agricultural Sustainability through Nanotechnology,NA,99,112,10.1201/9781003354253-6,"Plant diseases caused by pathogens such as bacteria, fungi, and viruses can reduce crop production and affect quality. Additionally, an increasing population generates pressure to escalate crop production to meet global demand. Agrochemicals hence are widely used in agriculture to enhance production; however, their excessive employment damages the habitat. In this perspective, nanotechnology, especially polymer matrix-based nanocomposites, has become a notable domain in the agricultural sector that counters climatic changes, soil fertility, nutrient deficiency, and overuse of chemical fertilizers and pesticides. Nanoencapsulation processes not only safeguard the active ingredient but also can affect diffusion, interaction, and activity. Polymer nanomaterials have exclusive characteristics along with controlled release and stability, superior biocompatibility, and less impact on nontargeted organisms. They are also utilized for nanoherbicide formulations. Polymeric nanoparticles can robustly adhere to the cell wall due to electrostatic interactions and can invade the root tissue and stomata in leaves and can be transported by apoplastic and symplastic pathways. Exertion of these nanoformulations tends to reduce the negative impacts that herbicides and insecticides pose on the environment and hence act as nanocarriers, boosting the selectivity of pesticides. Remarkably, organs like flowers, fruits, and seeds normally have a strong capability to import and accumulate nanomaterials. Hence, seed coating of such nanomaterials offers protection to the seeds at initial stages of development, as it changes metabolism by improving germination and early seedling growth and also has long-term effects on plant development with higher productivity. This chapter focuses on the application of various polymer-based nanomaterials for sustainable farming as a nontoxic system, their uptake efficiency, interaction with plants, and how they might influence future developments in agriculture. © 2025 selection and editorial matter, Mary Theresa, Ashitha Jose, Jyotishkumar Parameswaranpillai, Radhakrishnan E K; individual chapters, the contributors.",NA,10
