"STUDY_ID","REVIEWERS","INCLUDE","STUDY_ID.2","REVIEWERS.1","INCLUDE.1","AUTHORS","TITLE","YEAR","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT","...13","STUDY_ID.1"
"1","Lisa","NO","7","Lisa","maybe","Kline O.; Adamczyk J.; Joshi N.K.","Toxicity responses of different bee species to flupyradifurone and sulfoxaflor insecticides reveal species and sex-based variations","2025","Science of the Total Environment","964",NA,NA,"10.1016/j.scitotenv.2024.178264","Mason bees (Osmia spp.) are solitary, tunnel-nesting bees. Several species, including the horn-faced bee (Osmia cornifrons) and the blue orchard bee (Osmia lignaria), are commercially managed, primarily for the pollination of fruit trees and tree nuts. They are efficient pollinators and have high pollen fidelity, and so can greatly benefit orchard yields compared to honey bees (Apis mellifera) alone. Apis mellifera are often used as surrogates for other pollinators during pesticide risk assessment. Non-Apis bee species, however, can be more sensitive to certain pesticides, so it is also important to research the impact of novel pesticides on other bee species. This study investigated the effect of two formulated pesticide products containing recently approved active ingredients, sulfoxaflor and flupyradifurone, on the survival of A. mellifera and three species of mason bees (O. lignaria, O. cornifrons, and Osmia californica). Bees were orally exposed to sulfoxaflor or flupyradifurone and their survival was measured over four days following exposure. Bee sensitivity to the insecticides varied by species and sex of bee. Apis mellifera was the least sensitive, followed by O. cornifrons, with O. lignaria and O. californica as the most sensitive. Male Osmia spp. bees were less sensitive than females. These insecticides may pose a higher risk to the health of Osmia spp. compared to A. mellifera. © 2025 Elsevier B.V.",NA,"7"
"2","Lisa","YES","15","Lisa","maybe","Moreira A.; Nogueira V.; Bouguerra S.; Antunes S.C.; Rodrigues S.","Ecotoxicity of bioinsecticide spinosad to soil organisms: Commercial formulation versus active ingredient","2025","Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology","287",NA,NA,"10.1016/j.cbpc.2024.110056","Spintor® (SPIT®) is a commercial formulation of a bioinsecticide with the active ingredient Spinosad (SPIN). Despite the efforts of regulatory agencies, there still is a lack of information regarding short- and long-term exposures to soil-dwellers, as well as effects at environmentally relevant concentrations. This work aimed to evaluate the effects of SPIT® and SPIN, on the oligochaete Eisenia fetida, and the arthropod Folsomia candida. For this, natural soil was spiked with environmentally relevant concentrations (0.00–1.49 mg of the active ingredient·kg−1 of dry soil) to assess avoidance behaviour in E. fetida and reproduction effects on both species. Further, in E. fetida adults exposed for 2- and 28-day biomarkers of oxidative stress, energetic reserves, neurotoxicity and genotoxicity were evaluated. A significant reduction in juvenile production for F. candida was observed for SPIT® at ≥0.66 mg kg−1 and SPIN at ≥0.13 mg kg−1, and although no effect was observed on E. fetida reproduction, the oligochaeta revealed a tendency to avoid soil spiked with SPIT® at 0.44, 0.66 and 1.49 mg kg−1. The sub-individual responses of E. fetida demonstrate genotoxicity upon exposure to SPIT® and SPIN for 2 days. The 2-day exposures of SPIT® and SPIN seem to induce defence mechanisms, and in general, SPIN exerted higher effects than SPIT® on the oligochaetes. Overall, the pro-oxidant performance and energy metabolism pathways were disrupted in both exposures to SPIT® and SPIN. The results suggest that spinosyns-based products can have an impact on soil arthropods F. candida and oligochaete's health, possibly affecting their essential functions in terrestrial ecosystems. © 2024 The Authors",NA,"15"
"3","Lisa","NO","24","Lisa","maybe","Kaur H.; Kaur P.; Sharma S.; Bhullar M.S.","Surfactant-mediated changes in leaching profiles of mesosulfuron-methyl, iodosulfuron-methyl and transformation products across different soil textures","2025","International Journal of Environmental Analytical Chemistry",NA,NA,NA,"10.1080/03067319.2024.2446649","Considering the environmental pollution risks associated with the use of herbicides, the impact of surfactant and physicochemical properties of soil on leaching potential of mesosulfuron, iodosulfuron methyl and their transformation products (TPs) was evaluated. Leaching of the studied herbicides was influenced by pH of the soil and herbicides leached more readily in alkaline soils than in acidic soil. Among alkaline soils, leaching was positively correlated with OM content of the soil. Addition of surfactant increased the leaching of herbicides and their TPs, resulting in lower residues in the upper layers and higher residues in the lower layers and leachates indicating greater potential for deeper soil contamination. Additionally, breakthrough curves for iodosulfuron methyl appeared earlier when the soil columns were treated with commercial formulation in the presence of surfactant. Among the different TPs, mesosulfuron (M1) and 2-[3-(4-hydroxy-6-methoxypyrimidin-2-yl) ureidosulfonyl]−4-methane sulfonamidomethyl benzoate (M2) TPs of mesosulfuron methyl and metsulfuron methyl (I1) and (methyl-2-(amino-sulfonyl) benzoate (I2) TPs of iodosulfuron methyl were detected. M2 has the highest mobility followed by M1 and I1 suggesting higher risk of M2 to contaminate lower soil profiles and groundwater thereby posing long-term ecological and human health risks. These findings emphasise the need for regulatory bodies to account for the combined effects of surfactants, soil properties and herbicide TPs while assessing the environmental impact of herbicide formulations. © 2025 Informa UK Limited, trading as Taylor & Francis Group.",NA,"24"
"4","Lisa","YES","27","Lisa","maybe","Muneeswaran T.; Bhatt T.; Park S.H.; Maruthupandy M.; Kim M.; Mathur V.; Lee J.-H.; Kim M.-S.; Cho W.-S.","Polyethylene glycol used as a dispersant potentiates the toxicity of insecticides in mammalian cells rather than insects","2025","Environment International","196",NA,NA,"10.1016/j.envint.2025.109307","Insecticides are used in household products with various dispersants such as polyethylene glycol (PEG) and polyoxyethylene lauryl ether (PLE) to improve solubility. Although certain effects are expected, the combination effects of insecticides and dispersants remain elusive. Here, five different classes of insecticides (i.e., dinotefuran, fipronil, hydramethylnon, indoxacarb, and etofenprox) were dispersed in water, PEG, and PLE, and their lung inflammation potential was evaluated by bronchoalveolar lavage fluid analysis 24 h after intratracheal instillation into the lungs of rats. All chemicals dispersed in water caused no inflammation. However, among the five chemicals dispersed in PEG and PLE, only hydramethylnon showed significant neutrophilic inflammation and hydramethylnon in PEG showed 4-fold higher inflammogenic potential than that in PLE. The in vitro cytotoxic potential of hydramethylnon in PEG was 10–17 fold (in A549) or 12–14 fold (in dTHP-1) higher than that of hydramethylnon in PLE, and greater than 370 fold (in A549) or 65–169 fold (in dTHP-1) higher than that in water. PEG toxicity increased due to the micellar formulation of hydramethylnon in PEG, increasing cellular uptake by simple diffusion. Therefore, the observed potentiation effect highlights that the combination effect of formulation of hydrophobic compounds with dispersants should be carefully evaluated. © 2025",NA,"27"
"5","Lisa","NO","29","Lisa","maybe","Sedlmeier J.E.; Grass I.; Bendalam P.; Höglinger B.; Walker F.; Gerhard D.; Piepho H.-P.; Brühl C.A.; Petschenka G.","Neonicotinoid insecticides can pose a severe threat to grassland plant bug communities","2025","Communications Earth and Environment","6",NA,NA,"10.1038/s43247-025-02065-y","Although pesticides have been proposed as one of the main causes of insect decline, there are still few studies assessing their effects on non-target species under field conditions. Here we investigated the effects of the neonicotinoid insecticide Mospilan®SG (active ingredient acetamiprid) on plant bugs (Heteroptera: Miridae), a dominant group of European grassland insect communities. In a controlled field study, the abundance of three focal species was reduced by up to 92% two days after field exposure at concentrations expected at field margins, with mortality varying among species. Follow-up feeding assays with insecticide-treated host plants in the greenhouse and controlled dose-response laboratory assays confirmed the strong negative effects on non-target species. Strikingly, when comparing the lethal dose 50 derived from Mospilan®SG with a value reported for honeybees using another acetamiprid formulation, the insecticide was over 11,000 times more toxic to plant bugs than to honeybees. In addition, males were 20 times more sensitive than females in the two tested species. Thus, continuous exposure to this neonicotinoid may reduce plant bug populations and promote insecticide-tolerant species, altering community composition. We suggest that sex-specific sensitivity be considered in risk assessment and conclude that the true risk to non-target insects is currently greatly underestimated. © The Author(s) 2025.",NA,"29"
"6","Lisa","NO","32","Lisa","maybe","Sarti D.; Wagner J.; Palma F.; Kalvan H.; Giachini M.; Lautenschalaeger D.; Lupianhez V.; Pires J.; Sales M.; Faria P.; Bertomeu L.; Le Bras M.","Interpretable machine learning unveils key predictors and default values in an expanded database of human in vitro dermal absorption studies with pesticides","2025","Regulatory Toxicology and Pharmacology","159",NA,NA,"10.1016/j.yrtph.2025.105801","The skin is the main route of exposure to plant protection products for operators, workers, residents, and bystanders. Assessing dermal absorption is key for evaluating pesticide exposure. The initial approach to risk assessment involves using default dermal absorption values or applying read-across data from experimental results from different formulations. In this way, to support non-dietary pesticide risk assessment focused but not limited to Brazil, this project evaluated 759 GLP-compliant in vitro human skin dermal absorption studies covering 25 formulation types and 248 active substances at multiple concentrations using interpretable machine learning techniques. Bayesian Additive Regression Trees – BART method indicated that Log Pow and molecular weight have the highest importance when predicting dermal absorption; both parameters exhibit moderate interaction uncertainty within each other and with formulation groups water-based and organic-solvent based and with tested form (concentrates or dilutions). The default values for each formulation group were determined using the upper bound of a non-parametric confidence interval for a specified quantile, with calculations conducted via bootstrapping methods; the proposed values correspond to the upper limit of the 95% confidence interval for the 95th percentile: for concentrates, 10% for organic-solvent based, 4% for water-based and 3% for solid formulations. For dilutions, 42% for organic-solvent based, 37% for water-based and 39% for solid formulations. Organic-solvent based dermal absorption values from experimental data can be used as conservative surrogates for solid and water-based formulations. When no experimental data is available for higher spray dilutions of a given formulation type, a pro-rated correction is proposed to a 2 to 5-fold concentration difference, limited to the respective formulation group default value. © 2025 The Authors",NA,"32"
"7","Lisa","YES","41","Lisa","maybe","Esimbekova E.N.; Satir D.V.; Kratasyuk V.A.","Types of Pesticides Interaction in Mixtures: Results of Inhibitory Assay","2025","Doklady Biochemistry and Biophysics",NA,NA,NA,"10.1134/S1607672924601422","Abstract: Enzymatic inhibitory assay based on the coupled enzyme system NAD(P)·H:FMN oxidoreductase and luciferase (Red + Luc), originally developed for environmental monitoring of soils, water, and air, is proposed as a method for evaluating changes in the properties of active ingredients of pesticide preparations depending on the additional components (formulants), as well as when pesticides are combined in mixtures. Using the commercial pesticide preparations containing glyphosate, it was shown that the degree of inhibition of the coupled enzyme system Red + Luc largely depends on the formulants rather than on the active ingredient in their composition. Moreover, the combined inhibitory effect of the pesticides mixture on the coupled enzyme system Red + Luc was not additive. According to the results of the inhibitory assay, the type of interaction of pesticide preparations in mixtures depends on both the formulants used and the ratio of pesticides in the mixture. © Pleiades Publishing, Ltd. 2025.",NA,"41"
"8","Lisa","NO","46","Lisa","maybe","Feng T.; Liu J.; Wu L.; Luo Y.; Liu L.; Li F.; Wu G.; Lu P.; Zhang Y.","Acute toxicity, bioconcentration, and metabolomic profiling of agrochemical organosilicone spray adjuvants in Zebrafish","2025","Aquatic Toxicology","283",NA,NA,"10.1016/j.aquatox.2025.107362","Agrochemical organosilicone spray adjuvants, widely applied in agroecosystems, are suspected to pose environmental risks based on recent studies. In response to these concerns, we have purified the active components of these adjuvants, specifically a series of oligomers of hydroxy(polyethyleneoxy) propyl-heptamethyl trisiloxane (TSS-H), including ethylene oxide (EO) units ranging from 4 to 12. For analysis of TSS-H in zebrafish and water, a method utilizing high-performance liquid chromatography coupled with high resolution mass spectrometry (HPLC[sbnd]HRMS) was developed. The findings revealed that at total TSS-H concentrations of 0.04, 0.4, and 4 mg/kg, the average recovery rate of TSS-H containing 4 to 12 EO units in zebrafish ranged from 81.2 % to 107.2 %, with relative standard deviations (RSDs) between 0.1 % and 8.4 %. The 96-hour LC50 of TSS-H in zebrafish was 6.71±0.04 mg/L. At exposure concentrations of 0.0671 mg/L and 0.671 mg/L, TSS-H oligomers reached a steady state in zebrafish within 14–21 days, with concentrations ranging from 0.008 to 0.05 mg/kg and 0.018 to 0.348 mg/kg, respectively. Bioconcentration factor (BCF) values for TSS-H oligomers (4–12 EO units) were 1.87–11.59 at the low dose and 0.79–9.19 at the high dose after 14 days. The elimination half-lives of the oligomers were <2.37 days during the elimination phase. Non-targeted metabolomic analysis revealed both TSS-H doses significantly impacted lipid and amino acid metabolic pathways, with disruptions largely associated with abnormal energy metabolism, oxidative stress, and alterations in membrane composition. These findings are critical for assessing the food safety and environmental risks of agrochemical organosilicone spray adjuvants in fish. © 2025",NA,"46"
"9","Lisa","NO","47","Lisa","maybe","Thompson L.J.; Stanley D.A.; Dacke M.; Herbertsson L.","Bumblebees avoid sucrose solution containing high concentrations of Roundup","2025","Ecotoxicology",NA,NA,NA,"10.1007/s10646-025-02878-9","Herbicides are one of the most heavily applied groups of pesticides globally. Whilst research on herbicides in relation to bees is growing, we still have more to learn about how bees may interact with herbicides and the subsequent consequences for bee health. As herbicides are designed to kill the plants they are applied to, bees and other pollinators may interact with them in a different way to other pesticide groups which is important to understand in the context of evaluating hazard and risk. Here, we conducted both a choice and no-choice test, to determine if bumblebees would be deterred from foraging from feeders containing commercial formulations of Roundup (Ultra and Biactive, respectively) compared to controls. We found across both experiments that bees were deterred from foraging where feeders contained above field-realistic concentrations of Roundup formulation, and that on average colonies reduced their consumption from these feeders by ~50% despite lacking other food sources. This demonstrates that, when given no choice, bees can be deterred from sucrose containing Roundup Biactive, although above expected field concentrations, even to their own nutritional detriment. Separately, individual foragers were observed avoiding feeders containing field-realistic levels of Roundup Ultra compared to controls, showing a preference for uncontaminated feed when given a choice. As this was an experimental setup using high concentrations of Roundup with sucrose solution rather than real flowers, more work is needed to understand this phenomenon under field conditions. This work provides useful information and insights for future studies investigating the impacts of glyphosate in the form of both active substance and formulation on bees and could also be useful in identifying future mitigation strategies for field use. © The Author(s) 2025.",NA,"47"
"10","Lisa","YES","52","Lisa","maybe","Deng X.; Wang Z.; Yin J.; Dong Z.; Shen J.; Yan S.; Bai L.","Preparation of a smart nano-herbicide MP@HLDP with strong permeability performance improves herbicidal activity while reducing the adverse impacts","2025","Chemical Engineering Journal","508",NA,NA,"10.1016/j.cej.2025.161045","Effectively increasing the herbicidal activity and utilization rate is vital for weed-sustainable management. Nanotechnology can efficiently be used to improve the utilization rate and enhance the efficacy of herbicides for advanced modern sustainable agriculture. Herein, a novel smart delivery system was developed to promote permeability performance and precision targeting of weeds for enhanced herbicidal activity. The current study designed and applied an efficient and eco-friendly nano-herbicide via metamifop (MP) modified by hydrophilic and lipophilic diblock polymer (HLDP), namely MP@HLDP. The HLDP was assembled with MP via electrostatic interaction, and the spontaneous complexation of MP with HLDP formed nearly spherical nanoparticles. The presence of HLDP reduced the contact angle of MP while increasing its retention, resulting in better foliar wettability and easier spreading of the droplets on weed leaves. Meanwhile, the plant uptake of MP@HLDP was enhanced, remarkably improving its herbicidal activity toward weed Echinochloa crus-galli (E. crusgalli), when compared to the commercial emulsion oil and technical compound even at a 30% reduced dosage. The conjoint analysis of transcriptomic and metabolome data indicated activation of the plant death responses by MP@HLDP nanoparticles through inhibiting the fatty acid biosynthesis pathway and chlorophyll metabolism. The safety evaluation of MP@HLDP nanoparticles on rice crops and systematic model nontarget organism revealed good safety to rice seedlings with reduced acute toxicity to aquatic zebrafish. Overall, new insights into creating an efficient and environmentally friendly herbicide nano-formulation were provided, promising for use in sustainable agriculture production. © 2025 Elsevier B.V.",NA,"52"
