STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT,...10
1,Lisa,NO,Bawa I.G.A.G.; Bawa-Putra A.A.; Santi S.R.; Sukadana I.M.; Suryanadi O.; Indyan G.,Formulation of the bark extract of Michelia champaca to control Curvularia leaf spot in rice (Oryza sativa L.),2024,International Journal of Agricultural Technology,20,1787,1796,NA,"The formulation of a botanical fungicide with the active ingredient of Michelia champaca bark extract to control the growth of Curvularia verruculosa, which causes leaf spot disease in rice plants in the greenhouse was investigated. The results showed that the formula for M. champaca bark extract at a concentration of 1.5% (w/v) was reduced the disease intensity of Curvularia leaf spot by up to 66.01% at 24 days after application. This formula was also able to increase the number of tillers and leaf chlorophyll levels by 40.05% and 41.18%, respectively at 63 days after planting. The formula of M. champaca bark extract at a concentration of 1.5% (w/v) increased the yield of harvested dry grain by 89.26%. © 2024 Association of Agricultural Technology in Southeast Asia. All rights reserved.",NA
2,Lisa,NO,Haller J.; Plietzsch O.,HOW TO DEVELOP A SAFE PROCESS WITH HAZARDOUS CHEMISTRY,2024,Chimica Oggi/Chemistry Today,42,20,23,NA,"The demand for active substances for pharmaceutical and agrochemical applications is constantly increasing. Many chemical structures used in innovative active ingredients may be successfully synthesized using hazardous chemistry. Although such reactions require process safety methodology, trained employees, specialized equipment, and precautions during development and manufacturing, they can have significant advantages in terms of the number of synthesis steps, impurity formation, operating costs, and environmental impact. To develop safe and robust commercial production processes using hazardous chemistry it is crucial to assess and manage the risks and hazards from project start. In this article, we will speak about highly energetic azide chemistry in the development of a commercial scale process to manufacture a tetrazole bearing API. We will focus on managing the risks evaluation and controls to develop safe and efficient processes on commercial scale. The description is based on a real-life example of a tetrazole formation involved in a commercial API – Oteseconazole/VT-1161. © 2024 TeknoScienze. All rights reserved.",NA
3,Lisa,NO,Ziedan E.-S.H.E.-S.,ESSENTIAL OILS A GREEN FUNGICIDES FOR CONTROLLING POSTHARVEST DISEASES ON BANANA FRUITS: A REVIEW,2024,"Analele Universitatii din Oradea, Fascicula Biologie",31,121,137,NA,"Essential oils (EOs) are widely acceptable in cooking, medical, and food industrial products, because its low residual, low toxicity on humans, animals and plants. EOs are more attractive as antifungal at low concentrations against major plant pathogens than synthetic chemical fungicides for management postharvest diseases incidence on banana fruits during storage, transportation and marketing i.e., crown rot, anthracnose, neck rot and finger end rot. In vitro, EOs of cinnammon, clove, lemongrass, thyme, black seed, basil, tea tree and other oils at (1.0%) were effective for inhibition growth of fungal pathogens causing postharvest rots on banana fruit of various fungal genera such as Fusarium species, Colletotrichum species, Lasiodiplodia theobromae and Aspergillus tamarii. Different application methods of EOs can be used for controlling postharvest diseases incidence of banana fruits, such as fumigation, spray, dusting and soaking, with the high efficacy of soaking banana fruits in the essential oil suspensions by the rate (2–5%) for 10 minutes. The most antifungal mechanisms of (EOs) on fungi causing postharvest are inhibition synthetic of cell wall, increasing permeability of plasma membranes, morphological changes in cell originals, deterioration of cytoplasm contents, disrupt cell structure and death the cell. In addition, inhibition development mycelium, conidia production and conidial germination and also, inhibition formation of appressoria during invasion process as well as, inhibition the activities cell wall degrading enzymes of cellulose and pectineases during fungal infection of plant tissue. Furthermore, the synergistic antifungal effect of EOs with edible agents or modified atmosphere such as, EOs of lemongrass or citral in combined treatments with sodium carbonate, cinnamon oil or clove EOs in combination with modified atmosphere, cinnamon oil in combination with Arabic gum by the rate (0.4%–10%) respectively and the combination of clove oil and agar agar by the rate (2% - 0.02%). Moreover, application of nanoemulsions of tea tree oil in combination with sodium alginate, were highly effective for suppressive postharvest diseases on banana fruits, increasing shelf life of banana fruits and maintenance marketable characters. The future investigation the development EOs and their effective chemical components in encapsulation of micro- and nano formulations for increasing their efficacy for a long time, by slow release to loss degradation and evaporation after application. So, this review aims to focusing of applicable of EOs and their biological active components as well as development its in formulations as eco-friendly green fungicides for management postharvest fungal diseases on banana fruits. © (2024), (Analele Universitatii din Oradea). All rights reserved.",NA
4,Lisa,NO,Dwivedi S.; S. Yadav P.K.; Singh G.,Maleic Anhydride-Based Surfactants and Their Properties,2024,Sustainability in Chemical Processes through Digitalization and Green Chemistry Approaches,NA,145,158,NA,"A novel class of surfactants derived from maleic anhydride has incredible properties. Maleic anhydride is an acid anhydride of maleic acid that is a colorless organic compound that is mostly used as an additive in the paint and coating industries. These surfactants provide excellent solubilization, dispersion, low foaming, and synergic properties. In addition, maleic anhydride-based surfactants are less toxic, biodegradable and can be produced from green synthesis. These surfactants are produced by reacting maleic anhydride with triglycerides in the presence of acid catalysts, which impart certain enhanced characteristics to the surfactant. These properties can be further demonstrated with the help of NMR, IR and elemental analysis. Additionally, maleic anhydride-based surfactants are widely used in the manufacturing of laundry detergents, hard surface cleaners, fabric softeners, cement setters, unsaturated polyester resins, coatings, pharmaceuticals and pesticides. The present paper addresses the routes of synthesis, properties and applications of maleic anhydride-based surfactants.",NA
5,Lisa,NO,Farhadi Z.; Ziaee M.; Esfandiari M.; Salimi A.; Rasekh A.,"Does microemulsification improve the insecticidal activity of cypermethrin against the melon aphid, Aphis gossypii (Hemiptera: Aphididae)?",2024,Journal of Crop Protection,13,191,208,NA,"The melon aphid, Aphis gossypii Glover (Hemiptera: Aphididae) is one of the important ornamental plant pests in urban regions. In this study, the microemulsion system was developed using cypermethrin insecticide as the active ingredient, xylene as the solvent, and surfactants including Tensiofix 8427 + SDS, and Tensiofix 8427 + SLS, and 1-butanol (cosurfactant), as stabilizer. The optimal microemulsion formulation was determined using a pseudo-ternary phase diagram using the water titration method. The microemulsions mean droplet sizes were in the range 11.2–22.8 nm. The droplets of all three formulations were spherical and uniformly dispersed in water. The mortality percentage was 66.66, 56.66, and 55.00% 24 h after aphids exposure to C1-250 (cypermethrin: Tensiofix 8427 + SDS + 1-butanol: water, at the ratio of 10:20:70), C2-250 (cypermethrin: Tensiofix 8427 + SLS + 1-butanol: water, at the ratio of 10:20:70), and C3-250 (cypermethrin: Tensiofix 8427 + SLS + 1-butanol: water, at the ratio of 15:30:55), which increased to 92.86, 89.29, and 83.94%, 48 h after exposure, respectively. The results revealed that the microemulsion formulation containing cypermethrin 250 g/L was more effective in controlling A. gossypii than cypermethrin technical material and 150 g/L cypermethrin-based microemulsion. © 2024, Tarbiat Modares University. All rights reserved.",NA
6,Lisa,NO,Adetuyi B.O.; Olajide P.A.; Adetunji C.O.,Techniques Involved in the Structural Elucidation and Characterization of Active Constituents That Could Serve as Repellent Products Containing Plant- Based Ingredients as Nanobioinsecticide,2024,Handbook of Agricultural Biotechnology: Volume IV Nanoinsecticides,NA,223,256,NA,"Farming contamination is a consequence of contemporary farming techniques. Due to the current agricultural outputs, such practice may lead to the annihilation of ecosystems, soil, as well as the surroundings. Agricultural production is somewhat harmed by the extensive usage of chemical fertilizers, insecticides, and tainted water sources. As a result, the food and agricultural industry’s present condition is no longer viable. There is a good chance that agro-based nanotechnology will significantly affect plant development and environmentally friendly agricultural production. Recent studies have demonstrated how nanotechnology has the ability to boost the effectiveness of agricultural inputs and offer answers to farming practices to increase food production efficiency and safety. The potential use of nanosized agricultural chemicals in agribusinesses, such as nanopesticides, nanosensors, and nanoformulations, has changed conventional agricultural practices and made them highly effective and durable. Nevertheless, the use of emerging nano-products in actual real-world settings prompts questions regarding the security of nanostructures, their degree of exposure, and their hazardous environmental consequences and public health. The current analysis provides information on latest events in agricultural chemicals derived from nanotechnology which have completely changed the agricultural sector. © 2024 Scrivener Publishing LLC.",NA
7,Lisa,NO,Soudani N.; Boukhalfa H.H.; Toumi K.; Soudani A.,Human Health and Environmental Risk Perceptions Related to Pesticide Use in Algerian Market Gardening,2024,Agriculturae Conspectus Scientificus,89,391,403,NA,"A random survey was performed in Ain Naga and Doucen of Biskra (Southeast Algeria) during 2016/2017 and 2017/2018 crop seasons to assess the environmental and human health risks posed by pesticides applied in Algerian market gardening systems, and to identify products with lower risks. Therefore, the Quebec Pesticide Risk Indicator ""IRPeQ"" is used to compute risk indices of 24 different active substances widely used and potentially hazardous. Data for these calculations of the Human Risk Index (HRI) and Environmental Risk Index (ERI) values are sourced from global databases of pesticides' properties. Data reveal that the Human Risk Index, formulations based on triadimntol exhibited the highest value (HRI = 4580), while formulations of Acarol 10 WP® and Hexizox® based on Hexythiazox displayed the lowest value (HRI = 20). Regarding the Environmental Risk Index, formulations containing tefluthrin and fenbutatin oxide registered the highest value (ERI = 462), whereas Maneb (a.s.) had the lowest value (ERI = 33). Mopistop® and Score® formulations are therefore identified as the most favourable products, ensuring both safe and sustainable production. © 2024, University of Zagreb - Faculty of Agriculture. All rights reserved.",NA
8,Lisa,NO,Anil B.C.; Savita; Shubhan; Mahrach Y.; Vidhate D.A.; Babu M.S.,Application of Nanotechnology in Agricultural Systems: Improving Efficiency and Sustainability,2024,International Journal of Intelligent Systems and Applications in Engineering,12,7,12,NA,"Nanotechnology is the field that studies how to manipulate matter on an atomic scale. The discipline of managing the smallest particles possible has the possibility of enhancing agricultural productivity in the face of obstacles that cannot be handled using conventional approaches. Improving the fertility of the soil by releasing stored nutrients is a primary goal of management, and nano clays and zeolites are used to improve fertilizer efficiency. Using nano biosensors and a satellite network, farmers can calculate the precise inputs their crops need and have them delivered to them at the perfect time and place. The development and research of nanoherbicides are being driven by the difficulties of controlling perennial weeds and decreasing the supply of weed seeds. Mechanisms such as targeted distribution, slow/controlled release mechanisms, and conditional release might allow the active components of a nanostructured formulation to be released with more precision in response to environmental signals and biological demands. Nanofertilizers have been demonstrated to improve nutrient usage efficiency, reduce soil toxicity, and buffer against the potentially disastrous effects of overdose, all while reducing the number of times they need to be applied. As a result, nanotechnology has a lot of potential for helping developing countries adopt sustainable agricultural methods. © 2024, Ismail Saritas. All rights reserved.",NA
9,Lisa,NO,Lina E.C.; Holeng H.S.F.; Nelly N.; Reflin; Ernis G.,Nanoemulsion of the Mixture of Citronella Grass Distillation Waste and Piper aduncum Essential Oil to Control Spodoptera frugiperda (Lepidoptera: Noctuidae),2023,Philippine Journal of Science,152,1131,1137,NA,"Corn production in Indonesia is challenged by the attack of the new invasive pest fall armyworm (Spodoptera frugiperda, Lepidoptera: Noctuidae). This pest is known to be resistant to many synthetic insecticides. Botanical insecticide with nanoemulsion formulation is an option to solve this problem because it was relatively eco-friendly, and the various active components delay insect resistance and insect resurgence. The objectives of this research are to determine the characteristics of the nanoemulsion of the mixture of spiked pepper (Piper aduncum) and citronella grass distillate waste (Cymbopogon nardus) and to test the insecticidal activity of nanoemulsion against Spodoptora frugiperda. The nanoemulsion formulation is made with the spontaneous emulsification method. The leaf dipping technique is applied at the nanoemulsion toxicity test on S. frugiperda larvae. Then, the nanoemulsion formulation is analyzed with PSA and Zetasizer Nano Malyern to measure the particle size and zeta potential. The result of the research shows that the nanoemulsion of the mixture of citronella grass waste and P. aduncum fruit oil has insecticide activity with LC50 = 0.53%. Additionally, it causes mortality and developmental delay in S. frugiperda larvae. The nanoemulsion particle is 273.1 nm. It has homogeneity and an even distribution. © 2023, Department of Science and Technology. All rights reserved.",NA
10,Lisa,NO,Falcão E.L.; Barreto C.B.; da Silva F.S.B.,From phenolics to proteins of Anadenanthera Colubrina (Veil.) Brenan: Potential of mycorrhizal technology to enhance the production of relevant agents to combat infectious Diseases,2023,Endophytic and Arbuscular Mycorrhizal Fungi and their Role in Sustainable Agriculture,NA,159,177,NA,"It is remarkable the need to develop therapeutic options for the treatment of infections and several allopathic drugs are available for this purpose. However, owing to the increasing number of emerging infectious diseases and high demand for active ingredients that reduce the growth of drug-resistant microorganisms, the search for new herbal medicines should be highlighted. However, not all plant species have the potential to incorporate such formulations, making it essential to select plants that can be used to combat different types of infectious agents. In this context, Anadenanthera colubrina (Vell.) Brenan (cebil) is a Fabaceae that occurs in South America and used in folk medicine. It contains bioactive compounds from primary and secondary metabolism, which confer relevant properties in the treatment of infectious diseases. Its bark is the most used part to obtain these benefits and the one with the largest number of studies on pharmacological properties, followed by the leaves and, to a lesser extent, its fruits and seeds. Among the primary compounds, the carbohydrates present in its gum have fungicidal and anti-diarrheal actions; in the leaves, the presence of protease inhibitors was evaluated concerning their anti-inflammatory effect. Besides these biomolecules, A. colubrina produces high concentrations of phenolic compounds found in all plant organs and related to the anti-inflammatory, bactericidal, fungicidal, and anti-biofilm activities of the extract, especially proanthocyanidins and hyperosides. Apart from the seeds, which do not present sufficient studies to prove their antioxidant potential, the other parts of the cebil have in vitro antioxidant activity verified and related to phenolics, especially the proanthocyanidins. Another relevant trait of A. colubrina extracts is attributed to the low cytotoxicity, which may favor the use of A. colubrina in pharmaceutical formulations. As a means of enhancing the quality of the phytomass offered, the mycorrhizal technology, which consists of the use of selected arbuscular mycorrhizal fungi (AMF), has the potential to enhance the concentration of metabolites of pharmaceutical interest, due to the high mycotrophy of the species. Thus, this chapter will discuss the main segments that can use compounds of A. colubrina as agents that promote the treatment of infectious diseases; furthermore, it will discuss the potential of AMF in improving the quality of raw material of this species offered to the industry of herbal medicines. © 2023 Nova Science Publishers, Inc. All rights reserved.",NA
