STUDY_ID_FAUX,STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT,...13,,,,,
15,1721,Lisa,YES,"ROWE, VK; HYMAS, TA","SUMMARY OF TOXICOLOGICAL INFORMATION ON 2,4-D AND 2,4,5-T TYPE HERBICIDES AND AN EVALUATION OF THE HAZARDS TO LIVESTOCK ASSOCIATED WITH THEIR USE",1954,AMERICAN JOURNAL OF VETERINARY RESEARCH,15,622,629,NA,"The acute oral ID50 values for 2,4-D; 2,4,5-T and their various derivatives commonly used as herbicides fall in the range of 300 to 1,000 mg/kg for mice, rats, guinea pigs, rabbits and cattle. Dogs are generally more susceptible and chicks are more tolerant of this type of material. The acute oral ID50 values for commercial formulations of 2,4-D and 2,4,5-T that were used in these experiments were proportional to their content of active ingredient. The ""inert ingredients"" do not appear to contribute materially to the oral toxicity of the formulations. MCP (2_methyl_4_chlorophenoxyacetic acid) and silvex (2-(2,4,5_trichlorophenoxy) propionic acid) and their herbicidal derivatives appear to be slightly less toxic than the corresponding 2,4-D and 2,4,5-T materials. The hazard to livestock and wildlife associated with the use as recommended of herbicides containing 2,4-D, 2,4,5-T, MCP, and silvex is negligible. Toxic amounts of these materials can be obtained if animals have access to spray tanks or other containers.",NA,,,,,
17,1723,Lisa,YES,"PALMER, JS",TOXICITY OF METHYLURACIL + SUBSTITUTED UREA + PHENOL COMPOUNDS TO SHEEP,1964,JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,145,787,+,NA,"As many as 11 daily oral doses of 6 different chemical formulations, representing 3 general categories (methyluracil and substituted urea and phenol) were given to sheep. Calculation of each dose was based on a milligram per kilogram of body weight of the active ingredient contained in commercial products. Five herbicides were given at the rate of 250 mg/kg. Following this, all compounds were given at lower dose rates to determine the relative toxicity of each formulation. Of the herbicides studied, 2 compounds, a liquid formulation of alkanolamine salts of dinitro-o-sec-butyl phenol and a wettable powder product with linuron (3[3,4-dichlorophenyl]-l-methoxy-1-methylurea) as the active ingredient, produced the most severe toxicosis to sheep. Use of these compounds in areas where sheep might be grazing should be avoided, especially where application to pastures equals or exceeds 1 qt. or 2 lb. of the active ingredient per acre, an approximate concentration of 25 mg/sq ft. In contrast, diuron (3[3,4-dichlorophenyl]-l, 1-dimethylurea) at 25 mg/kg appeared to have little toxic effect when compared with other substituted urea compounds as measured by weight changes in the sheep during the trial period.",NA,,,,,
19,1725,Lisa,YES,"HELTON, AW; ROHRBACH, KG",TRANSLOCATION OF 12 FUNGICIDAL COMPOUNDS INJECTED INTO TREES OF PRUNUS DOMESTICA,1966,PHYTOPATHOLOGY,56,933,+,NA,"A cycloheximide derivative, five 8-quinolinol compounds, one pyridinethione, one organic mercury, one organophosphate, a phenyl sydnone, four Phytoactin formulations, and an alcohol were branch injected at various concentrations into Italian prune trees. Translocation characteristics were determined by quantity absorbed, distribution of high-concentration injury symptoms, and bioassay of stem tissues from selected locations in treated trees. The results indicated that all compounds were translocated to some extent, and the performance of 8-quinolinol benzoate was outstanding. This compound was distributed throughout the tested parts of trees treated with 5000 ppm, and bioassays were successful for as long as 407 days after treatment. Structural differences among the 8-quinolinols accounted for slight differences in translocation and for prominent differences in bioassay results. The presence of methyl alcohol with 8-quinolinol benzoate accounted for similar differences for that compound. The severity of symptoms caused by the Phytoactin preparations varied inversely with the percentage of active ingredient contained in the undiluted product. This indicates that the observed phytotoxicity was not caused by the antibiotic. Bioassays of root, fruit, and leaf tissues were made from trees treated with cycloheximide thiosemicarbazone. Positive results were obtained only with leaf extracts.",NA,,,,,
28,1734,Lisa,YES,"EIJSACKERS, H","SIDE-EFFECTS OF THE HERBICIDE 2,4,5-T AFFECTING MOBILITY AND MORTALITY OF THE SPRINGTAIL ONYCHIURUS-QUADRIOCELLATUS GISIN (COLLEMBOLA)",1978,ZEITSCHRIFT FUR ANGEWANDTE ENTOMOLOGIE-JOURNAL OF APPLIED ENTOMOLOGY,86,349,372,NA,"The herbicide 2,4,5-T is widely used in forestry and nature reserves against black cherry (Prunus serotina) and birch (Betula spp.). When adult specimens of the springtail O. quadriocellatus were continuously exposed to the herbicide in the lab, a dose of 0.003 ml/dm2 caused a significant increase in mortality. The active ingredient of the herbicide (2,4,5-T isooctylester) and the formulation fluid itself proved to be toxic. The toxic action of the herbicide is mainly caused by direct contact; there was only a slight effect after application as a vapor. Juvenile springtails proved more susceptible than adults. The herbicide also influenced the mobility of the springtails. A high dose (0.025 ml/dm2) decreased mobility, and a low dose (0.003 ml/dm2) increased mobility. The herbicide had a repellent action on springtails; these were able to avoid treated sections of the substrate, and to escape from them. In spite of this repellency a considerable proportion of the springtails tested died, although given the opportunity to escape. They died on the treated substrate or after escape from it. The amounts of herbicide on the soil under and between black cherry shrubs after practical applications varied from 0.0005-0.017 ml/dm2. Side effects of the herbicide 2,4,5-T should be expected in the field.",NA,,,,,
30,1736,Lisa,YES,"AYLING, RD; BACHELARD, EP",COMPARISON OF THE EFFECTS OF 2 DERIVATIVES OF PICOLINIC-ACID HERBICIDES ON PINUS-RADIATA AND EUCALYPTUS-VIMINALIS,1979,AUSTRALIAN FOREST RESEARCH,9,255,263,NA,"The effects of the 2 commercial herbicides, Tordon 22K and Tordon 50D, on P. radiata seed germination and subsequent seedling growth and their toxicities to P. radiata and E. viminalis seedlings were examined in relation to the type and formulation of their active ingredients. Tordon 22K is the potassium salt of 4-amino-3,5,6-trichloropicolinic acid and Tordon 50D is made up of 1 part triisopropanolamine salt of 4-amino-3,5,6-trichloropicolinic acid to 4 parts 2,4-D. There was no evidence that differences in the formulation of picloram in either herbicide influenced differences in the toxicities of these preparations to P. radiata seedlings. Wtih 1 exception (the toxicity of Tordon 22K to E. viminalis seedlings), the herbicidal effects of Tordon 22K and Tordon 50D could be explained in terms of their active constituents, picloram and 2,4-D. Tordon 22K was considerably more toxic to eucalypt seedlings than solutions containing its active ingredient, picloram.",NA,,,,,
33,1739,Lisa,YES,"PAPAVIZAS, GC; SCHWENK, FW; LOCKE, JC; LEWIS, JA",SYSTEMIC FUNGICIDES FOR CONTROLLING PHYTOPHTHORA ROOT-ROT AND DAMPING-OFF OF SOYBEAN,1979,PLANT DISEASE REPORTER,63,708,712,NA,"Technical 5-ethoxy-3-(trichloromethyl)-1,2,4-thiadiazole (ETMT) applied to soybean seed with an organic solvent (acetone or dichloromethane) significantly reduced root rot and damping-off caused by P. megasperma var. sojae (Pms). Commerically formulated ETMT (25 EC) added directly to the seed did not reduce disease. The experimental fungicide propyl [3-(dimethylamino)propyl]carbamate HCl (SN66752) applied to the seed directly or with a solvent (water, acetone, dichloromethane) reduced postemergence damping-off and mean root rot severity on surviving plants. Seed infusion with SN66752 in a solvent was more effective than direct application at 2.8 g active ingredient/kg seed. The experimental fungicide N-(2,6-dimethylphenyl)-N-(methoxyacetyl)alanine methyl ester (metalaxyl) (CGA-48988) significantly reduced disease, regardless of method of application. Seed treatment with ETMT, SN66752, or metalaxyl did not affect plant emergence, plant height and fresh or dry root weight in pasteurized soil. Dry weight of vines from the nontreated control was lower than that of vines from the seed treatments. None of the 3 fungicides added to soybean seeds directly or with acetone significantly reduced Pms of increased yields in the field in Kansas [USA] in 2 consecutive yr.",NA,,,,,
41,1747,Lisa,YES,"RAMAKRISHNA, C; SETHUNATHAN, N",STIMULATION OF AUTOTROPHIC AMMONIUM OXIDATION IN RICE RHIZOSPHERE SOIL BY THE INSECTICIDE CARBOFURAN,1982,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,44,1,4,NA,"The application of the insecticide carbofuran (technical or formulated) to rice rhizosphere soil suspensions at 10 and 100 ppm (.mu.g/ml) of active ingredient distinctly stimulated the autotrophic oxidation of ammonium. Evidence suggested that Nitrosomonas sp. was enriched in the presence of carbofuran. Formulated carbofuran (Furadan 3G) exhibited a more pronounced stimulation of ammonium oxidation than that exhibited by the technical-grade (99.5%) carbofuran, a result which was attributed to the CaCO3 present in the formulation.",NA,,,,,
50,1756,Lisa,YES,"BELLINDER, RR; LYONS, RE; SCHECKLER, SE; WILSON, HP",CELLULAR ALTERATIONS RESULTING FROM FOLIAR APPLICATIONS OF HOE-39866,1987,WEED SCIENCE,35,27,35,NA,"Formulated and technical grade HOE-39866 [ammonium-(3-amino-3-carboxypropyl)methylphosphinate] at concentrations of 10-1, 10-2, and 10-3 M were applied to leaf blade tissues of nonreproductive adult redroot pigweed (Amaranthus retroflexus L. #3 AMARE) and fall panicum (Panicum dichotomiflorum Michx. # PANDI). Tissues were sampled at regular intervals after treatment and prepared for light microscopic examination. The major response of both species involved rupture and contortion of the interveinal mesophyll cells with concomitant disorganization of the bundle sheath cells. Rapid epidermal collapse occurred in redroot pigweed but not in fall panicum. The absence of adjuvants resulted in nonuniform symptom expression as herbicide droplets accumulated in depressions and along leaf margins. No other adjuvant-specific effect was observed. herbicide concentration did not alter the final response but the time-to-expression increased as concentration decreased.",NA,,,,,
64,1770,Lisa,YES,NA,Conclusion regarding the peer review of the pesticide risk assessment of the active substance Oxamyl,2005,EFSA JOURNAL,3,NA,NA,NA,"Oxamyl is one of the 52 substances of the second stage of the review programme covered by Commission Regulation (EC) No 451/20001, as amended by Commission Regulation (EC) No 1490/20022. This Regulation requires the European Food Safety Authority (EFSA) to organise a peer review of the initial evaluation, i. e. the draft assessment report (DAR), provided by the designated rapporteur Member State and to provide within one year a conclusion on the risk assessment to the EU-Commission. On 25 August 2003, Ireland being the designated rapporteur Member State submitted in accordance with the provisions of Article 8(1) of the amended Regulation (EC) No 451/2000, the DAR on oxamyl to the EFSA. The peer review was initiated on 13 October 2003 by dispatching the DAR for consultation of the Member States and the sole notifier DuPont. Subsequently, the comments received were examined by the rapporteur Member State and the need for additional data was agreed in an evaluation meeting in March 2004. Remaining issues as well as further data made available by the notifier upon request were evaluated in a series of scientific meetings with Member State experts in June and July 2004. A final discussion of the outcome of the consultation of experts took place with representatives from Member States on 15 December 2004 leading to the conclusions as laid down in this report. The conclusion was reached on the basis of the evaluation of the representative uses as nematicide and insecticides as proposed by the notifier which comprises broadcast application in potato to control the potato cyst nematode as well as suppressing early aphid infestations and Spraing at application rate of 4.0 kg/ha for early potatoes or up to 5.5 kg/ha for potatoes. Analytical methods for the determination of residues of oxamyl are available for potatoes, soil, water, air and blood. An analytical method for food of animal origin is not required due to the fact that no residue definition is proposed. Oxamyl is absorbed to a high degree, without evidence of accumulation. Oxamyl is extensively metabolised and the major metabolite was IN-A2213 and minor metabolites were IN-L2953 and IND2708. The acute oral and inhalatory toxicity is high (T+; R26/28) but dermal toxicity on the other hand is low. Oxamyl was neither an irritant nor a sensitizer in skin but it was a transient eye irritant. Effects observed during short term and long exposure were clinical signs as a consequence of decreased cholinesterase activity. Oxamyl was not genotoxic or carcinogenic and the reproductive performance was not affected by oxamyl. The soil metabolites IN-A2213 and IN-D2708 are not considered as relevant. The ADI, AOEL and ARfD are all set to 0.001 mg/kg bw/day based on the NOAEL of 0.1 mg/kg bw/day in the acute neurotoxicity study in the rat, with a safety factor of 100. However, it should be noted that a scientifically valid human study is available, where the NOAEL is 0.06 mg/kg bw/day, which could be used for derivation of the ARfD. The dermal absorption is 0.04% for the granular formulation Oxamyl 10GR. Based on this value of dermal absorption, a treated area of 4.6 ha/day as well as a max. application rate of 5.5 kg a. s./ha, the estimated operator exposure was below AOEL according to calculations in the US PHED model when respiratory protective equipment (RPE) is applied during the loading and mixing and application procedures. The metabolism of oxamyl in potatoes after granular application to soil does not yield metabolites of toxicological concern based on the assessment of available data (refer to point 2.8). It was also demonstrated that no parent oxamyl is present in potatoes treated in this manner. Consistently, no residues of oxamyl were quantified in any of the potatoes tuber samples from field trials conducted according critical GAP. Using a residue level equal to the LOQ of 0.02 mg/kg for food of plant origin in the chronic dietary risk assessment represents a worst-case scenario and leads to estimated intakes for consumers not exceeding 73% of the proposed ADI. An acute risk for consumers from the consumption of potatoes grown according the examined representative GAP can not be stated as oxamyl residues are not present. However, EFSA notes that if oxamyl residues were present in potatoes at a level of 0.02* mg/kg then the ARfD for oxamyl of 0.001 mg/kg bw/day may be exceeded for certain consumer subgroups. In aerobic conditions degradation of oxamyl in soil yields IN-A2213 (oxamyl oxyme) that is further degraded to IN-D2708 (DMOA) and then to CO2 and unextractable soil components. Metabolite IN-N0079 (N, N-dimethyl-1-cyanoformamide) appears at relatively high levels in the soil photolysis study. This is not a photolysis metabolite and its formation is catalyzed by ferrous ion. Degradation of oxamyl in soil is strongly pH dependent, with the longer half life for the single acidic soil studied. New data to assess effect of pH in the degradation was required to the notifier. Additional data presented by the notifier on the degradation of oxamyl in acidic soils has not been fully evaluated due to late submission. Furthermore, modelling for this substance and their metabolites are necessary to fully characterize the impact of the degradation rate of oxamyl at different soil pHs. New data has been submitted in relation with this point on November 2004. Oxamyl, IN-A2213, IN-D2708 and IN-N0079 are weakly adsorbed in soil. No pH dependence is observed for any of the compounds studied. In sterile aqueous buffer solutions, hydrolysis of oxamyl is strongly pH dependent. At acidic pH the compound is stable. Metabolites IN-A2213, IN-D2708 and water sediment metabolite IN-T2921 are stable at pH 4, 7 and 9. Aqueous photolysis may contribute to the degradation of oxamyl in the environment but it is not expected to contribute to the environmental degradation of the metabolites. Oxamyl is not readily biodegradable. In water sediment systems, major metabolites in water were IN-A2213, IN-D2708, IN-N0079 and INT2921. The cumulative amounts of CO2 evolved up to a maximum of 60.9 % AR. Only metabolite IN-D2708 was found in significant amounts in the sediment. Oxamyl degrades faster in the water phase with a half life between 0.4 and 1 day. Half life of metabolites in the total system is generally below 20 days except for IN-D2708 in one system. Potential risk for contamination of surface water and sediment by oxamyl and its metabolites IN-A2213 and IN-D2708 was assessed by FOCUS surface water modelling. Also Initial PECsw for water / sediment metabolites IN-N0079 and INT2921 has been calculated. With respect to ground water contamination, it is concluded that there may be a high risk of contamination by oxamyl and its metabolites in certain circumstances, particularly if application is made on acidic soils that have not been fully assessed. The risk to bees, non-target arthropods, soil micro-organisms, terrestrial plants and biological methods for sewage treatment is low with respect to oxamyl and the metabolites as far as investigated. The risk to aquatic organisms can be considered low for all the drainage scenarios and the run-off pond scenario. For the 3 run-off stream scenarios from the FOCUSsw step 3 scenarios evaluated, the trigger was still breached indicating a high risk to aquatic organisms under these circumstances. Risk mitigation measures need to be taken into account at MS level to address this risk. The aquatic risk assessment has been conducted on the assumption that direct contamination (i. e. 'drift' of small granules) of surface water is not possible. A restriction highlighting the need to avoid the use of application machinery (i. e. pressurised systems) that may result in direct contamination of adjacent surface waters is proposed. A high risk to birds and mammals from the use of oxamyl and the need to address this risk further was identified. A full risk assessment can only be concluded when the outstanding data is evaluated. Also the long term risk to earthworms is considered high as the TER (breaches the Annex VI trigger value of 5. The need to address this risk further was identified.",NA,,,,,
65,1771,Lisa,YES,NA,Conclusion regarding the peer review of the pesticide risk assessment of the active substance,2005,EFSA JOURNAL,3,NA,NA,NA,"Fluoxastrobin is a new active substance for which in accordance with Article 6 (2) of Council Directive 91/414/EEC1 United Kingdom received an application from Bayer AG for inclusion in Annex I to Directive 91/414/EEC. Complying with Article 6 of Directive 91/414/EEC, the completeness of the dossier was evaluated and confirmed by Commission Decision 2003/35/EC of 10 January 2003 2. Following the agreement between the EU-Commission and the EFSA for the EFSA to organise a peer review of those new active substances for which the decision on the completeness of the dossier had been published after June 2002, the designated rapporteur Member State United Kingdom made the report of its initial evaluation of the dossier on fluoxastrobin, hereafter referred to as the draft assessment report (DAR), available on 2 September 2003. The peer review was initiated on 14 October 2003 by dispatching the draft assessment report for consultation of the Member States and the notifier. Subsequently, the comments received on the DAR were examined by the rapporteur Member State and the need for additional data was agreed in an evaluation meeting on 25 May 2004. Remaining issues as well as further data made available by the notifier upon request were evaluated in a series of scientific meetings with Member State experts in September and October 2004. Following the request by the EU-Commission further evaluations provided by the rapporteur Member State were discussed in meetings of experts in Parma in March 2007. A final discussion of the outcome of the consultation of experts took place with representatives from Member States on 20 July 2005 leading to the conclusions as laid down in this report. The outcome of the experts' discussion in March 2007 and the subsequent revision of the conclusion of fluoxastrobin were discussed with representatives from Member States on 26 April 2007. The conclusion was reached on the basis of the evaluation of the representative uses as fungicide as proposed by the applicant which comprises foliar spraying to control a range of fungal diseases in wheat, rye and barley at application rate up 200 g fluoxastrobin per hectare. An Annex III dossier for a representative seed treatment containing fluoxastrobin was submitted and evaluated. However, owing to issues relating to the other active substances present in the formulation used for seed treatment, it was not possible to complete overall the risk assessment. Fluoxastrobin can be used only as fungicide. The representative formulated product for the evaluation was ""HEC 5725 EC 100"", an emulsifiable concentrate (EC). Adequate methods are only available to monitor the compounds given in the respective residue definitions for food, water, soil and air. Only single methods for the determination of residues are available since a multi -residue -method like the German S19 or the Dutch MM1 is not applicable due to the nature of the residues. Sufficient analytical methods as well as methods and data relating to physical, chemical and technical properties are available to ensure that quality control measurements of the plant protection product are possible. In mammals, fluoxastrobin is rapidly and nearly completely absorbed and widely distributed within the body. The highest concentrations are detected in liver, kidneys and bladder as well as in the gastrointestinal tract. No accumulation in the body is observed. The major route of excretion in rats was biliary and faecal. The metabolism is extensive and 50 metabolites are identified. The acute toxicity of fluoxastrobin is low; it is not a skin or an eye irritant, nor a skin sensitiser. There is no evidence of genotoxicity or oncogenicity. Fluoxastrobin gave no evidence of reproductive toxicity or neurotoxicity. The acceptable daily intake (ADI) is 0.015 mg/kg bw/day, the acceptable operator exposure level (AOEL) is 0.03 mg/kg bw/day, and the acute reference dose (ARfD) is 0.3 mg/kg bw with a 100 -fold assessment factor applied. The operator risk assessment has been conducted only on the representative use in cereals as a spray application. No risk assessment for the representative use as a seed treatment in cereals is available in the DAR. The estimated operator exposure for HEC 5725 EC100 is below the AOEL without personal protective equipment (PPE) (34%), according to the German model. According to calculations with the UK POEM model, gloves have to be worn when handling the concentrate. The exposure for re-entry workers and bystanders is low (<10% of the AOEL). Applied to wheat plants by foliar application following a seed treatment fluoxastrobin itself and its Z isomer was the major residue found at harvest in straw and in grain accounting for about 86% and 80% of the total residue, respectively. Some metabolites found in plants were not observed in rat metabolism. However, due to their insignificant levels (<0.01 mg/kg) they were considered being of no concern in grain, whereas in straw some non-rat metabolites, e.g. 2-chlorophenol (M82(3)) and its glycoside (M84) are expected to be present at significant levels. However, M82 was also seen in livestock metabolism studies with fluoxastrobin, but others were not and their toxicity was not tested further. Depending on the soil, fluoxastrobin was shown to be highly persistent in soil and hence it was present in rotational crops at plant back intervals up to 328 days as the major residue. Decline of fluoxastrobin residues under processing conditions does not occur. Fed to ruminants and poultry, fluoxastrobin was intensively metabolised resulting in a comparable pattern to that observed in rat metabolism, with the exception of some metabolites, that were not specifically found in the rat, but not considered to be of concern due to insignificant levels (<0.01 mg/kg). In a feeding study levels of relevant compounds (fluoxastrobin, its Z-isomer and metabolite M55) in edible animal matrices were analysed, and MRLs have been proposed. The chronic dietary exposure assessment for consumers based on the representative GAP on cereals indicated that for all consumer subgroup the intake was less then 10% of the proposed ADI. The short term exposure of all considered consumer subgroups from individual commodities, based on consumption data of UK consumers, was all below 1% of the proposed ARfD. In an assessment of possible consumer exposure and consumer risk due to intake of metabolite M48 from drinking water the margin of safety was shown to be sufficient. Under aerobic conditions fluoxastrobin yield the major metabolite M48-E and 2-chlorophenol in soil. Mineralization was generally low. Metabolite M40 was identified as a potential major anaerobic metabolite in soil. Z-isomer of fluoxastrobin was identified as the major soil photolysis metabolite. As a result of the cleavage of the molecule 2-chlorophenol will be released at an expected worst case maximum amount of 49.2 % (see EFSA addendum on fate and behaviour; 26 July, 2005). The microbiologically driven degradation of 2-chlorophenol in soil was supported with a number of studies from the open scientific literature. In field trials the Z isomer of fluoxastrobin was measured at up to 19 %- 22 %. The EPCO experts' meeting on fate and behaviour in the environment (EPCO 12) agreed that Z-isomer of fluoxastrobin should be included in the residue definition in soil and assessed for their potential ecotoxicological relevance. Persistence of fluoxastrobin in soil may be very variable. Fluoxastrobin may behave as a moderate to high persistent compound. Metabolite M48-E is moderate to medium persistent in soil. Anaerobic metabolite M40 is moderately persistent in soil under aerobic conditions. Data available from open scientific literature show that the aerobic soil metabolite 2-chlorophenol is very low to moderately persistent in soil. PEC soil were calculated from peak concentration after four subsequent seasons with a seed treatment and two foliar applications per season. Maximum PEC for M48 provided in the DAR is based on worst case field formation of 6.3 %. New PEC soil for metabolite 2-chlorophenol are provided in addendum 7 to the DAR Fluoxastrobin may be classified as low to medium mobile, M48 as medium to very high mobile and M40 high to very high mobile. The rapporteur Member State identified a Koc soil pH dependence for fluoxastrobin. No adsorption / desorption data was available for metabolite 2-chlorophenol. This has been was identified as a new data requirement by EFSA. A new study is available for 2chlorophenol that may be classified as highly mobile in soil (addendum 7, December 2007). Fluoxastrobin is stable to hydrolysis at all environmental relevant pHs. Aqueous photolysis contributes to the aqueous dissipation of fluoxastrobin. The main photolysis metabolites are: Z isomer of fluoxastrobin, M36 and M56. No studies on ready biodegradability are available and fluoxastrobin was proposed to be non ready biodegradable by the experts meeting. Only metabolite M48-E was seen above 10 % AR in the water phase of the water / sediment systems. Concomitant formation of metabolite 2-chlorophenol at levels above 10 % cannot be excluded. Degradation of fluoxastrobin was slow in both systems. Dissipation from the water phase was mainly due to partition in to the sediment. Mineralization was very low and bound residues increased during the study to a maximum of 12.7 % AR. Formation of the metabolite Z-isomer of fluoxastrobin was observed in two irradiated aerobic water sediment studies. Contribution of photodegradation to the dissipation of fluoxastrobin from the water phase in these systems is not significant, probably due to the rapid adsorption to the sediment. PECsw and PECsed were provided by the applicant for the representative use. Spray drift initial PECsw for the metabolite M48-E was calculated by the rapporteur Member State. The rapporteur Member State also provided PECsw for drainage based on their national scheme. Potential loadings to surface water through run off were not considered in the assessment presented in the DAR. Due to the fact that fluoxastrobin may be high persistent in soil, potential surface water contamination through drainage and run off may not be excluded; therefore, a comprehensive assessment taking into account spray drift, run-off, drainage and effectiveness of potential mitigation measures to reduce surface water contamination is necessary to finalize the risk assessment of the EU representative uses. PECsw sED according to FOCUS SW scheme have been provided in addendum 7 (December 2006) for metabolite 2-chlorophenol up to STEP 2 based on the loadings from soil and used for the aquatic risk assessment of this metabolite. PECgw of fluoxastrobin and the metabolite M48-E were estimated using FOCUS-PELMO 1.1.1. Calculated concentrations of Fluoxastrobin at 1 m depth were negligible. However, metabolite M48-E exceeds the trigger 0.1.tg /L in eight of the nine scenarios when dependence of the adsorption Koc with the soil pH is taken into account. It is noted that for six of the scenarios the level of 0.75.tg /L is also exceeded by metabolite M48-E. Relevance assessment has been performed for this metabolite. Potential groundwater contamination by soil metabolite Z-isomer of fluoxastrobin is not addressed in the DAR, EFSA considers that the results of the exposure assessment made for fluoxastrobin may be applied to the Z-isomer. Potential groundwater contamination by soil metabolite 2-chlorophenol is not addressed in the DAR and has had not been discussed during the Peer Review. EFSA identified a new data requirement New FOCUS GW modelling provided in addendum 7 shows that levels of this metabolite are not expected to exceed 0.1 pg IL in ground water as a result of the uses proposed for fluoxastrobin. Concentration of fluoxastrobin in air is expected to be negligible due to low volatility and short half life in air for reaction with OH radicals. In the section on ecotoxicology only the risk to non-target organisms from the representative use in cereals as a spray application was assessed. No risk assessment for the representative use as a seed treatment in cereals is available in the DAR. It should be noted that the assessment in the DAR is based on a pilot plant production. Since then the production process has been modified and optimised. Therefore, a new material accountability study and a new five batch analysis have been performed. The new resultant specification was supported by additional toxicological data, which have been peer-reviewed and accepted. An appropriate assessment with respect to ecotoxicology is still outstanding. The risk to bees, non-target terrestrial plants and biological methods for sewage treatment is low with respect to fluoxastrobin and the metabolites for the representative use of fluoxastrobin as a spray application. The risk to herbivorous birds and mammals can be regarded as low for the representative use of fluoxastrobin as a spray application if the risk was calculated using residue data as outlined in EPPO (1992). EFSA made a risk assessment available according to the latest guidance document on birds and mammals (SANCO/4145/2000). According to this assessment (see EFSA's addendum on ecotoxicology) the risk to mammals can be regarded as low and also the acute, short and long term risk for insectivorous and herbivorous birds as well as the acute and short term risk to granivorous birds from the representative uses evaluated can be regarded as low. But a long term risk to granivorous birds is observed (TER = 1.79 according to SANCO/4145/2000). Therefore EFSA proposes a data requirement for the notifier to submit a refinement of the long term risk to granivorous birds for the use as a seed treatment in cereals if the risk is assessed according to the latest guidance document (SANCO/4145/2000). A high risk is identified to aquatic organisms. A bufferzone of 15 meters is needed to respect the Annex VI trigger value for the long term risk for the use of fluoxastrobin as a spray application in cereals. It was noted by the EPCO experts' meeting on ecotoxicology (EPCO 13) that additional chronic invertebrate data are available. The meeting agreed that some lowering of the chronic uncertainty would be acceptable in this case and that these additional data may be used to refine the risk assessment at MS level. Furthermore the meeting decided to address a generic question on lowering the uncertainty factor by using additional chronic species sensitivity data to EFSA's Panel on Plant Health, Plant Protection and their Residues (PPR). This generic question was forwarded to the PPR Panel by EFSA; the opinion of the Panel can be found on the EFSA website4. The risk of the metabolite M48 to aquatic organisms is considered to be low. The experts' meeting on ecotoxicology decided that based on biological screening data, data on Daphnia and some mammalian data that it is unlikely that the Z-isomer is of greater toxicity than the E-isomer. It is noted by EFSA that also the metabolite 2-chlorophenol is considered as a major metabolite by the section on fate and behaviour. No studies with this metabolite arc available and therefore EFSA proposes that a study or at least a solid argumentation regarding the effects of the metabolite 2 chlorophenol on aquatic organisms should be made available. The need for this data was not discussed at an EPCO experts meeting. A risk assessment for this metabolite was presented in addendum 7 of December 2007 and discussed in the PRAPeR expert meeting on ecotoxicology (PRAPeR 18, March 2007). The meeting concluded that the risk from the evaluated use can be considered as low. The risk to non-target arthropods was discussed at the EPCO experts' meeting. The meeting decided that based on the available data, population recovery/recolonisation in-field would be possible within one year. Therefore the meeting agreed that the risk to non-target arthropods is addressed for the representative use of fluoxastrobin as a spray application. The risk to soil micro- and macro-organisms, including earthworms is low with respect to fluoxastrobin and the metabolites M48 and M40 for the use of fluoxastrobin as a spray application in cereals. The experts' meeting decided that it is unlikely that the Z-isomer is of greater toxicity than the E-isomer (see above). It was noted by EFSA that also the metabolite 2-chlorophenol is considered as a major metabolite by the section on Fate and behaviour.No studies with this metabolite are available and therefore EFSA proposes that a study or at list a solid argumentation regarding tho effects of the metabolite 2 chlorophenol on earthworms and soil micro organisms should be made available. The need for this data was not discussed at an EPCO experts' meeting. A risk assessment for earthworms and soil micro-organisms was presented in addendum 7 of December 2006 and discussed by Member State experts in the PRAPeR expert meeting on ecotoxicology (PRAPeR 18 March 2007). The meeting agreed that the risk from the evaluated use can, be considered as low.",NA,,,,,
