DOI,yes_count,no_count,total,TITLE,STUDY_ID,AUTHORS,YEAR,ABSTRACT,JOURNAL,VOLUME,LPAGES,UPAGES,TYPE
10.1002/cbdv.202402934,2,0,2,Nano-Formulated Pyraclostrobin With Iron Bismuthide Enhances Efficient Utilization of Active Ingredient and Improves Biosafety,950,"Huang, FC; Zhang, TY; Zhu, LS; Wang, HY; Zhao, YJ; Wang, ZJ; Huang, QC",2025,"The widespread application of pyraclostrobin (PYR), an important strobilurin fungicide with low utilization efficiency, urgently requires optimization for sustainable agriculture. In this study, nanoformulated PYR with nano-iron bismuthide (FeBi) was successfully prepared via flash nanoprecipitation, yielding spherical PYR/FeBi nanoparticles (NPs, Phi 120 nm) with stable drug loading capacity (67.9%) and controlled release. These NPs exhibited enhanced anti-Botrytis activity in vitro and superior in vivo performance. On tomato leaves, PYR/FeBi NPs at 80 mu g/mL achieved greater than 90% curative and protective efficacy against Botrytis cinerea infection and significantly mitigated lesion expansion, surpassing commercial PYR suspension concentrate (SC) at equivalent concentrations. On tomato seedlings, PYR/FeBi NPs significantly reduced gray mold disease by 89%, compared to 67% with PYR SC at the same concentration. The mechanism underlying this enhanced activity involved stronger disruption of mitochondrial metabolism, including acetylation process, oxalate production, and damage to mycelia and conidia. Further, PYR/FeBi NPs displayed reduced cytotoxicity on human Hek293 and Chinese hamster V79 cells compared to PYR SC. The results highlighted the biocompatibility and potential of PYR/FeBi NPs for efficient utilization of active ingredients in sustainable agriculture.",CHEMISTRY & BIODIVERSITY,NA,NA,NA,Nano
10.1002/etc.5961,3,0,3,"Biomarkers at the Individual and Biochemical Level: Effects of Pure and Formulated Lambda-Cyhalothrin in Boana pulchella Tadpoles (Duméril and Bibron, 1841)",120,Barreto E.; Villanova J.; Parra C.; Flores M.; Salgado Costa C.; Lascano C.; Natale G.; Venturino A.,2024,"We compared the effects of lambda-cyhalothrin as the pure active ingredient and as a formulated product (Zero®), on the larval stage of the autochthonous species Boana pulchella. We evaluated ecotoxicological endpoints, behavioral and developmental alterations, and the biochemical detoxifying, neurotoxic, and oxidative stress responses, covering a wide concentration range from environmental to high application levels. Both pyrethroid preparations displayed similar ecotoxicity (median lethal concentration of ~0.5 mg/L), with the lethal effect of Zero® being more pronounced than that of the active ingredient. Sublethal behavioral alterations in natatory activity were observed at 1000 times lower concentrations, indicating the ecological hazard of tadpole exposure to this pyrethroid at environmentally relevant concentrations. Biochemical endpoints in B. pulchella larvae showed significant responses to lambda-cyhalothrin in the ng/L range; these responses were different for the pure or the formulated product, and they were variable at higher concentrations. Principal components analysis confirmed the prevalence of biochemical responses as early endpoints at the lowest lambda-cyhalothrin concentrations; the Integrated Biomarker Response Index proportionally increased with pyrethroid concentration in a similar way for the pure and the formulated products. We conclude that lambda-cyhalothrin is of concern from an environmental perspective, with particular emphasis on autochthonous anuran development. The battery of biochemical biomarkers included in our study showed a consistent integrated biomarker response, indicating that this is a potent tool for monitoring impacts on amphibians. Environ Toxicol Chem 2024;43:2134–2144. © 2024 SETAC. © 2024 SETAC.",Environmental Toxicology and Chemistry,43,2134,2144,Normal
10.1002/ps.7564,2,0,2,A high adhesion co-assembly based on myclobutanil and tannic acid for sustainable plant disease management,419,Li X.; Zhou Z.; Huang Y.; Tang G.; Liu Y.; Chen X.; Yan G.; Wang H.; Zhang X.; Wang J.; Cao Y.,2023,"Background: Pesticides are irreplaceable inputs for protecting crops from pests and improving crop yield and quality. Self-assembly nanotechnology is a promising strategy by which to develop novel nano-formulations for pesticides. Nano-formulations improve the effective utilization of pesticides and reduce risks to the environment because of their eco-friendly preparation, high drug loading, and desirable physicochemical properties. Here, to enhance the utilization efficiency of myclobutanil (MYC) and develop a novel nano-formulation, carrier-free co-assembled nanoparticles (MT NPs) based on MYC and tannic acid (TA) were prepared by noncovalent molecular interactions using a green preparation process without any additives. Results: The results showed that the prepared spherical nanoparticles had good stability in neutral and acidic aqueous solutions, low surface tension (40.53 mN m−1), high rainfastness, and good maximum retention values on plant leaves. Release of active ingredients from MT NPs could be regulated by altering the molar ratio of subassemblies in the co-assembly and the pH of the environment. Antifungal experiments demonstrated that MT NPs had better activities against Alternaria alternata and Fusarium graminearum [half-maximal effective concentration (EC50) = 6.40 and 77.08 mg/L] compared with free MYC (EC50 = 11.46 and 124.82 mg/L), TA (EC50 = 251.19 and 503.81 mg/L), and an MYC + TA mixture (EC50 = 9.62 and 136.21 mg/L). These results suggested that MYC and TA incorporated in the co-assembled nanoparticles had a synergistic antifungal activity. The results of a genotoxicity assessment indicated that MT NPs could reduce the genotoxicity of MYC to plant cells. Conclusion: Co-assembled MT NPs with synergistic antifungal activity have outstanding potential for the management of plant diseases. © 2023 Society of Chemical Industry. © 2023 Society of Chemical Industry.",Pest Management Science,79,3796,3807,Nano
10.1002/ps.7625,1,1,2,Effects of fungicides on fitness and Buchnera endosymbiont density in Aphis gossypii,457,Gao Y.-F.; Ren Y.-J.; Chen J.-C.; Cao L.-J.; Qiao G.-H.; Zong S.-X.; Hoffmann A.A.; Wei S.-J.; Yang Q.,2023,"Background: Several agricultural fungicides are known to affect insect pests directly and these effects may be transgenerational and mediated through impacts on endosymbionts, providing opportunities for pest control. The cotton aphid Aphis gossypii is a polyphagous pest that can cause large crop yield losses. Here, we tested the effects of three fungicides, pyraclostrobin, trifloxystrobin and chlorothalonil, on the fitness and Buchnera endosymbiont of A. gossypii. Results: The formulations of trifloxystrobin and pyraclostrobin, and the active ingredient of pyraclostrobin produced dose-dependent mortality in A. gossypii, whereas there was no dose-dependent mortality for chlorothalonil. The formulations of trifloxystrobin and pyraclostrobin significantly reduced the lifespan and fecundity of A. gossypii, and increased the density of Buchnera in the parental generation but not the (unexposed) F1. When the active ingredient of pyraclostrobin was tested, the lifespan of the F0 generation was also reduced, but the density of Buchnera was not, indicating that non-insecticidal chemicals in the fungicide formulation may affect the density of the endosymbiont of A. gossypii. There was no transgenerational effect of the active ingredient of pyraclostrobin on the lifespan and Buchnera of (unexposed) F1. Conclusions: Our results suggest that formulations of two strobilurin fungicides have immediate impacts on the fitness of A. gossypii, and chemicals in the formulation impact the density of the primary Buchnera endosymbiont. Our study highlights the potential effects of non-insecticidal chemicals of fungicides on aphid pests and their primary endosymbionts but direct connections between fitness and Buchnera densities remain unclear. © 2023 Society of Chemical Industry. © 2023 Society of Chemical Industry.",Pest Management Science,79,4282,4289,Normal
10.1002/ps.8178,2,0,2,"Short- and long-term effects of commercial formulations of imidacloprid, spirotetramat, and mixtures of these active ingredients on pupae of Diaeretiella rapae (Hymenoptera: Braconidae) and its progeny",847,"Kolac, J; Schneider, MI; Rimoldi, F",2024,"BACKGROUNDCompatibility studies of insecticides and natural enemies usually focus on short-term lethal effects, without considering the long-term sublethal effects (including progeny). Even less-explored are the effects of commercial insecticides formulated with more than one active product. Short- and long-term lethal and sublethal effects were studied for the first time on the progeny of commercial formulations of spirotetramat, imidacloprid and a commercial mixture of these active ingredients on pupae of Diaeretiella rapae (M'ntosh) (Hymenoptera: Braconidae), an endoparasitoid of aphids considered to be a potential biological control agent. Insecticides were exposed topically on aphid mummies in which the parasitoid was in the pupal stage. RESULTSImidacloprid reduced adult emergence by more than 30% and prolonged intra-host development time with respect to control from half the maximum recommended field dose (MFRD). Spirotetramat and commercial mixture only showed significant effects on these endpoints at doses above the MFRD. The tested formulations did not affect adult longevity, sex ratio, and percentage of parasitism in the exposed generation. At low concentrations the active ingredients in the commercial mixture behave synergistically, whereas at medium and high concentrations they behave antagonistically. Considering the 10% lethal dose (LD10), imidacloprid showed the highest hazard coefficient, whereas the commercial mixture was more hazardous when considering the LD50 and LD90. The commercial mixture and imidacloprid induced higher adult emergence and altered the sex ratio in the progeny. CONCLUSIONSThe following order of toxicity on D. rapae can be established: imidacloprid > commercial mixture > spirotetramat. Joint use of this species with imidacloprid and commercial mixture should be avoided in integrated pest management programs. (c) 2024 Society of Chemical Industry.",PEST MANAGEMENT SCIENCE,80,4594,4603,Normal
10.1002/smll.202406733,2,0,2,Construction of Iron-Modified Lignin-Based Nanomicrocapsules for Enhancing the Functionality of Natural Product–Based Pesticides,1020,Han X.; Wang Q.; Wu J.; Qiao Y.; Kong Y.; Lou Y.; Gao Y.; Shang S.; Song Z.; Li J.,2025,"To address the issue of low pesticide utilization owing to poor dispersibility, low leaf surface adhesion, and poor transport within plants, this study exploits electrostatic interactions between sodium lignosulfonate (SL) and dodecyltrimethylammonium chloride (DTAC) to induce self-assembly, followed by iron ion (Fe3+) chelation and loading with a natural product–based pesticide, rosin–based triazole derivative (RTD), yielding RTD@SL–DTAC–Fe nanomicrocapsules (NMs). It is worth noting that the presence of Fe3+ enhances the dispersibility of the NMs. The water dispersibility and photostability of RTD are significantly improved after encapsulation, and a stimulus response to laccase is achieved. Leaf-washing experiments confirm the enhanced adhesion of RTD@SL–DTAC–Fe NMs to the surface of rice plant leaves compared to that of free RTD. Fluorescently labeled NMs exhibit bidirectional transport within rice plants, and RTD@SL–DTAC–Fe NMs demonstrates better transport performance than RTD. In vitro and in vivo antifungal tests indicate that encapsulation by NMs significantly enhanced pesticide activity. Field trials demonstrate that NMs exhibited prolonged efficacy compared to RTD. Finally, the safety evaluation confirms the environmental friendliness of the NMs. This study provides valuable insight for optimizing and improving the utilization efficiency and biosafety of natural product–based pesticides. © 2024 Wiley-VCH GmbH.",Small,21,NA,NA,Nano
10.1007/978-3-031-41333-9_10,1,0,1,Relevance of Nanopesticides and Nanofertilizers in Sustainable Agriculture,573,Nazeer A.; Ahmad F.; Verma N.; Ahmad S.,2023,"In recent years, an increasing number of nanopesticides have been developed with the basic purpose of improving pesticide efficiencies and reducing their impact on the environment and human health. However, knowledge about their environmental interactions is still very limited. In a recent study, efforts were made to compare the soil fate and bioaccumulation of four model nanopesticides (namely, chlorpyrifos and tebuconazole loaded on polymeric and lipid nanocarriers) relative to the conventional formulations and pure active ingredients in containing earthworms and lettuce (Lactuca sativa) in two soils over a period of 4 months. These nanoformulations increased the soil half-life of the pesticides by twofold as a direct consequence of the slow release of the pesticide. Pesticide bioaccumulation in earthworms was often increased, probably as a result of their enhanced bioavailability. The pesticide bioaccumulation was also shown to affect plants, but with an inconsistent trend. Overall, the microcosmic results demonstrated that nanoformulations can significantly alter the fate and bioavailability of pesticides. However, generalisations are still difficult to make as the impacts depend on the type of nanocarrier, pesticide, soil used, and time scale. It could only be concluded that this study helped in judging the benefits versus risks of nanopesticides. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.",Nanotechnology in the Life Sciences,NA,155,163,Normal
10.1007/s00128-024-03936-4,6,0,6,"Comparative Acute Toxicity Studies of Chlorpyrifos Technical Grade with its Emulsifiable Concentrate (20% EC) on Labeo rohita, a Freshwater Major Carp, and Mystus vittatus, a Freshwater Catfish",247,Majumder R.,2024,"Chlorpyrifos is widely used across the world as an organophosphate insecticide and frequently contaminates freshwater bodies through runoff from agricultural fields. In the laboratory, static bioassays were undertaken to examine differences in acute toxicity caused by exposure to the technical grade (94% a.i.) and an emulsifiable concentrate (20% EC) of chlorpyrifos to two species of freshwater fish, Labeo rohita and Mystus vittatus. The recovery of actual chlorpyrifos concentrations varied from 83% (technical grade, T) to 89% (emulsifiable concentrate, F) after two hours in water. The susceptibilities of the two fish species to the two types of chlorpyrifos varied. The 96-h LC50 values for T and F chlorpyrifos in L. rohita were 68 and 36 µg/L, respectively, and 120 and 62 µg/L in M. vittatus, respectively. As the exposure period was extended, the LC50 values gradually decreased. LC50 values between the technical grade and formulation were compared following the criteria of Mayer et al. (1986), Schmuck et al. (1994), APHA (1995), and Demetrio et al. (2014). It was concluded from the study that the emulsifiable concentrate (20% EC) of chlorpyrifos was more toxic than technical-grade chlorpyrifos. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Bulletin of Environmental Contamination and Toxicology,113,NA,NA,Normal
10.1007/s00572-025-01199-3,2,0,2,"Fungicide seed treatments delay arbuscular mycorrhizal fungi colonization of winter wheat in the greenhouse, but the effect is attenuated in the field",94,Brieuc H.; Eléonore B.; Bruno H.; Stéphane D.; Maryline C.-S.,2025,"Seed-applied fungicides support agricultural production by controlling seed- or soil-borne diseases. However, they can impact non-target soil organisms. In this study, we investigated the effect of eight seed treatments (including two authorized for organic farming) on root colonization of winter wheat (Triticum aestivum L.) by arbuscular mycorrhizal (AM) fungi. One experiment was conducted in greenhouse conditions, on a sterile substrate inoculated with the AM fungus Rhizophagus irregularis MUCL 41833 and one in field conditions, where winter wheat was colonized by native soil AM fungi. In greenhouse conditions, the six conventional seed treatments reduced root colonization five weeks after sowing. No difference with the control treatment was measured thereafter for a product containing triazole alone. In contrast, seed treatments containing fludioxonil (fungicide molecule alone or formulated with the triazole difenoconazole), and prochloraz formulated with the triazole triticonazole significantly reduced root colonization until 11 weeks after sowing. Notably, when formulated with sedaxane, the adverse effect of fludioxonil was reduced. The negative effect of seed treatments on AM fungal root colonization in field was smaller than in the greenhouse and generally not significant, with disparate results from one timestep to another. This may be related to the dilution or the degradation of the active ingredients in the soil during the winter period or AM fungal species/strain involved in symbiosis. Overall, our results outline that the direct effect of seed treatment is highly variable depending on the modes of action, half-lives and interactions between active ingredients. By contributing to highlight the undesired effects of pesticides on AM fungi (i.e., by delaying root colonization), this study pleads for a reduction of pesticide applications to encourage the rapid and efficient establishment of functional mycorrhizal symbioses. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.",Mycorrhiza,35,NA,NA,Normal
10.1007/s10646-023-02648-5,4,0,4,Ecotoxicity of pesticide formulations and their mixtures: the case of potato crops in Costa Rica,542,Méndez-Rivera M.; Ramírez-Morales D.; Montiel-Mora J.R.; Rodríguez-Rodríguez C.E.,2023,"Despite their environmental implications, ecotoxicological information regarding pesticide mixtures is relatively scarce. This study aimed to determine the ecotoxicity of individual pesticide formulations and their mixtures (insecticides and fungicides), which are applied during the production cycle of potato, according to agricultural practices from a Latin American region in Costa Rica. Two benchmark organisms were employed: Daphnia magna and Lactuca sativa. First, the evaluation of individual formulations (chlorothalonil, propineb, deltamethrin+imidacloprid, ziram, thiocyclam and chlorpyrifos) revealed differences between available EC50 for active ingredients (a.i.) and their respective formulations toward D. magna; on the contrary, no information could be retrieved from scientific literature for comparison in the case of L. sativa. In general, acute toxicity was higher toward D. magna than L. sativa. Moreover, interactions could not be determined on L. sativa, as the chlorothalonil formulation was not toxic at high levels and the concentration-response to propineb could not be fitted to obtain an IC50 value. The commercial formulation composed of deltamethrin+imidacloprid followed the concentration addition model (when compared with parameters retrieved from individual a.i.) and the other three mixtures evaluated (I: chlorothalonil-propineb-deltamethrin+imidacloprid; II: chlorothalonil-propineb-ziram-thiocyclam; III: chlorothalonil-propineb-chlorpyrifos) produced an antagonistic effect on D. magna, thus suggesting less acute toxicity than their individual components. Subsequent chronic studies showed that one of the most toxic mixtures (II) negatively affected D. magna reproduction at sublethal concentrations indicating that this mixture poses a risk to this species if these pesticides co-exist in freshwater systems. These findings provide useful data to better estimate the impact of real agricultural practices related to the use of agrochemicals. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Ecotoxicology,32,383,393,Normal
