TITLE,INCLUDE_GUY,STUDY_ID,REVIEWERS,INCLUDE_LISA,AUTHORS,JOURNAL,ABSTRACT,YEAR,BLIND_ID,COMPARING
"Effect of Yerbimat herbicide on lipid peroxidation, catalase activity, and histological damage in gills and liver of the freshwater fish Goodea atripinnis",NO,1,Lisa,NO,Ortiz-Ordoñez E.; Uría-Galicia E.; Ruiz-Picos R.A.; Sánchez Duran A.G.; Hernández Trejo Y.; Sedeño-Díaz J.E.; López-López E.,Archives of Environmental Contamination and Toxicology,"The use of herbicides for agricultural and aquatic weed control has increased worldwide. These substances are potentially toxic pollutants because they induce the production of reactive oxygen species for biological systems and exert oxidative stress in nontarget organisms living in the treated aquatic systems. Recent evidence suggests differences in the toxicity of glyphosate in the form of an active ingredient compared to the toxicity of glyphosate in combination with surfactants, such as those found in commercial formulations. In Mexico, one of the most widely used glyphosate-based herbicides is Yerbimat, which has agricultural as well as aquatic weed control applications. However, there are no aquatic toxicity data, particularly regarding native fish. Therefore, we determined the acute toxicity of commercial-formulation Yerbimat in a static bioassay at 96 h (LC 50). We also determined its toxicity at 96 h in sublethal concentrations to assess the lipid peroxidation levels (LPX), catalase activity, hepatic glycogen content, and histological damage in the liver and gills of the fish Goodea atripinnis associated with chronic exposure (75 days). The LC 50 was 38.95 ± 0.33 mg/L. The results of the short-term exposure study indicate that Yerbimat can potentially induce oxidative stress in G. atripinnis, because LPX was increased in the gills and liver. Catalase activity was reduced in the gills but increased in the liver, whereas hepatic glycogen was depleted. Chronic exposure was associated with histopathological damage in the gills and liver, some of which was irreversible. Yerbimat represents a potential risk for aquatic biota; therefore, we recommend that its application be carefully considered. © 2011 Springer Science+Business Media, LLC.",2011,16,TRUE
Comparative analysis of the effects of locally used herbicides and their active ingredients on a wild-type wine Saccharomyces cerevisiae strain,YES,2,Lisa,YES,Braconi D.; Sotgiu M.; Millucci L.; Paffetti A.; Tasso F.; Alisi C.; Martini S.; Rappuoli R.; Lusini P.; Sprocati A.R.; Rossi C.; Santucci A.,Journal of Agricultural and Food Chemistry,"Herbicides are released to the environment with potential ecotoxicological risks for mammals. Yeast is a good model to elucidate toxicity mechanisms. We investigated how three commercial herbicides (Proper Energy, Pointer, and Silglif) and their active ingredients (respectively, fenoxaprop-P-ethyl, tribenuron methyl, and glyphosate) can affect biological activities of an oenological Saccharomyces cerevisiae strain, which may be resident on grape vineyards of the same geographical areas where herbicides are used. The use of commercial grade herbicides employed in Italy allowed us to reproduce the same conditions applied in crops; at the same time, assaying pure single active compounds made it possible to compare the effects obtained with commercial formulations. Interestingly, we found that while pure active compounds affect cell growth and metabolism at a lower extent, commercial preparations have a significant major negative influence on yeast biology. © 2006 American Chemical Society.",2006,33,TRUE
Natural transformation of chlordecone into 5b-hydrochlordecone in French West Indies soils: statistical evidence for investigating long-term persistence of organic pollutants,NO,3,Lisa,NO,Devault D.A.; Laplanche C.; Pascaline H.; Bristeau S.; Mouvet C.; Macarie H.,Environmental Science and Pollution Research,"Chlordecone (CLD) was an organochlorine insecticide whose previous use resulted in an extensive pollution of the environment with severe health effects and social consequences. A closely related compound, 5b-hydrochlordecone (5b-hydroCLD), has been searched for and often detected in environmental matrices from the geographical area where CLD was applied. The current consensus considered that its presence was not the result of a biotic or abiotic dechlorination of CLD in these matrices but rather the consequence of its presence as impurity (synthesis by-product) in the CLD released into the environment. The aim of the present study was to determine if and to what extent degradation of CLD into 5b-hydroCLD occurred in the field. To test this hypothesis, the ratios of 5b-hydroCLD and CLD concentrations in a dataset of 810 soils collected between 2006 and 2012 in Martinique were compared to the ratios measured in 3 samples of the CLD dust commercial formulations applied in the banana fields of French West Indies (FWI) and 1 sample of the technical-grade CLD corresponding to the active ingredient used in such formulations. Soil data were processed with a hierarchical Bayesian model to account for random measurement errors and data censoring. Any pathway of CLD transformation into 5b-hydroCLD occurring over the long term in FWI soils would indeed change the ratio of 5b-hydroCLD/CLD compared to what it was in the initially applied formulations. Results showed a significant increase of the 5b-hydroCLD/CLD ratio in the soils—25 times greater in soil than in commercial formulations—which suggested that natural CLD transformation into 5b-hydroCLD over the long term occurred in these soils. Results from this study may impact future decisions for the remediation of the polluted areas. © 2015, Springer-Verlag Berlin Heidelberg.",2016,82,TRUE
Toxicity of the pesticides hexachlorocyclohexane and benomyl to nitrifying bacteria in flooded autoclaved soil and in culture media,YES,4,Lisa,YES,Ray R.C.,"Environmental Pollution. Series A, Ecological and Biological","The influence of the pesticides HCH and benomyl on nitrification in a flooded autoclaved soil was compared with that in culture media inoculated with Nitrosomonas and Nitrobacter spp. The rate of nitrification was slow in autoclaved soil and was comparatively faster in the culture media, and both the pesticides inhibited nitrification at concentrations of 5 ppm and above. Commercial formulations of HCH and benomyl were more toxic to nitrifying bacteria than the technical grade, probably due to interactions of the carriers and pesticides in increasing the toxicity. © 1983.",1983,91,TRUE
"Comparative Toxicity of Herbicide Active Ingredients, Safener Additives, and Commercial Formulations to the Nontarget Alga Raphidocelis Subcapitata",YES,5,Lisa,YES,Lanasa S.; Niedzwiecki M.; Reber K.P.; East A.; Sivey J.D.; Salice C.J.,Environmental Toxicology and Chemistry,"Chloroacetanilide herbicides are used worldwide to control weeds that affect crops such as corn, soybeans, and cotton. These herbicides are frequently paired with a “safener,” which prevents herbicidal damage to the crop without diminishing weed control. Formulated herbicide products that include safeners and other ingredients are infrequently assessed for toxicity. Our goal was to understand the potential toxicity of safeners and herbicide + safener formulations relative to the toxicity of associated active ingredients. We quantified the concentration of safeners in commercially available formulations and tested effects on nontarget algae, Raphidocelis subcapitata, when exposed to individual herbicide active ingredients, safeners, and commercial formulations. The median effective concentrations (EC50s) causing 50% reduction in population growth for the herbicide active ingredients S-metolachlor and acetochlor were 0.046 and 0.003 ppm, respectively. The safeners benoxacor, AD-67, furilazole, and dichlormid were all substantially less toxic than the herbicides and were not toxic at environmentally relevant concentrations. The commercial formulations Dual II Magnum®, Me-Too-Lachlor II®, Harness®, and Surpass EC® all resulted in EC50 values that fell within the 95% confidence interval of the associated active ingredient herbicide. Interestingly, a significant increase in cell size was observed when algae were exposed to all the formulations, herbicides (acetochlor and S-metolachlor), and safener (dichlormid). The safener furilazole caused a significant decrease in cell size, whereas benoxacor and AD-67 had no observed effect on algae cell size. Significant algae cell size effects all occurred at or above the EC50 concentrations for each chemical, suggesting that other morphological effects may be occurring. Importantly, safeners in commercial formulations appeared not to impact toxicity to R. subcapitata compared with the active ingredient alone. Environ Toxicol Chem 2022;41:1466–1476. © 2022 SETAC. © 2022 SETAC.",2022,100,TRUE
Scope of commercial formulations of Bacillus thuringiensis Berliner as an alternative to Methyl bromide against Tribolium castaneum adults,NO,6,Lisa,NO,Ahmedani M.S.; Haque M.I.; Afzal S.N.; Iqbal U.; Naz S.,Pakistan Journal of Botany,"Montreal protocol has deprived the world from Methyl bromide which had been used as one of the most effective pesticide since many decades. Alternative fumigation methods are therefore urgently required to fill this gap in relation to the pest control especially the stored grain insect pest management. Investigations were therefore carried out to evaluate the potential role of Bacillus thuringiensis (Bt) as a natural pest control agent against the rust red flour beetle. Different formulations of the pathogens were tested for their efficacy against the pest. Results revealed that two out of the three commercial formulations used in the experiment i.e., Dipel ES and Bactospeine showed moderate results with 59.33 and 54.66 % mortality. Ecotech Pro was however found to be the most effective exhibiting 79.66 % mortality after 7 days of the treatment. The results further revealed that liquid formulations yielded comparatively better results as compared to the powder formulation. Mortality exhibited in case of Ecotech Pro was perhaps due to its active ingredient transconjugant Bt kurstaki x Bt aizawi, its potency as well as more ingestion of the Bt spores and toxins because of its liquid base. Liquid formulations not only enhanced the moisture contents but also made the grain more palatable for T. castaneum adults resulting in more mortality as compared to dry formulation.",2008,103,TRUE
Genotoxicity testing of the herbicide trifluralin and its commercial formulation treflan using the piscine micronucleus test,YES,7,Lisa,YES,Könen S.; Çavaş T.,Environmental and Molecular Mutagenesis,"In this study, the genotoxic effects of a widely used herbicide, trifluralin, and its commercial formulation, Treflan, were evaluated using the micronucleus test in a commercially important fish species, Oreochromis niloticus (Nile Tilapia). Fish were exposed to 1, 5, and 10 μg/L doses of trifluralin and Treflan for 3, 6, and 9 days under laboratory conditions. Ethylmethanesulfonate, at a single dose of 10 mg/L, was used as positive control. Micronuclei were evaluated on the peripheral erythrocytes. Both Treflan and trifluralin treatments significantly increased the micronucleus frequencies in peripheral erythrocytes of O. niloticus. Furthermore, the genotoxicity of the active ingredient, trifluralin, was observed to be higher than that of the commercial formulation Treflan. Our results indicate that herbicide trifluralin has genotoxic potential in fish. © 2008 Wiley-Liss, Inc.",2008,149,TRUE
Trophoblast toxicity of the neonicotinoid insecticide acetamiprid and an acetamiprid-based formulation,YES,8,Lisa,YES,Gomez S.D.; Bustos P.S.; Sánchez V.G.; Ortega M.G.; Guiñazú N.,Toxicology,"The neonicotinoid (Neo) insecticide family is a relatively new class of pesticides of growing use. There is an increasing concern that human exposure to environmental pollutants in utero may be associated with diseases in adulthood. A functional placenta and trophoblasts are a requisite for a healthy pregnancy. The aim of this study was to investigate whether the Neo Acetamiprid (Ace) and one of its commercial formulations (Ace CF) display toxic features to a human first trimester trophoblast cell line. HTR-8/SVneo cells were cultured in the presence of Ace or Ace CF (0.1–100 μM) for 4 and 24 h, and changes in cell viability, reactive oxygen species, antioxidant system and macromolecule damage levels were evaluated. Ace and Ace CF are cytotoxic for HTR-8/SVneo trophoblasts. Cell viability loss and oxidative imbalance were triggered by Ace and Ace CF treatments. Impact in the antioxidant enzymes catalase, superoxide dismutase and gluthatione S-transferase activities were observed after 24 h exposure to Ace CF. Moreover, Ace CF caused oxidative damage in proteins, lipids and DNA, whereas Ace only damaged proteins. To test oxidative stress as a toxicity mechanism, cells were pre-incubated with the antioxidant N-acetyl-l-cysteine (NAC), prior Neo treatment. NAC protected trophoblasts from cell death and prevented oxidative damage. Results demonstrate that Ace (as active principle or CF) is cytotoxic for human trophoblasts, and oxidative stress is a toxicity mechanism. Ace CF exhibited a more toxic effect than the active principle, in an identical exposure scenario. © 2020 Elsevier B.V.",2020,259,TRUE
Trophoblast toxicity of the neonicotinoid insecticide acetamiprid and an acetamiprid-based formulation,YES,60,Lisa,YES,"Gomez, SD; Bustos, PS; Sanchez, VG; Ortega, MG; Guinazu, N",TOXICOLOGY,"The neonicotinoid (Neo) insecticide family is a relatively new class of pesticides of growing use. There is an increasing concern that human exposure to environmental pollutants in utero may be associated with diseases in adulthood. A functional placenta and trophoblasts are a requisite for a healthy pregnancy. The aim of this study was to investigate whether the Neo Acetamiprid (Ace) and one of its commercial formulations (Ace CF) display toxic features to a human first trimester trophoblast cell line. HTR-8/SVneo cells were cultured in the presence of Ace or Ace CF (0.1-100 mu M) for 4 and 24 h, and changes in cell viability, reactive oxygen species, antioxidant system and macromolecule damage levels were evaluated. Ace and Ace CF are cytotoxic for HTR-8/SVneo trophoblasts. Cell viability loss and oxidative imbalance were triggered by Ace and Ace CF treatments. Impact in the antioxidant enzymes catalase, superoxide dismutase and gluthatione S-transferase activities were observed after 24 h exposure to Ace CF. Moreover, Ace CF caused oxidative damage in proteins, lipids and DNA, whereas Ace only damaged proteins. To test oxidative stress as a toxicity mechanism, cells were pre-incubated with the antioxidant N-acetyl-l-cysteine (NAC), prior Neo treatment. NAC protected trophoblasts from cell death and prevented oxidative damage. Results demonstrate that Ace (as active principle or CF) is cytotoxic for human trophoblasts, and oxidative stress is a toxicity mechanism. Ace CF exhibited a more toxic effect than the active principle, in an identical exposure scenario.",2020,3983,TRUE
Growth and survival of five amphibian species exposed to combinations of pesticides,NO,9,Lisa,NO,Relyea R.A.,Environmental Toxicology and Chemistry,"The global decline of amphibians has sparked interest in the role that pesticides may play. Pesticides in nature typically exist in combinations, but given the vast number of chemicals used, most toxicological experiments necessarily have examined one pesticide at a time. I examined how four commercial formulations of pesticides (diazinon, carbaryl, malathion, and glyphosate) affected the survival and growth of five larval amphibian species (Rana pipiens, R. clamitans, R. catesbeiana, Bufo americanus, and Hyla versicolor) when alone (at 1 or 2 mg/L of active ingredient) and in pairwise combinations (1 mg/L of each pesticide). At 1 mg/L, the pesticides reduced survival in 5% of the 20 species-pesticide comparisons and reduced growth in 35% of the comparisons. At 2 mg/L, the pesticides had more widespread effects, reducing survival in 35% of the 20 species-pesticide comparisons and reducing growth in 70% of comparisons. Combined pesticides occasionally caused lower survival and growth than either pesticide alone, but the effects were never larger than the more deadly of the two pesticides alone at 2 mg/L. This suggests that the impact of combining these four pesticides is similar to that predicted by the total concentration of pesticides in the system.",2004,299,TRUE
Toxicity induced by glyphosate and glyphosate-based herbicides in the zebrafish hepatocyte cell line (ZF-L),YES,10,Lisa,YES,Lopes F.M.; Sandrini J.Z.; Souza M.M.,Ecotoxicology and Environmental Safety,"Glyphosate is the active component of many commonly used herbicides; it can reach bodies of water through irrigated rice plantations. In the present study, we evaluated the effect of glyphosate and Roundup® (a glyphosate-based herbicide) in established culture of the zebrafish hepatocyte cell line ZF-L after 24 and 48 h of exposure to concentrations of 650 and 3250 µg/L. We observed a reduction in metabolic activity and lysosomal integrity, and an increase in cell number after 24 h of Roundup® exposure at the highest concentration. An increase in active mitochondria and apoptotic cells was observed following 24 h exposure to glyphosate and Roundup®, while only exposure to Roundup® induced an increase in necrotic cells. Rhodamine B accumulation decreased after 48 h exposure to 650 µg/L of Roundup®; this reduction is indicative of increased activity of ABC pumps. Overall, the present findings highlighted the hazard of glyphosate exposure not only in the commercial formulation but also glyphosate alone, since both can induce damage in the ZF-L cell line primarily through the induction of apoptosis. © 2018 Elsevier Inc.",2018,356,TRUE
Treatment of rice seeds with thiamethoxam: Refections on physiological performance; [Potencial fisiológico de sementes de arroz tratadas com tiametoxam],NO,11,Lisa,NO,da Silva Almeida A.; Deuner C.; Borges C.T.; Meneghello G.E.; Jauer A.; Villela F.A.,Journal of Seed Science,"Thiamethoxam is a systemic insecticide that is transported within the plant through its cells and can activate various physiological reactions such as protein expression. These proteins interact with defense mechanisms against stress in adverse growing conditions. The objective of this study was to evaluate the effect of thiamethoxam in rice seeds and the potential benefits that it can provide. Two experiments were carried out and, in both, seeds were treated with commercial product containing 350 g of thiamethoxam active ingredient per liter of product, at doses 0, 100, 200, 300 and 400 mL.100 kg-1 of seeds: 1) it was conducted with three lots of IRGA BR 424 cultivar rice seeds, which were submitted to the following laboratory tests: germination, cold test, accelerated aging test, as well as field assessment: total seedling length, root system length, number of panicles and productivity; 2) four lots of IRGA BR 424 cultivar rice seeds, two high and two low-vigor, were subjected to the following tests: germination, cold test and greenhouse seedling emergence test. Thiamethoxam rice seed treatment positively favors the seed quality. © 2014, Associacao Brasileira de Tecnologia de Sementes. All rights reserved.",2014,481,TRUE
"Anabaena-azollae, significance and agriculture application: A case study for symbiotic cyanobacterium",NO,12,Lisa,NO,Abd El-Aal A.A.M.,Microbial Syntrophy-mediated Eco-enterprising,"Anabaena azollae is a heterocystous filamentous nitrogen-fixing cyanobacterium that is naturally growing symbiotically in specialized leaf cavities of a small eukaryotic water fern Azolla pinnata. It is well documented that Anabaena azollae has been successfully grown and propagated freely in synthetic media like BG-110 with pleasant biomass. A. azollae is considered a promising natural biosource for agricultural, medicinal, and industrial applications. Where the cyanobacterium biomass and/or extract greatly enhanced the physical and chemical properties of soil texture. It is also well-known to produce several biologically active substances against a wide array of plant-infecting pathogens. Moreover, it is considered a good phycoremediator of industrial wastewater. To the best of our knowledge, this is the first review of A. azollae, a case study for its characteristics, significance with a special focus on its agricultural applications. The commercial production and exploitation of A. azollae-derived materials with interesting properties such as fungicides, bactericides, nematicides, insecticides, biofertilizers, as well as its phycoremediation ability were highlighted in detail in this review. Numerous growths promoting substances like indole acetic acid (IAA), gibberellic acid (GA), bioactives such as fatty acids, polysaccharides, phenolic compounds were extracted from A. azollae, and reported to have in vitro and in vivo microbicidal effects. Additionally, the high nitrogenase activity of A. azollae has been accepted as a pioneer indicator for its biofertilization ability. Strikingly, the induced dehydrogenase activity and its polysaccharides excretions were reported to increase soil fertility by increasing the soil microbial communities. Thus, A. azollae could provide multiple benefits to the agricultural sector and can be considered as a promising and safe bio-inoculant in recent trends of organic farming. © 2022 Elsevier Inc. All rights reserved.",2022,517,TRUE
"Tank-Mix Adjuvants Regulate the Deposition, Absorption, and Permeation Behavior of Pesticide Solutions on Rice Plant",NO,13,Lisa,NO,Zhao P.; Zheng L.; Li Y.; Wang C.; Cao L.; Cao C.; Huang Q.,Agriculture (Switzerland),"Pesticide foliage treatment is used in agricultural production to protect plants from diseases, pests, or weeds. Tank-mix adjuvants added to the barrel can improve the effective utilization rate of pesticides. Herein, a comparative study was conducted to investigate the effect of three kinds of tank-mix adjuvant on the deposition, absorption, and permeation behavior of epoxiconazole and chlorantraniliprole solutions. Surface tension and contact angle results indicate that polyether-modified trisiloxane may be the best surface-active agent for pesticides, whereas methyl oleate and green-peel orange essential oil were found to be more suitable for improving pesticide deposition, absorption, and permeation in some cases. These findings indicate that various tank-mix adjuvants had different effects on pesticide application on plants. Appropriate tank-mix adjuvants need to be selected for comprehensive practical application. © 2022 by the authors.",2022,626,TRUE
Impaired mammalian sperm function and lower phosphorylation signaling caused by the herbicide Roundup® Ultra Plus are due to its surfactant component,YES,14,Lisa,YES,Torres-Badia M.; Solar-Malaga S.; Martin-Hidalgo D.; Hurtado de Llera A.; Gomez-Candelo A.; Garcia-Marin L.J.; González-Fernández L.; Bragado M.J.,Theriogenology,"The use of worldwide glyphosate-based herbicide Roundup® is growing and to date its effects on mammalian spermatozoa are controversial. This study aims to investigate the functional impact of in vitro exposure of pig spermatozoa to low concentrations of Roundup® Ultra Plus (RUP), similar to those present as environment contaminants, to its active ingredient glyphosate, and to the non-active component, surfactant polyoxyethyleneamine (POEA). Pig spermatozoa were incubated in Tyrode's basal medium (TBM) or Tyrode's complete medium (TCM) (1 h at 38.5 °C) with several RUP dilutions or equivalent concentrations of glyphosate or POEA. RUP treatment causes a significant dilution-dependent decrease in sperm motility, a significant increase in plasma membrane disorganization and reduction in GSK3β phosphorylation (TBM) and in two PKA substrates (TBM and TCM), whereas does not affect sperm viability or mitochondrial membrane potential (MMP). Equivalent glyphosate concentrations do not affect any functional sperm parameters. However, POEA concentrations equivalent to RUP dilutions mimic all RUP sperm effects: decrease sperm motility in a concentration-dependent manner, increase sperm plasma membrane lipid disorder and significantly inhibit GSK3β phosphorylation (TBM) and two PKA substrates without affecting sperm viability or MMP. In summary, low concentrations RUP herbicide cause sperm motility impairment without affecting sperm viability. This adverse effect could be likely due to a detrimental effect in the plasma membrane lipid organization and to inhibition of phosphorylation of both, GSK3β and specific PKA substrates. Importantly, our results indicate that negative effects of low RUP concentrations in pig spermatozoa function are likely caused by the surfactant included in its formulation and no by its active ingredient glyphosate. © 2021 Elsevier Inc.",2021,634,TRUE
Micellar effects on hydrolysis of parathion,NO,15,Lisa,NO,Shrivastava A.; Ghosh K.K.,Journal of Dispersion Science and Technology,Kinetics of the reaction between a pesticide (Parathion) and α-nucleophile hydroxamate ion (N-methyl 4-chlorobenzohydroxamate ion and N-methyl 4-chlorothiobenzohydroxamate ion) have been studied in the presence of various novel cationic surfactants at 27°C. The reaction exhibits pseudo first order kinetics and the rate of hydrolysis increased with surfactant concentration.,2008,727,TRUE
