AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
"Aagaard, A; Brock, T; Capri, E; Duquesne, S; Filipic, M; Hernandez-Jerez, AF; Hirsch-Ernst, KI; Bennekou, SH; Klein, M; Kuhl, T; Laskowski, R; Liess, M; Mantovani, A; Ockleford, C; Ossendorp, B; Pickford, D; Smith, R; Sousa, P; Sundh, I; Tiktak, A; Van der Linden, T",Guidance on tiered risk assessment for plant protection products for aquatic organisms in edge-of-field surface waters,EFSA JOURNAL,"EFSA`s Panel on Plant Protection Products and their Residues (PPR) was tasked to revise the Guidance Document (GD) on Aquatic Ecotoxicology under Council Directive 91/414/EEC (SANCO/3268/2001 rev. 4 (final), 17 October 2002). This Guidance of the PPR Panel is the first of three requested deliverables within this mandate. It has its focus on tiered acute and chronic effect assessment schemes with detailed guidance on tier 1 and higher tier effect assessments for aquatic organisms in edge-of-field surface waters and on proposals regarding how to link effects to exposure estimates. The exposure assessment methodology was not reviewed and it is assumed that the current FOCUS surface water exposure assessment methodology will continue to be used for exposure assessment at EU level. The current GD is intended to be used for authorisation of active substances at EU level as well as for plant protection products at Member State level. The effect assessment schemes in this GD allow for the derivation of regulatory acceptable concentrations (RACs) on the basis of two options: (1) the ecological threshold option (ETO), accepting negligible population effects only, and (2) the ecological recovery option (ERO), accepting some population-level effects if ecological recovery takes place within an acceptable time period. In the tiered effect assessment schemes, in principle, all tiers (1, 2 and 3) are able to address the ETO, while the model ecosystem approach (tier 3), under certain conditions, is able to also address the ERO. The GD provides the scientific background for the risk assessment to aquatic organisms in edge-of-field surface waters and is structured to give detailed guidance on all assessment steps. An executive summary joining all parts of the guidance and decision schemes in a concise way is provided and is intended to help applicants and regulatory authorities in day-to-day use. (C) European Food Safety Authority, 2013.",2013,11,,,10.2903/j.efsa.2013.3290
"Abdelmagid, AD; Said, AM; Abd El-Gawad, EA; Shalaby, SA; Dawood, MAO","Glyphosate-induced liver and kidney dysfunction, oxidative stress, immunosuppression in Nile tilapia, but ginger showed a protection role",VETERINARY RESEARCH COMMUNICATIONS,"The water-borne herbicides are involved in the toxicity of aquatic animals resulting in impaired health status and low productivity. Dietary medicinal herbs present a practical solution to relieve the impacts of herbicides toxicity on the performances of aquatic animals. Herein, we investigated the toxicity of commercial glyphosate-induced oxidative stress, immunosuppression, liver and kidney dysfunction, and the protective role of ginger or ginger nanoparticles in Nile tilapia. Fish were allocated into four groups: the first group presented the control without glyphosate toxicity and ginger feeding, the second group intoxicated with glyphosate at 0.6 mg/L and fed ginger free diet, the third group intoxicated with glyphosate and fed ginger at 2.5 g/kg, and the fourth group intoxicated with glyphosate and fed ginger nanoparticles at 2.5 g/kg. Fish were kept under the experimental conditions for four weeks, and the samples of blood and tissues were collected after 2 and 4 weeks. Markedly, fish exposed to glyphosate showed the highest ALT and AST activities, glucose and cortisol levels, and malondialdehyde levels (MDA) in gills and tissues. While fish in the control and fish intoxicated with glyphosate and fed ginger nanoparticles had the lowest ALT and AST activities, glucose and cortisol levels, and MDA levels after 2 and 4 weeks (P < 0.05). Fish fed dietary ginger had lower ALT and AST activities, glucose and cortisol levels, and MDA levels than the glyphosate intoxicated group after 2 and 4 weeks (P < 0.05). Interestingly, fish-fed ginger nanoparticles showed lower urea and creatinine levels and higher total protein, albumin, and globulin than the glyphosate intoxicated group (P < 0.05) and similar to the control (P > 0.05). Further, fish intoxicated with glyphosate and fed ginger nanoparticles had the highest GSH, lysozyme activity, and immunoglobulin levels after 2 and 4 weeks (P < 0.05). In conclusion, ginger nanoparticles are superior to the standard ginger form in enhancing the antioxidative and immune responses of Nile tilapia exposed to glyphosate.",2023,47,445,455,10.1007/s11259-022-09961-0
"Abdelmagid, AD; Said, AM; Gawad, EAA; Shalaby, SA; Dawood, MAO",Propolis nanoparticles relieved the impacts of glyphosate-induced oxidative stress and immunosuppression in Nile tilapia,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"The risk of the waterborne toxicity caused by herbicides threatens the aquatic environment. In this study, propolis nanoparticles were shown to relieve the impacts of glyphosate-induced oxidative stress and immunosuppression in Nile tilapia. The control group was fed a basal diet and maintained in a glyphosate-free water (control). Simultaneously, the other three groups were exposed to sublethal concentrations of glyphosate (0.6 mg/L) and fed diets containing 0 and 10 g propolis and 10 g propolis nanoparticles for 4 weeks. Nile tilapia exposed to glyphosate for 2 and 4 weeks exhibited a significant increase in serum alanine aminotransferase, aspartate aminotransferase, urea, and creatinine values compared to the control. After 2 and 4 weeks, fish exposed to glyphosate who were not fed propolis and propolis nanoparticles showed a significant reduction in total protein, albumin, and globulin levels, lysozyme activity, and total immunoglobulin levels. Nile tilapia exposed to glyphosate displayed a significant increase in blood glucose and cortisol concentrations after 2 and 4 weeks. Furthermore, liver and gill tissues from fish exposed to glyphosate exhibited a significant increase in malondialdehyde (MDA) concentrations. Conversely, a statistically significant decrease was observed in the liver and gill MDA levels and AChE activity of the groups treated with propolis and propolis nanoparticles compared to the groups exposed to glyphosate and fed the basal diet. Fish exposed to glyphosate for 2 and 4 weeks showed a significant decrease (p < 0.05) in hepatic and gill glutathione (GSH) concentration and white blood cell and red blood cell counts compared to the control group. Meanwhile, these parameters in groups fed propolis and propolis nanoparticles were markedly ameliorated compared to exposed fish fed the basal diet. Dietary supplementation of propolis nanoparticles is superior to supplementation of propolis in the normal form for protecting Nile tilapia from glyphosate toxicity.",2022,29,19778,19789,10.1007/s11356-021-17201-2
"Latorre, MA; González, ECL; Larriera, A; Poletta, GL; Siroski, PA",Effects of in vivo exposure to Roundup® on immune system of Caiman latirostris,JOURNAL OF IMMUNOTOXICOLOGY,"The present study aimed to evaluate the effect of Roundup (R) (RU, glyphosate-based formulation) on some parameters of the immune system and growth of Caiman latirostris. Seventy-two caimans (20-day-old) from Proyecto Yacare' (Gob. Santa Fe/MUPCN) were used. Two groups were exposed for 2 months to different concentrations of RU (11 or 21 mg/L; taking into account the concentration recommended for its application in the field), while one group was maintained as control. The RU concentration was progressively decreased through the exposure period to simulate glyphosate degradation in water. Animals were measured and weighed at the beginning and end of the experiment, and blood samples taken after exposure to determine total and differential white blood cell (WBC) counts as well as total protein concentration (TPC), and for performing protein electrophoresis. The results showed that, compared against control hosts, there was a decrease in WBC counts, a higher percentage of heterophils, a higher TPC (with a low percentage of F2 protein fraction), and a negative effect on growth in the young caimans exposed to RU. These results demonstrate that in vivo exposure to RU induced alterations in the selected immune parameters, plasma proteins, and growth of caimans, thereby providing relevant information about the effects of this type of pesticide in this important species in the Argentinian wetlands.",2013,10,349,354,10.3109/1547691X.2012.747233
"Alberdi, JL; Saenz, ME; DiMarzio, WD; Tortorelli, MC","Comparative acute toxicity of two herbicides, paraquat and glyphosate, to Daphnia magna and D-spinulata",BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,,1996,57,229,235,10.1007/s001289900180
"García, CASY; Schiaffino, MR; Lozano, VL; Vera, MS; Ferraro, M; Izaguirre, I; Pizarro, H",New findings on the effect of glyphosate on autotrophic and heterotrophic picoplankton structure: A microcosm approach,AQUATIC TOXICOLOGY,"Massive use of glyphosate-based herbicides in agricultural activities has led to the appearance of this herbicide in freshwater systems, which represents a potential threat to these systems and their communities. These herbicides can affect autotrophic and heterotrophic picoplankton abundance. However, little is known about glyphosate impact on the whole structure of these assemblages. Herein, we used an 8-day long microcosm approach under indoor controlled conditions to analyze changes in the structure of picoplankton exposed to a single pulse of glyphosate. The analyzed picoplankton correspond to two outdoor ponds with contrasting states: clear (chlorophyll-a = 3.48 mu g L-1 +/- 1.15; nephelometric turbidity, NTU = 1) and turbid (chlorophyll-a = 105.96 L-1 +/- 15.3; NTU = 48). We evaluated herbicide impact on different picoplankton cytometric populations and further explored changes in bacterial dominant operational taxonomic units (OTUs) fingerprinting. We observed that glyphosate induced a drastic decrease in the abundance of phycocyanin-rich picocyanobacteria. Particularly, in the turbid system this effect resulted in an 85 % decrease in the abundance of the whole autotrophic picoplankton. Glyphosate also changed the structure of the heterotrophic fraction by means of changing bacterial dominant OTUs fingerprinting patterns in both systems and by shifting the relative abundances of cytometric groups in the clear scenario. These results demonstrate that upon glyphosate exposure picoplanktonic fractions face not only the already reported changes in abundance, but also alterations in the composition of cytometric groups and of bacterial dominant operational taxonomic units. This research provides suitable and still little explored tools to analyze agrochemical effects on picoplanktonic communities.",2020,222,,,10.1016/j.aquatox.2020.105463
"Alvarez, F; Arena, M; Auteri, D; Binaglia, M; Castoldi, AF; Chiusolo, A; Crivellente, F; Egsmose, M; Fait, G; Ferilli, F; Gouliarmou, V; Nogareda, LH; Ippolito, A; Istace, F; Jarrah, S; Kardassi, D; Kienzler, A; Lanzoni, A; Lava, R; Linguadoca, A; Lythgo, C; Mangas, I; Padovani, L; Panzarea, M; Morte, JMP; Rizzuto, S; Romac, A; Rortais, A; Serafimova, R; Sharp, R; Szentes, C; Terron, A; Theobald, A; Tiramani, M; Vianello, G; Villamar-Bouza, L",Peer review of the pesticide risk assessment of the active substance glyphosate,EFSA JOURNAL,"The conclusions of EFSA following the peer review of the initial risk assessments carried out by the Assessment Group on Glyphosate (AGG), consisting of the competent authorities of France, the Netherlands, Sweden and Hungary, acting jointly as rapporteur Member State for the pesticide active substance glyphosate are reported. The context of the peer review was that required by Commission Implementing Regulation (EU) No 844/2012. The conclusions were reached on the basis of the evaluation of the representative uses of glyphosate as a herbicide as proposed by the applicants, covering uses pre-sowing, pre-planting and pre-emergence plus post-harvest in vegetables and sugar beet; post-emergence of weeds in orchards, vineyards, row vegetables, railway tracks against emerged annual, biennial and perennial weeds. Moreover, uses as spot treatment against invasive species in agricultural and non-agricultural areas, and in vegetables and sugar beet against couch grass are also included. The reliable endpoints, appropriate for use in regulatory risk assessment, are presented. Missing information identified as being required by the regulatory framework is listed. Concerns are reported where identified.",2023,21,,,10.2903/j.efsa.2023.8164
"Ames, J; Severo, ES; Costa-Silva, DGD; Storck, TR; Amaral, AMBD; Miragem, AA; Rosemberg, DB; Loro, VL",Glyphosate-based herbicide (GBH) causes damage in embryo-larval stages of zebrafish (Danio rerio),NEUROTOXICOLOGY AND TERATOLOGY,"Glyphosate-Based Herbicides (GBH) show risks to the environment and also to aquatic organisms, such as fish. The present work aimed to evaluate the effects of GBH and Pure Glyphosate (PG) exposure on Danio rerio embryos at drinking water concentrations. Zebrafish embryos were exposed to 250, 500, and 1000 mu g L-1 of Roundup Original DI (R) and pure glyphosate for 96 h. Glyphosate concentration in water, parameters physicochemical water, survival, hatching rate, heart rate, malformations, behavior, and biomarkers were evaluated. We verified that at 6 h post-fertilization (hpf), animals exposed to GBH 500 showed decreased survival as compared to the control. The hatching rate increased in all groups exposed to GBH at 48 hpf as compared to the control group. The embryos exposed did not present changes in the spontaneous movement and touch response. Exposed groups to GBH demonstrated a higher number of malformations in fish embryos as compared to the control. Most malformations were: pericardial edema, yolk sac edema, body malformations, and curvature of the spine. In heart rate, bradycardia occurred in groups exposed, as predicted due to cardiac abnormalities. As biochemical endpoints, we observed a decrease in Glutathione S-transferase (GBH 250, GBH 500 and PG 250) and Acetylcholinesterase (GBH 250 and PG 250) activity. No differences were found between the groups in the concentration of protein, Total Antioxidant Capacity Against Peroxyl Radicals, Lipid peroxidation, Reactive Oxygen Species, Non-protein thiols, and Catalase. In conclusion, the damage in all evaluated stages of development was aggravated by survival and malformations. Therefore, the large-scale use of GBHs, coupled with the permissiveness of its presence could be the cause damage to the aquatic environment affecting the embryonic development of non-target organisms.",2023,95,,,10.1016/j.ntt.2022.107147
"Annett, R; Habibi, HR; Hontela, A",Impact of glyphosate and glyphosate-based herbicides on the freshwater environment,JOURNAL OF APPLIED TOXICOLOGY,"Glyphosate [N-(phosphonomethyl) glycine] is a broad spectrum, post emergent herbicide and is among the most widely used agricultural chemicals globally. Initially developed to control the growth of weed species in agriculture, this herbicide also plays an important role in both modern silviculture and domestic weed control. The creation of glyphosate tolerant crop species has significantly increased the demand and use of this herbicide and has also increased the risk of exposure to non-target species. Commercially available glyphosate-based herbicides are comprised of multiple, often proprietary, constituents, each with a unique level of toxicity. Surfactants used to increase herbicide efficacy have been identified in some studies as the chemicals responsible for toxicity of glyphosate-based herbicides to non-target species, yet they are often difficult to chemically identify. Most glyphosate-based herbicides are not approved for use in the aquatic environment; however, measurable quantities of the active ingredient and surfactants are detected in surface waters, giving them the potential to alter the physiology of aquatic organisms. Acute toxicity is highly species dependant across all taxa, with toxicity depending on the timing, magnitude, and route of exposure. The toxicity of glyphosate to amphibians has been a major focus of recent research, which has suggested increased sensitivity compared with other vertebrates due to their life history traits and reliance on both the aquatic and terrestrial environments. This review is designed to update previous reviews of glyphosate-based herbicide toxicity, with a focus on recent studies of the aquatic toxicity of this class of chemicals. Copyright (c) 2014 John Wiley & Sons, Ltd.",2014,34,458,479,10.1002/jat.2997
"Antier, C; Kudsk, P; Reboud, X; Ulber, L; Baret, PV; Messéan, A",Glyphosate Use in the European Agricultural Sector and a Framework for Its Further Monitoring,SUSTAINABILITY,"Monitoring pesticide use is essential for assessing farming practices and the risks associated with the use of pesticides. Currently, there are neither consolidated, public data available on glyphosate use in Europe, nor a standardized categorization of its major uses. In this study, data on glyphosate sales and use in Europe were collected from multiple sources and compiled into a dataset of the agricultural use of glyphosate from 2013 to 2017. The survey shows that glyphosate represented 33% of the herbicide volume sold in Europe in 2017. One third of the acreage of annual cropping systems and half of the acreage of perennial tree crops received glyphosate annually. Glyphosate is widely used for at least eight agronomic purposes, including weed control, crop desiccation, terminating cover crops, terminating temporary grassland and renewing permanent grassland. Glyphosate use can be classified into occasional uses-i.e., exceptional applications, triggered by meteorological conditions or specific farm constraints-and recurrent uses, which are widespread practices that are embedded in farming systems and for which other agronomic solutions may exist but are not frequently used. This article proposes a framework for the precise monitoring of glyphosate use, based on the identification of the cropping systems in which glyphosate is used, the agronomic purposes for which it is employed, the dose used and the rationale behind the different uses.",2020,12,,,10.3390/su12145682
