AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
Benbrook C.M.,Hypothesis: glyphosate-based herbicides can increase risk of hematopoietic malignancies through extended persistence in bone,2025,Environmental Sciences Europe,37,,,10.1186/s12302-025-01057-1,"Despite episodic and variable patterns of exposure, the levels of glyphosate (GLY) detected in the urine of herbicide applicators and the general public are relatively stable across space (urban vs. rural) and time (weed spray season, not spray season). Substantial GLY metabolism data show that within minutes of entering the bloodstream, GLY moves into bone marrow, and then laterally through bone tissue and back into general circulation. As GLY moves through bone it comes into contact with calcium and a portion is immobilized via chelation. A novel two-part hypothesis is explored: first, the likely reason for the lack of variability in GLY levels in urine is that GLY stored in bone is excreted gradually over days to weeks, and augments the generally stable and modest levels of dietary exposure to GLY; and second, the prolonged systemic movement of GLY into bone marrow and bone extends contact between GLY and hematopoietic stem cells (HSC), increasing the risk of GLY-induced breaks and rearrangements in the DNA in HSCs. Studies confirm that GLY and glyphosate-based herbicides (GBHs) can trigger oxidative stress and impair DNA-repair mechanisms. Animal bioassays and epidemiology studies link GLY/GBH exposures to heightened risk of blood cancers, and possibly other pathologies. The hypothesis proposed here provides a plausible pathophysiologic basis for these observations relative, in particular, to blood cancers. © The Author(s) 2025."
Joseph T.M.; Junu Jahana C.; Ndiaye M.,Application of Analytical Hierarchy Process (AHP) for Assessment of Plastic Waste,2024,"2024 IEEE International Conference on Technology Management, Operations and Decisions, ICTMOD 2024",,,,10.1109/ICTMOD63116.2024.10878229,"Addressing the escalating issue of plastic pollution has become a critical environmental priority due to the global inadequacy in managing rising plastic waste. This study applies the Analytical Hierarchy Process (AHP) to rank plastics based on their environmental, economic, and social impacts, identifying polycarbonate (PC) and polyvinyl chloride (PVC) as the most problematic. The AHP framework provides a methodologically sound basis for prioritizing these plastics in waste management strategies, enabling more targeted policy interventions, lifecycle analyses, and corporate decisionmaking. Additionally, the findings can inform public awareness campaigns and guide efforts toward sustainable consumption and waste reduction. By focusing on the most impactful plastics, this research offers a strategic pathway for enhancing the efficiency and sustainability of global plastic waste management.  © 2024 IEEE."
Furtak A.; Szafranek-Nakonieczna A.; Furtak K.; Pytlak A.,"A review of organophosphonates, their natural and anthropogenic sources, environmental fate and impact on microbial greenhouse gases emissions – Identifying knowledge gaps",2024,Journal of Environmental Management,355,,,10.1016/j.jenvman.2024.120453,"Organophosphonates (OPs) are a unique group of natural and synthetic compounds, characterised by the presence of a stable, hard-to-cleave bond between the carbon and phosphorus atoms. OPs exhibit high resistance to abiotic degradation, excellent chelating properties and high biological activity. Despite the huge and increasing scale of OP production and use worldwide, little is known about their transportation and fate in the environment. Available data are dominated by information concerning the most recognised organophosphonate – the herbicide glyphosate - while other OPs have received little attention. In this paper, a comprehensive review of the current state of knowledge about natural and artificial OPs is presented (including glyphosate). Based on the available literature, a number of knowledge gaps have been identified that need to be filled in order to understand the environmental effects of these abundant compounds. Special attention has been given to GHG-related processes, with a particular focus on CH4. This stems from the recent discovery of OP-dependent CH4 production in aqueous environments under aerobic conditions. The process has changed the perception of the biogeochemical cycle of CH4, since it was previously thought that biological methane formation was only possible under anaerobic conditions. However, there is a lack of knowledge on whether OP-associated methane is also formed in soils. Moreover, it remains unclear whether anthropogenic OPs affect the CH4 cycle, a concern of significant importance in the context of the increasing rate of global warming. The literature examined in this review also calls for additional research into the date of OPs in waste and sewage and in their impact on environmental microbiomes. © 2024 Elsevier Ltd"
Silva V.; Gai L.; Harkes P.; Tan G.; Ritsema C.J.; Alcon F.; Contreras J.; Abrantes N.; Campos I.; Baldi I.; Bureau M.; Christ F.; Mandrioli D.; Sgargi D.; Pasković I.; Polić Pasković M.; Glavan M.; Hofman J.; Huerta Lwanga E.; Norgaard T.; Bílková Z.; Osman R.; Khurshid C.; Navarro I.; de la Torre A.; Sanz P.; Ángeles Martínez M.; Dias J.; Mol H.; Gort G.; Martins Figueiredo D.; Scheepers P.T.J.; Schlünssen V.; Vested A.; Alaoui A.; Geissen V.,Pesticide residues with hazard classifications relevant to non-target species including humans are omnipresent in the environment and farmer residences,2023,Environment International,181,,,10.1016/j.envint.2023.108280,"Intensive and widespread use of pesticides raises serious environmental and human health concerns. The presence and levels of 209 pesticide residues (active substances and transformation products) in 625 environmental samples (201 soil, 193 crop, 20 outdoor air, 115 indoor dust, 58 surface water, and 38 sediment samples) have been studied. The samples were collected during the 2021 growing season, across 10 study sites, covering the main European crops, and conventional and organic farming systems. We profiled the pesticide residues found in the different matrices using existing hazard classifications towards non-target organisms and humans. Combining monitoring data and hazard information, we developed an indicator for the prioritization of pesticides, which can support policy decisions and sustainable pesticide use transitions. Eighty-six percent of the samples had at least one residue above the respective limit of detection. One hundred residues were found in soil, 112 in water, 99 in sediments, 78 in crops, 76 in outdoor air, and 197 in indoor dust. The number, levels, and profile of residues varied between farming systems. Our results show that non-approved compounds still represent a significant part of environmental cocktails and should be accounted for in monitoring programs and risk assessments. The hazard profiles analysis confirms the dominance of compounds of low-moderate hazard and underscores the high hazard of some approved compounds and recurring “no data available” situations. Overall, our results support the idea that risk should be assessed in a mixture context, taking environmentally relevant mixtures into consideration. We have uncovered uncertainties and data gaps that should be addressed, as well as the policy implications at the EU approval status level. Our newly introduced indicator can help identify research priority areas, and act as a reference for targeted scenarios set forth in the Farm to Fork pesticide reduction goals. © 2023 The Author(s)"
Ahmad M.F.; Ahmad F.A.; Alsayegh A.A.; Zeyaullah M.; AlShahrani A.M.; Muzammil K.; Saati A.A.; Wahab S.; Elbendary E.Y.; Kambal N.; Abdelrahman M.H.; Hussain S.,Pesticides impacts on human health and the environment with their mechanisms of action and possible countermeasures,2024,Heliyon,10,,,10.1016/j.heliyon.2024.e29128,"Pesticides are chemical constituents used to prevent or control pests, including insects, rodents, fungi, weeds, and other unwanted organisms. Despite their advantages in crop production and disease management, the use of pesticides poses significant hazards to the environment and public health. Pesticide elements have now perpetually entered our atmosphere and subsequently contaminated water, food, and soil, leading to health threats ranging from acute to chronic toxicities. Pesticides can cause acute toxicity if a high dose is inhaled, ingested, or comes into contact with the skin or eyes, while prolonged or recurrent exposure to pesticides leads to chronic toxicity. Pesticides produce different types of toxicity, for instance, neurotoxicity, mutagenicity, carcinogenicity, teratogenicity, and endocrine disruption. The toxicity of a pesticide formulation may depend on the specific active ingredient and the presence of synergistic or inert compounds that can enhance or modify its toxicity. Safety concerns are the need of the hour to control contemporary pesticide-induced health hazards. The effectiveness and implementation of the current legislature in providing ample protection for human health and the environment are key concerns. This review explored a comprehensive summary of pesticides regarding their updated impacts on human health and advanced safety concerns with legislation. Implementing regulations, proper training, and education can help mitigate the negative impacts of pesticide use and promote safer and more sustainable agricultural practices. © 2024 The Authors"
Evalen P.S.; Barnhardt E.N.; Ryu J.; Stahlschmidt Z.R.,Toxicity of glyphosate to animals: A meta-analytical approach,2024,Environmental Pollution,347,,,10.1016/j.envpol.2024.123669,"Glyphosate (GLY)-based herbicides (GBHs) are the most commonly applied pesticide worldwide, and non-target organisms (e.g., animals) are now regularly exposed to GLY and GBHs due to the accumulation of these chemicals in many environments. Although GLY/GBH was previously considered to be non-toxic, growing evidence indicates that GLY/GBH negatively affects some animal taxa. However, there has been no systematic analysis quantifying its toxicity to animals. Therefore, we used a meta-analytical approach to determine whether there is a demonstrable effect of GLY/GBH toxicity across animals. We further addressed whether the effects of GLY/GBH vary due to (1) taxon (invertebrate vs. vertebrate), (2) habitat (aquatic vs. terrestrial), (3) type of biological response (behavior vs. physiology vs. survival), and (4) dosage or concentration of GLY/GBH. Using this approach, we also determined whether adjuvants (e.g., surfactants) in commercial formulations of GBHs increased toxicity for animals relative to exposure to GLY alone. We analyzed 1282 observations from 121 articles. We conclude that GLY is generally sub-lethally toxic for animals, particularly for animals in aquatic or marine habitats, and that toxicity did not exhibit dose-dependency. Yet, our analyses detected evidence for widespread publication bias so we encourage continued experimental investigations to better understand factors influencing GLY/GBH toxicity to animals. © 2024 The Authors"
Goritschnig L.; Burtscher-Schaden H.; Durstberger T.; Zaller J.G.,"Ecotoxicity of Pesticides Approved for Use in European Conventional or Organic Agriculture for Honeybees, Birds, and Earthworms",2024,Environments - MDPI,11,,,10.3390/environments11070137,"Pesticides affect biota inside and outside agricultural fields due to their intrinsic mode of action. This study investigated whether pesticide active substances (AS) approved for conventional agriculture in Europe differ in their ecotoxicity from AS approved for organic agriculture. The evaluation was based on official ecotoxicological data for surrogate honeybee, bird, and earthworm species, which also serve as a reference for official environmental risk assessments in the pesticide authorization process. In October 2022, 268 chemical-synthetic AS approved for conventional and 179 nature-based AS approved for organic agriculture were listed in the EU Pesticide Database. Ecotoxicological data were only available for 254 AS approved for use in conventional agriculture and 110 AS approved for use in organic agriculture. The results showed a higher ecotoxicity of conventional AS: 79% (201 AS), 64% (163 AS) and 91% (230 AS) were moderately to acutely toxic to honeybees, birds, and earthworms, respectively, compared to 44% (48 AS), 14% (15 AS) and 36% (39 AS) of AS approved for organic agriculture. We have only considered the potential ecotoxicities of individual substances in this assessment; actual exposure in the field, where multiple AS formulations with other chemicals (including impurities) are applied, will be different. Nevertheless, these results emphasize that an increase in organic agriculture in Europe would reduce the ecotoxicological burden on biodiversity and associated ecosystem services. © 2024 by the authors."
Gutierrez A.P.; Kenmore P.E.; Ponti L.,Hybrid Bt cotton is failing in India: cautions for Africa,2023,Environmental Sciences Europe,35,,,10.1186/s12302-023-00804-6,"This paper reviews the ongoing failure of hybrid transgenic Bt (Bacillus thuringiensis) cotton unique to India. The underlying cause for this failure is the high cost of hybrid seed that imposes a suboptimal long-season low plant density system that limits yield potential and has associated elevated levels of late-season pests. Indian hybrid Bt cotton production is further complicated by the development of resistance to Bt toxins in the key pest, the native pink bollworm (Pectinophora gossypiella Saunders, PBW), resulting in increased insecticide use that induces ecological disruption and outbreaks of highly destructive secondary pests. Rainfed cotton production uncertainty is further exacerbated by the variable monsoon rains. While hybrid cotton produces fertile seed, the resulting plant phenotypes are highly variable preventing farmers from replanting saved seed, forcing them to buy seed yearly (i.e., market capture), and effectively protecting industry Intellectual Property Rights (IPRs). The lessons gained from the ongoing market failure of hybrid Bt cotton in India are of utmost importance to its proposed introduction to Africa where, similar to India, cotton is grown mainly in poor rainfed smallholder family farms, and hence similar private–corporate conflicts of interest will occur. Holistic field agroecological studies and weather-driven mechanistic analyses are suggested to help foresee ecological and economic challenges in cotton production in Africa. High-density short-season (HD-SS) non-hybrid non-genetically modified irrigated and rainfed cottons are viable alternatives for India that can potentially produce double the yields of the current low-density hybrid system. © 2023, The Author(s)."
Hasan F.; Perveen K.; Bukhari N.A.; Khan A.; Mani N.; Tanwar A.K.; Dhillon M.K.; Singh A.; Kumar A.; Sharma K.,Multigenerational hormetic effects of different insecticides on Spodoptera frugiperda (J.E. smith) (Lepidoptera: Noctuidae),2025,Crop Protection,187,,,10.1016/j.cropro.2024.106962,"To protect crops from pest insects, farmers continuously use insecticides, which eventually degrade into residue due to abiotic or biotic factors. These residual effects of pesticides may cause low lethal and/or sublethal impacts on the exposed pest insect populations, leading to the induction of pest resurgence through hormesis and ultimately the development of resistance. Hormesis is a beneficial bi-phasic effect generally characterized by low-dose reproductive stimulation and high-dose inhibition. In the present study, we investigated the impact of low lethal and sublethal concentrations (LC10, LC20, and LC30) of spinetoram, chlorantraniliprole, and thiodicarb on the F0 generation as well as their multigenerational hormesis effects on the F1 and F2 generations of Fall Armyworm (FAW), Spodoptera frugiperda (J.E. Smith) (Lepidoptera: Noctuidae). The study focused on reproductive parameters, fecundity, fertility, and life index parameters such as net reproductive rate (R0), intrinsic rate of increase (rm), finite rate of increase (λ), mean length of generation (Tc), and gross reproductive rate (GRR). Fecundity of S. frugiperda increased by 4.82%, 4.63% and 4.58%, while eggs fertility improved by 7.77%, 6.78% and 6.52% at LC10 of thiodicarb, chlorantraniliprole and spinetoram, respectively, from the F1 to F2 generation. Further, interaction analysis (Concentration × Insecticidal treatments) revealed that important vital parameters like pre-oviposition period (POP), oviposition period (OP), post-oviposition period (PtOP), R0, rm, λ, Tc and GRR of F0 were negatively impacted by LC30 of all the tested insecticides and LC20 of only spinetoram. However, LC10 of any of the tested insecticides did not affect these parameters when compared with control. Furthermore, interactive analysis in multigenerational exposure experiments (Concentration × Insecticidal treatments × Generation(s)) showed hermetic effects of LC10 of all tested insecticides which is more positive in F2 as compared to F1 generation. These unwanted positive hermetic effects of low lethal concentrations (LC10) of tested insecticides in offspring of exposed parental population of S. frugiperda indicated its resistance and/or resurgence. Furthernore, present study emphasizes the necessity for additional research to elucidate the underlying mechanisms responsible for these effects. © 2024 Elsevier Ltd"
Yu N.; Li J.; Chen Y.; Wang Y.; Guo Z.; Liu Z.,Glyphosate-based herbicides reduced overwintering population and reproduction of agrobiont spiders,2024,Journal of Hazardous Materials,479,,,10.1016/j.jhazmat.2024.135782,"Spiders are important in ecosystem and serve as predators in the biological control of pest insects in agroecosystem, where they encounter various harsh challenges including pesticides and low temperature in winter. Glyphosate-based herbicides (GBH) are widely and frequently applied to diminish weeds, exposing spiders a disturbed habitat, especially to overwintering spiders. We conducted a study combining field surveys and lab assays, to assess the effects of a GBH on the overwintering of the agrobiont wolf spider, Pardosa pseudoannulata. The GBH significantly reduced the overall overwintering spider population by about 69 %, and reduced the number of vulnerable juveniles by about 80 %. The survivors exhibited substantial fitness costs such as reproductive dysfunctions and enhanced oxidative stress responses. We then mimicked the overwinter process in lab. We housed spiders on soil patches with and without weeds to examine whether weeds contributed to the GBH's sublethal effects. Spiders overwintered independent of weeds when GBH was not applied. When GBH was applied before or during overwintering, juvenile spiders overwintered in weedy habitats exhibited reduced survival and fecundity, and increased oxidative stress compared to their counterparts in weed-free habitats. Therefore, GBH-containing weeds contributed to the persistent adverse effects of GBH on overwintering spiders. The findings revealed the cross-talk among weeds, herbicides, low temperature, and non-target organisms. The study provides novel information on the environmental risk assessment of pesticides and rational scheduling of pesticide application. © 2024 Elsevier B.V."
