AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
"Abraham, J; Benhotons, GS; Krampah, I; Tagba, J; Amissah, C; Abraham, JD",Commercially formulated glyphosate can kill non-target pollinator bees under laboratory conditions,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,"The use of glyphosate-based herbicides in agroecosystems has increased over the past few years because of the advent of genetically modified glyphosate-resistant crops and resistant weeds. This is alarming because of potential damaging effects on non-target organisms. In sub-Saharan Africa, for example Ghana, many rural farmers have not received training in the use of glyphosate-based herbicides, thus tend to apply higher than recommended concentrations on farms. Therefore, this study investigated the effect of glyphosate-based herbicides on beneficial insects under laboratory conditions, using Apis mellifera L. (Hymenoptera: Apidae, Apini) and Hypotrigona ruspolii (Magretti) (Hymenoptera: Apidae, Meliponini) as models. The bees were put in contact for 24 h with the recommended concentration of Sunphosate 360 SL, a glyphosate-based herbicide, 2x the recommended concentration, or distilled water as control. The effect of the herbicide on the bees was compared to the effect of a lambda-cyhalothrin insecticide. Generally, more bees died after contact with plants freshly sprayed with the herbicide than on herbicide-treated filter paper. In both cases, more bees died after contact with the higher concentration of the herbicide. These findings suggest that beneficial insects, specifically A. mellifera and H. ruspolii, may get killed if they are sprayed upon or come into contact with plants that have been freshly sprayed with (more than) the recommended concentration of glyphosate-based herbicides. Therefore, it is important to restrict access and use of such herbicides to trained personnel who will comply with spraying guidelines, that is, recommended concentrations and timing of spray. Spraying at a time when insects are flying about may be detrimental to beneficial insects such as pollinator bees, parasitoids, and predators.",2018,166,695,702,10.1111/eea.12694
"Aitbali, Y; Ba-M'hamed, S; Elhidar, N; Nafis, A; Soraa, N; Bennis, M","Glyphosate based-herbicide exposure affects gut microbiota, anxiety and depression-like behaviors in mice",NEUROTOXICOLOGY AND TERATOLOGY,"Recently, a number of studies have demonstrated the profound relationship between gut microbiota (GM) alterations and behavioral changes. Glyphosate-based herbicides (GBH) have been shown to induce behavioral impairments, and it is possible that they mediate the effects through an altered GM. In this study, we investigated the toxic effects of GBH on GM and its subsequent effects on the neurobehavioral functions in mice following acute, subchronic and chronic exposure to 250 or 500 mg/kg/day. The effect of these acute and repeated treatments was assessed at the behavioral level using the open field, the elevated plus maze, the tail suspension and splash tests. Then, mice were sacrificed and the intestinal samples were collected for GM analysis. Subchronic and chronic exposure to GBH induced an increase of anxiety and depression-like behaviors. In addition, GBH significantly altered the GM composition in terms of relative abundance and phylogenic diversity of the key microbes. Indeed, it decreased more specifically, Corynebacterium, Firmicutes, Bacteroidetes and Lactobacillus in treated mice. These data reinforce the essential link between GM and GBH toxicity in mice and suggest that observed intestinal dysbiosis could increase the prevalence of neurobehavioral alterations.",2018,67,44,49,10.1016/j.ntt.2018.04.002
"Allegrini, M; Zabaloy, MC; Gómez, ED",Ecotoxicological assessment of soil microbial community tolerance to glyphosate,SCIENCE OF THE TOTAL ENVIRONMENT,"Glyphosate is the most used herbicide worldwide. While contrasting results have been observed related with its impact on soil microbial communities, more studies are necessary to elucidate the potential effects of the herbicide. Differences in tolerance detected by Pollution Induced Community Tolerance (PICT) approach could reflect these effects. The objective of the present study was to assess the tolerance to glyphosate (the active ingredient and a commercial formulation) of contrasting soils with (H) and without (NH) history of exposure. The hypothesis of a higher tolerance in H soils due to a sustained selection pressure on community structure was tested through the PICT approach. Results indicated that tolerance to glyphosate is not consistent with previous history of exposure to the herbicide either for the active ingredient or for a commercial formulation. Soils of H and NH sites were also characterized in order to determine to what extent they differ in their functional diversity and structure of microbial communities. Denaturant Gradient Gel Electrophoresis (DGGE) and Quantitative Real Time PCR (Q-PCR) indicated high similarity of Eubacteria profiles as well as no significant differences in abundance, respectively, between H and NH sites. Community level physiological profiling (CLPP) indicated some differences in respiration of specific sources but functional diversity was very similar as reflected by catabolic evenness (E). These results support PICT assay, which ideally requires soils with differences in their exposure to the contaminant but minor differences in other characteristics. This is, to our knowledge, the first report of PICT approach with glyphosate examining tolerance at soil microbial community level. (C) 2015 Elsevier B.V. All rights reserved.",2015,533,60,68,10.1016/j.scitotenv.2015.06.096
"Almasri, H; Tavares, DA; Tchamitchian, S; Pélissier, M; Sené, D; Cousin, M; Brunet, JL; Belzunces, LP",Toxicological status changes the susceptibility of the honey bee Apis mellifera to a single fungicidal spray application,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"During all their life stages, bees are exposed to residual concentrations of pesticides, such as insecticides, herbicides, and fungicides, stored in beehive matrices. Fungicides are authorized for use during crop blooms because of their low acute toxicity to honey bees. Thus, a bee that might have been previously exposed to pesticides through contaminated food may be subjected to fungicide spraying when it initiates its first flight outside the hive. In this study, we assessed the effects of acute exposure to the fungicide in bees with different toxicological statuses. Three days after emergence, bees were subjected to chronic exposure to the insecticide imidacloprid and the herbicide glyphosate, either individually or in a binary mixture, at environmental concentrations of 0.01 and 0.1 mu g/L in food (0.0083 and 0.083 mu g/kg) for 30 days. Seven days after the beginning of chronic exposure to the pesticides (10 days after emergence), the bees were subjected to spraying with the fungicide difenoconazole at the registered field dosage. The results showed a delayed significant decrease in survival when honey bees were treated with the fungicide. Fungicide toxicity increased when honey bees were chronically exposed to glyphosate at the lowest concentration, decreased when they were exposed to imidacloprid, and did not significantly change when they were exposed to the binary mixture regardless of the concentration. Bees exposed to all of these pesticide combinations showed physiological disruptions, revealed by the modulation of several life history traits related mainly to metabolism, even when no effect of the other pesticides on fungicide toxicity was observed. These results show that the toxicity of active substances may be misestimated in the pesticide registration procedure, especially for fungicides.",2021,28,42807,42820,10.1007/s11356-021-13747-3
"Almasri, H; Tavares, DA; Pioz, M; Sen, D; Tchamitchian, S; Cousin, M; Brunet, JL; Belzunces, LP","Mixtures of an insecticide, a fungicide and a herbicide induce high toxicities and systemic physiological disturbances in winter Apis mellifera honey bees",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,"Multiple pesticides originating from plant protection treatments and the treatment of pests infecting honey bees are frequently detected in beehive matrices. Therefore, winter honey bees, which have a long life span, could be exposed to these pesticides for longer periods than summer honey bees. In this study, winter honey bees were exposed through food to the insecticide imidacloprid, the fungicide difenoconazole and the herbicide glyphosate, alone or in binary and ternary mixtures, at environmental concentrations (0 (controls), 0.1, 1 and 10 mu g/L) for 20 days. The survival of the honey bees was significantly reduced after exposure to these 3 pesticides individually and in combination. Overall, the combinations had a higher impact than the pesticides alone with a maximum mortality of 52.9% after 20 days of exposure to the insecticide-fungicide binary mixture at 1 mu g/L. The analyses of the surviving bees showed that these different pesticide combinations had a systemic global impact on the physiological state of the honey bees, as revealed by the modulation of head, midgut and abdomen glutathione-S-transferase, head acetylcholinesterase, abdomen glucose-6-phosphate dehydrogenase and midgut alkaline phosphatase, which are involved in the detoxification of xenobiotics, the nervous system, defenses against oxidative stress, metabolism and immunity, respectively. These results demonstrate the importance of studying the effects of chemical cocktails based on low realistic exposure levels and developing long-term tests to reveal possible lethal and adverse sublethal interactions in honey bees and other insect pollinators.",2020,203,,,10.1016/j.ecoenv.2020.111013
"Andreasen, C; Streibig, JC",Evaluation of changes in weed flora in arable fields of Nordic countries - based on Danish long-term surveys,WEED RESEARCH,"P>During the last 50 years, agricultural productivity has increased tremendously, as have changes in the weed flora. In several European countries, weed surveys have been conducted regularly, of which the most frequent and consistent ones are Danish surveys conducted in 1911-1915, 1945, 1960-1970, 1987-1989 and 2001-2004. The surveys were carried out on fields not sprayed with herbicide in the sampling year. On the basis of this frame of reference, we discuss the changes in the weed flora during this period and relate them to findings in other Nordic countries and review the role of different farming practices on the weed flora of the past. Numerous agronomic factors and political initiatives to protect the environment have operated in concert. During the last 30 years, winter-sown crops have increased by almost 70%, at the expense of spring annual crops and grass leys, and this has favoured winter annual weed species. Maize is now widely grown and new weed species are invading arable land. Also, increased fertilisation levels over time have affected the weed flora. It is, however, obvious that herbicides play a major role in determining the composition, diversity and abundance of weed flora, although other factors such as mechanisation and the Common Agricultural Policy of the EU are also important. For the last 20 years, we have experienced an increase in some of the most frequent weed species without reductions in yield. This is probably due to governmental policies mandating lower herbicide efficacy goals for farmers, but it has been partly counteracted by genetic improvement of crops and better management.",2011,51,214,226,10.1111/j.1365-3180.2010.00836.x
"Antier, C; Kudsk, P; Reboud, X; Ulber, L; Baret, PV; Messéan, A",Glyphosate Use in the European Agricultural Sector and a Framework for Its Further Monitoring,SUSTAINABILITY,"Monitoring pesticide use is essential for assessing farming practices and the risks associated with the use of pesticides. Currently, there are neither consolidated, public data available on glyphosate use in Europe, nor a standardized categorization of its major uses. In this study, data on glyphosate sales and use in Europe were collected from multiple sources and compiled into a dataset of the agricultural use of glyphosate from 2013 to 2017. The survey shows that glyphosate represented 33% of the herbicide volume sold in Europe in 2017. One third of the acreage of annual cropping systems and half of the acreage of perennial tree crops received glyphosate annually. Glyphosate is widely used for at least eight agronomic purposes, including weed control, crop desiccation, terminating cover crops, terminating temporary grassland and renewing permanent grassland. Glyphosate use can be classified into occasional uses-i.e., exceptional applications, triggered by meteorological conditions or specific farm constraints-and recurrent uses, which are widespread practices that are embedded in farming systems and for which other agronomic solutions may exist but are not frequently used. This article proposes a framework for the precise monitoring of glyphosate use, based on the identification of the cropping systems in which glyphosate is used, the agronomic purposes for which it is employed, the dose used and the rationale behind the different uses.",2020,12,,,10.3390/su12145682
"Anton, A; Fekete, G; Darvas, B; Székács, A",Environmental risk of chemical agriculture,ENGINEERING TOOLS FOR ENVIRONMENTAL RISK MANAGEMENT - I: ENVIRONMENTAL DETERIORATION AND CONTAMINATION - PROBLEMS AND THEIR MANAGEMENT,"Contamination by soil fertilizers, veterinary drugs and pesticides is an important environmental problem caused by agroecosystem uses aiming at high-yield production. Intensive production resulted in a strong dependence on chemical fertilizers, thus failing to maintain the structure, nutrient content and biological diversity of agricultural soil necessary for long-term production. These deteriorated soils are incapable of regulating and hindering pests, and therefore, agriculture and animal husbandry rely increasingly on the use of pesticides and veterinary drugs to control diseases, pests and parasites endangering crops and livestock. This chapter gives an overview of the European legislation on pesticides, natural and contaminated agricultural soil, as well as on the inter-relationship between the use of chemicals and the deterioration of soils in Europe.",2014,,93,112,
"Arango, L; Buddrus-Schiemann, K; Opelt, K; Lueders, T; Haesler, F; Schmid, M; Ernst, D; Hartmann, A",Effects of glyphosate on the bacterial community associated with roots of transgenic Roundup Ready® soybean,EUROPEAN JOURNAL OF SOIL BIOLOGY,"Introduction of glyphosate-resistant soybean plants into agricultural systems has greatly increased the application frequency of glyphosate. Because glyphosate is able to inhibit 5-enolpyruvylshikimate-3-phosphate synthase (EPSPS) not only in plants but also in different microorganisms, its application could lead to shifts in rhizosphere microbial communities in farming soils. In this study, greenhouse experiments were conducted with the objective to evaluate the effects of glyphosate on the composition and diversity of rhizosphere bacterial communities of transgenic soybean. This was especially relevant, because foliar applied glyphosate is transported down to the roots and exuded into the rhizosphere. After two foliar herbicide applications, root samples of treated and untreated plants were analysed by 16S rRNA gene T-RFLP analysis. Multivariate statistical analysis of the data and diversity indices were used to assess changes in the microbial populations in response to glyphosate applications. A comparison of rhizosphere communities revealed that the abundance of a T-RF representing microbes related to Burkholderia sp. significantly decreased under glyphosate application, while the abundance of a T-RF representing uncultured Gemmatimonadetes significantly increased. Interestingly, the bacterial community associated with soybean roots after glyphosate application not only demonstrated effective resilience after the disturbance but in addition, T-RF diversity also increased in comparison to the untreated control samples. The results suggest that bacterial diversity was even stimulated in the rhizosphere after glyphosate application. (C) 2014 Elsevier Masson SAS. All rights reserved.",2014,63,41,48,10.1016/j.ejsobi.2014.05.005
"Aristilde, L; Reed, ML; Wilkes, RA; Youngster, T; Kukurugya, MA; Katz, V; Sasaki, CRS",Glyphosate-Induced Specific and Widespread Perturbations in the Metabolome of Soil Pseudomonas Species,FRONTIERS IN ENVIRONMENTAL SCIENCE,"Previous studies have reported adverse effects of glyphosate on crop-beneficial soil bacterial species, including several soil Pseudorronas species. Of particular interest is the elucidation of the metabolic consequences of glyphosate toxicity in these species. Here we investigated the growth and metabolic responses of soil Pseudomonas species grown on succinate, a common root exudate, and glyphosate at different concentrations. We conducted our experiments with one agricultural soil isolate, P fluorescens RA12, and three model species, P. putida KT2440, P putida S12, and P protegerls Pf-5. Our results demonstrated both species- and strain-dependent growth responses to glyphosate. Following exposure to a range of glyphosate concentrations (up to 5 mM), the growth rate of both P protegens Pf-5 and P fluorescens RA12 remained unchanged whereas the two P putida strains exhibited from 0 to 100% growth inhibition. We employed a C-13-assisted metabolomics approach using liquid chromatography-mass spectrometry to monitor disruptions in metabolic homeostasis and fluxes. Profiling of the whole-cell metabolome captured deviations in metabolite levels involved in the tricarboxylic acid cycle, ribonucleotide biosynthesis, and protein biosynthesis. Altered metabolite levels specifically in the biosynthetic pathway of aromatic amino acids (AAs), the target of toxicity for glyphosate in plants, implied the same toxicity target in the soil bacterium. Kinetic flux experiments with C-13-labeled succinate revealed that biosynthetic fluxes of the aromatic AAs were not inhibited in P fluorescens Pf-5 in the presence of low and high glyphosate doses but these fluxes were inhibited by up to 60% in P putida K12440, even at sub-lethal glyphosate exposure. Notably, the greatest inhibition was found for the aromatic AA tryptophan, an important precursor to secondary metabolites. When the growth medium was supplemented with aromatic Ms, P putida S12 exposed to a lethal dose of glyphosate completely recovered in terms of both growth rate and selected metabolite levels. Collectively, our findings led us to conclude that the glyphosate-induced specific disruption of de novo biosynthesis of aromatic AAs accompanied by widespread metabolic disruptions was responsible for dose-dependent adverse effects of glyphosate on sensitive soil Pseudomonas species.",2017,5,,,10.3389/fenvs.2017.00034
