AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
Simonsen D.; Cwiertny D.M.; Lehmler H.-J.,Benoxacor is enantioselectively metabolized by rat liver subcellular fractions,2020,Chemico-Biological Interactions,330,,,10.1016/j.cbi.2020.109247,"This study investigated the enantioselective metabolism of benoxacor, an ingredient of herbicide formulations, in microsomes or cytosol prepared from female or male rat livers. Benoxacor was incubated for ≤30 min with microsomes or cytosol, and its enantioselective depletion was measured using gas chromatographic methods. Benoxacor was depleted in incubations with active microsomes in the presence and absence of NADPH, suggesting its metabolism by hepatic cytochrome P450 enzymes (CYPs) and microsomal carboxylesterases (CESs). Benoxacor was depleted in cytosolic incubations in the presence of glutathione, consistent with its metabolism by glutathione S-transferases (GSTs). The depletion of benoxacor was faster in incubations with cytosol from male than female rats, whereas no statistically significant sex differences were observed in microsomal incubations. The consumption of benoxacor was inhibited by the CYP inhibitor 1-aminobenzotriazole, the CES inhibitor benzil, and the GST inhibitor ethacrynic acid. Estimates of the intrinsic clearance of benoxacor suggest that CYPs are the primary metabolic enzyme responsible for benoxacor metabolism in rats. Microsomal incubations showed an enrichment of the first eluting benoxacor enantiomer (E1-benoxacor). A greater enrichment occurred in incubations with microsomes from female (EF = 0.67 ± 0.01) than male rats (EF = 0.60 ± 0.01). Cytosolic incubations from female rats resulted in enrichment of E1-benoxacor (EF = 0.54 ± 0.01), while cytosolic incubations from male rats displayed enrichment of the second eluting enantiomer (E2-benoxacor; EF = 0.43 ± 0.01). Sex-dependent differences in the metabolism of benoxacor in rats could significantly impact ecological risks and mammalian toxicity. Moreover, changes in the enantiomeric enrichment of benoxacor may be a powerful tool for environmental fate and transport studies. © 2020 Elsevier B.V."
Anton B.J.; Dehnert G.K.; Karasov W.H.,"Subchronic impacts of 2,4-D herbicide Weedestroy®AM40 on associative learning in juvenile yellow perch (Perca flavescens)",2021,Aquatic Toxicology,237,,,10.1016/j.aquatox.2021.105909,"Aquatic herbicides are commonly used to control a wide variety of invasive and nuisance plants. One common active ingredient used in commercial herbicide formulations in Midwestern states is 2,4-dichlorophenoxyacetic acid (2,4-D). Due to the stability of 2,4-D in aquatic environments, many non-target aquatic species experience prolonged exposure throughout critical developmental life stages that can affect essential behaviors. However, the impacts of 2,4-D exposure on learning behaviors in juvenile fish are poorly understood. Therefore, we conducted a series of experiments using a maze environment to determine the effects of a commercial 2,4-D amine salt herbicide formulation (Weedestroy®AM40; WAM40; at 0.00, 0.50, 2.00, and 50.00 mg/L 2,4-D acid equivalent (a.e.)) exposure on juvenile yellow perch's ability to perform a feed associated learning behavior. We observed a significant decrease in the ability of yellow perch to correctly complete the feed associated learning behavior within 200 s when exposed to WAM40 at 2.00 and 50.00 mg/L 2,4-D as compared to controls (p = 0.0002; p < 0.0001, respectively) and within 600 s when exposed to WAM40 at 2.00 and 50.0 mg/L 2,4-D as compared to the controls (p = 0.0107 and p < 0.0001). These data suggest that exposure to 2,4-D in WAM40 can both increase the amount of time it takes for yellow perch to complete a feed associated learning behavior and/or obstruct the behavior altogether. Further experiments showed no significant decreases in locomotion (p > 0.05), hunger motivation (p > 0.05), and a visually guided startle response (p > 0.05), in all treatment groups tested as compared to controls. This suggests that 2,4-D in WAM40 does not inhibit feed associated learning behaviors via interaction with these mechanisms. Altogether, the results indicate that the use of 2,4-D herbicides for weed control in aquatic ecosystems could present risks to cognitive functions that control essential behaviors of yellow perch. © 2021"
Desclos le Peley V.; Grateau S.; Moreau-Vauzelle C.; Raboteau D.; Chevallereau C.; Requier F.; Aupinel P.; Richard F.-J.,Experimental Ecotoxicology Procedures Interfere with Honey Bee Life History,2024,Environmental Toxicology and Chemistry,43,1320,1331,10.1002/etc.5872,"Apis mellifera was used as a model species for ecotoxicological testing. In the present study, we tested the effects of acetone (0.1% in feed), a solvent commonly used to dissolve pesticides, on bees exposed at different developmental stages (larval and/or adult). Moreover, we explored the potential effect of in vitro larval rearing, a commonly used technique for accurately monitoring worker exposure at the larval stage, by combining acetone exposure and treatment conditions (in vitro larval rearing vs. in vivo larval rearing). We then analyzed the life-history traits of the experimental bees using radio frequency identification technology over three sessions (May, June, and August) to assess the potential seasonal dependence of the solvent effects. Our results highlight the substantial influence of in vitro larval rearing on the life cycle of bees, with a 47.7% decrease in life span, a decrease of 0.9 days in the age at first exit, an increase of 57.3% in the loss rate at first exit, and a decrease of 40.6% in foraging tenure. We did not observe any effect of exposure to acetone at the larval stage on the capacities of bees reared in vitro. Conversely, acetone exposure at the adult stage reduced the bee life span by 21.8% to 60%, decreased the age at first exit by 1.12 to 4.34 days, and reduced the foraging tenure by 30% to 37.7%. Interestingly, we found a significant effect of season on acetone exposure, suggesting that interference with the life-history traits of honey bees is dependent on season. These findings suggest improved integration of long-term monitoring for assessing sublethal responses in bees following exposure to chemicals during both the larval and adult stages. Environ Toxicol Chem 2024;43:1320–1331. © 2024 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC. © 2024 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC."
Campani T.; Casini S.; Maccantelli A.; Tosoni F.; D’Agostino A.; Caliani I.,Oxidative stress and DNA alteration on the earthworm Eisenia fetida exposed to four commercial pesticides,2024,Environmental Science and Pollution Research,31,35969,35978,10.1007/s11356-024-33511-7,"Modern agriculture is mainly based on the use of pesticides to protect crops but their efficiency is very low, in fact, most of them reach water or soil ecosystems causing pollution and health hazards to non-target organisms. Fungicide triazoles and strobilurins based are the most widely used and require a specific effort to investigate toxicological effects on non-target species. This study evaluates the toxic effects of four commercial fungicides Prosaro® (tebuconazole and prothioconazole), Amistar®Xtra (azoxystrobin and cyproconazole), Mirador® (azoxystrobin) and Icarus® (Tebuconazole) on Eisenia fetida using several biomarkers: lipid peroxidation (LPO), catalase activity (CAT), glutathione S-transferase (GST), total glutathione (GSHt), DNA fragmentation (comet assay) and lysozyme activity tested for the first time in E. fetida. The exposure to Mirador® and AmistarXtra® caused an imbalance of ROS species, leading to the inhibition of the immune system. AmistarXtra® and Prosaro®, composed of two active ingredients, induced significant DNA alteration, indicating genotoxic effects. This study broadened our knowledge of the effects of pesticide product formulations on earthworms and showed the need for improvement in the evaluation of toxicological risk deriving from the changing of physicochemical and toxicological properties that occur when a commercial formulation contains more than one active ingredient and several unknown co-formulants. © The Author(s) 2024."
Bruce A.B.; Borlu Y.; Glenna L.L.,Assessing the scientific support for U.S. EPA pesticide regulatory policy governing active and inert ingredients,2023,Journal of Environmental Studies and Sciences,13,1,13,10.1007/s13412-022-00788-4,"US Environmental Protection Agency (EPA) pesticide regulatory policy only requires environmental impact and safety testing and labeling of the active ingredients of pesticide products, rather than the end use formula. This policy is thought to partially explain the conflicting outcomes of the International Agency for Research on Cancer (IARC) and EPA assessments on glyphosate, and there is substantial scientific evidence that this approach has led to an underestimation of risk. In this paper, we present a review of EPA pesticide policy governing the regulation of active and other ingredients and findings from a survey of US agricultural scientists focused on their views of this EPA policy. The survey findings indicate that the scientists we surveyed support a more comprehensive approach to the regulation of pesticide products, including both active and inert ingredients, as well as the end use product, to test for combined effects. They also support the disclosure and labeling of inert ingredients to support independent testing of these chemicals. The results also indicate that university scientists oriented towards public science are more likely to support regulation than university scientists oriented towards private science. Overall, despite substantial evidence that the combination of all ingredients in pesticide products may be more toxic than the active ingredients alone, the current regulatory approach does not provide a pathway for the agency to respond to this science. In this sense, the scientific support for the agency’s current regulatory approach is unclear. © 2022, AESS."
Ashu F.A.; Fouet C.; Ambadiang M.M.; Penlap-Beng V.; Kamdem C.,Vegetable oil-based surfactants are adjuvants that enhance the efficacy of neonicotinoid insecticides and can bias susceptibility testing in adult mosquitoes,2023,PLoS Neglected Tropical Diseases,17,,,10.1371/journal.pntd.0011737,"Background The standard operating procedure for testing the susceptibility of adult mosquitoes to neoni-cotinoid or butenolide insecticides recommends using a vegetable oil ester (Mero) as a sur-factant. However, there is growing evidence that this adjuvant contains surfactants that can enhance insecticide activity, mask resistance and bias the bioassay. Methodology/Principal findings Using standard bioassays, we tested the effects of commercial formulations of vegetable oil-based surfactants similar to Mero on the activity of a spectrum of active ingredients including four neonicotinoids (acetamiprid, clothianidin, imidacloprid and thiamethoxam) and two pyrethroids (permethrin and deltamethrin). We found that three different brands of linseed oil soap used as cleaning products drastically enhanced neonicotinoid activity in Anopheles mosquitoes. At 1% (v/v), the surfactant reduced the median lethal concentration, LC50, of clothianidin more than 10-fold both in susceptible and in resistant populations of Anopheles gambiae. At 1% or 0.5% (v/v), linseed oil soap restored the susceptibility of adult mosquitoes fully to clothianidin, thiamethoxam and imidacloprid and partially to acetamiprid. By contrast, adding soap to the active ingredient did not significantly affect the level of resistance to permethrin or deltamethrin suggesting that vegetable oil-based surfactants specifi-cally enhance the potency of some classes of insecticides. Conclusions/Significance Our findings indicate that surfactants are not inert ingredients, and their use in susceptibility testing may jeopardize the ability to detect resistance. Further research is needed to evalu-ate the potential, the limitations and the challenges of using some surfactants as adjuvants to enhance the potency of some chemicals applied in mosquito control. © 2023 Ashu et al."
Li C.; Zhou J.; Yue N.; Wang Y.; Wang J.; Jin F.,Dissipation and dietary risk assessment of tristyrylphenol ethoxylate homologues in cucumber after field application,2021,Food Chemistry,338,,,10.1016/j.foodchem.2020.127988,"The potential for tristyrylphenol ethoxylates (TSPEOs) residues to contaminate crops or be released into the environment is of increasing concern, as they are toxic to living organisms. This study determined the dissipation of TSPEO homologues in cucumber under field conditions. TSPEOn (n = 6–29) dissipated more rapidly in cucumber than in soil samples, with half-lives of 1.80–4.30 d and 3.73–6.52 d, respectively. Short-chain TSPEOn (n = 6–11) persisted for longer than other oligomers in soil. Concentrations of the final residues (∑TSPEOs) in cucumber and soil were 24.3–1349 μg/kg and 47.3–1337 μg/kg, respectively. TSP15EO or TSP16EO was the dominant oligomer, with concentrations of 2.30–150 μg/kg. The risk assessment showed that the acute and chronic dietary exposure risks of ∑TSPEOs in cucumber were 0.03–0.57% and 0.05–0.39%, respectively, suggesting little or no health risk to Chinese consumers. © 2020 Elsevier Ltd"
Abou Zeid M.I.; Jammoul A.M.; Melki K.C.; Jawdah Y.A.; Awad M.K.,Suggested policy and legislation reforms to reduce deleterious effect of pesticides in Lebanon,2020,Heliyon,6,,,10.1016/j.heliyon.2020.e05524,"Countrywide pesticide management activities are resource draining, even for developed countries, which sometimes fall short in achieving the optimum protection against pesticides deleterious effects on humans and environment. Additionally, in Lebanon, basic flaws exist at different levels of pesticide management cycle. In this study, through an extensive review of relevant literature regarding the pesticides impact on humans and environment in Lebanon and adopted policies in existing legislation, several gaps have been identified. Accordingly, recommendations to reduce pesticide risk through a combination of reforms at the policy level and its tools, particularly legislation, are proposed. In our opinion, the starting point is to adopt a minimum list of lower risk pesticides supported by a combination of: “prescriptions” based on a comprehensive registration and an effective implementation systems, a suitable IPM/ICM government-supported credit system, traceability systems of agricultural commodities and pesticides containers, Pesticide stock management system to reduce the quantity of obsolete pesticides, and containers recycling system. For a global sustainability of pesticides risk reduction, a binding global intervention fostered by the UN, based on human rights for safe food, is called upon to ban hazardous pesticides-except those of WHO class IV- trafficking in developing countries scoring low in an international official assessment of their pesticides lifecycle management. At the same time, global funds should support pesticides alternatives and the enhancement of the developing countries capacities for pesticides lifecycle management, which is a part of a larger global matrix in risk reduction. © 2020 The Authors; Policy, legislations, reforms, pesticides, prescription, developing countries, risk reduction; Agricultural Policy; Crop Protection; Chemical Pest Control; Environmental Assessment; Legislation © 2020 The Authors"
Straw E.A.; Brown M.J.F.,Co-formulant in a commercial fungicide product causes lethal and sub-lethal effects in bumble bees,2021,Scientific Reports,11,,,10.1038/s41598-021-00919-x,"Pollinators, particularly wild bees, are suffering declines across the globe, and pesticides are thought to be drivers of these declines. Research into, and regulation of pesticides has focused on the active ingredients, and their impact on bee health. In contrast, the additional components in pesticide formulations have been overlooked as potential threats. By testing an acute oral dose of the fungicide product Amistar, and equivalent doses of each individual co-formulant, we were able to measure the toxicity of the formulation and identify the ingredient responsible. We found that a co-formulant, alcohol ethoxylates, caused a range of damage to bumble bee health. Exposure to alcohol ethoxylates caused 30% mortality and a range of sublethal effects. Alcohol ethoxylates treated bees consumed half as much sucrose as negative control bees over the course of the experiment and lost weight. Alcohol ethoxylates treated bees had significant melanisation of their midguts, evidence of gut damage. We suggest that this gut damage explains the reduction in appetite, weight loss and mortality, with bees dying from energy depletion. Our results demonstrate that sublethal impacts of pesticide formulations need to be considered during regulatory consideration, and that co-formulants can be more toxic than active ingredients. © 2021, The Author(s)."
Moreira A.; Nogueira V.; Bouguerra S.; Antunes S.C.; Rodrigues S.,Ecotoxicity of bioinsecticide spinosad to soil organisms: Commercial formulation versus active ingredient,2025,Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,287,,,10.1016/j.cbpc.2024.110056,"Spintor® (SPIT®) is a commercial formulation of a bioinsecticide with the active ingredient Spinosad (SPIN). Despite the efforts of regulatory agencies, there still is a lack of information regarding short- and long-term exposures to soil-dwellers, as well as effects at environmentally relevant concentrations. This work aimed to evaluate the effects of SPIT® and SPIN, on the oligochaete Eisenia fetida, and the arthropod Folsomia candida. For this, natural soil was spiked with environmentally relevant concentrations (0.00–1.49 mg of the active ingredient·kg−1 of dry soil) to assess avoidance behaviour in E. fetida and reproduction effects on both species. Further, in E. fetida adults exposed for 2- and 28-day biomarkers of oxidative stress, energetic reserves, neurotoxicity and genotoxicity were evaluated. A significant reduction in juvenile production for F. candida was observed for SPIT® at ≥0.66 mg kg−1 and SPIN at ≥0.13 mg kg−1, and although no effect was observed on E. fetida reproduction, the oligochaeta revealed a tendency to avoid soil spiked with SPIT® at 0.44, 0.66 and 1.49 mg kg−1. The sub-individual responses of E. fetida demonstrate genotoxicity upon exposure to SPIT® and SPIN for 2 days. The 2-day exposures of SPIT® and SPIN seem to induce defence mechanisms, and in general, SPIN exerted higher effects than SPIT® on the oligochaetes. Overall, the pro-oxidant performance and energy metabolism pathways were disrupted in both exposures to SPIT® and SPIN. The results suggest that spinosyns-based products can have an impact on soil arthropods F. candida and oligochaete's health, possibly affecting their essential functions in terrestrial ecosystems. © 2024 The Authors"
