AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
"Gomes I.N.; Gontijo L.M.; Lima M.A.P.; Zanuncio J.S., Jr; Resende H.C.",The survival and flight capacity of commercial honeybees and endangered stingless bees are impaired by common agrochemicals,2023,Ecotoxicology,32,937,947,10.1007/s10646-023-02699-8,"The impact of agrochemicals on native Brazilian bees may be underestimated, since studies of non-target effects on bees have, by and large, concerned mostly the Apis mellifera L. Furthermore, bees may be exposed in the field to multiple agrochemicals through different routes, thus suggesting the necessity for more comprehensive toxicological experiments. Here, we assessed the lethal and sublethal toxicity of multiple agrochemicals (herbicide [glyphosate – Roundup®], fungicide [mancozeb], insecticide [thiamethoxam]) through distinct routes of exposure (contact or ingestion) to an endangered native Brazilian bee Melipona (Michmelia) capixaba Moure & Camargo, 1994 and to A. mellifera. Results indicate that none of the agrochemicals caused feeding repellency on the bees. Thiamethoxam caused high mortality of both species, regardless of the route of exposure or the dose used. In addition, thiametoxam altered the flight capacity of M. capixaba when exposed to the lowest dose via contact exposure. The field dose of glyphosate caused high mortality of both bee species after oral exposure as well as impaired the flight capacity of A. mellifera (ingestion exposure) and M. capixaba (contact exposure). The lower dose of glyphosate also impaired the flight of M. capixaba through either routes of exposure. Exposure of A. mellifera through contact and ingestion to both doses of mancozeb caused high mortality and significantly impaired flight capacity. Taken altogether, the results highlight the importance of testing the impact of multiple agrochemicals (i.e. not just insecticides) through different routes of exposure in order to understand more comprehensively the potential risks for Apis and non-Apis bees. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
Jacques M.T.; Soares M.V.; Farina M.; Bornhorst J.; Schwerdtle T.; Ávila D.S.,Impaired physiological responses and neurotoxicity induced by a chlorpyrifos-based formulation in Caenorhabditis elegans are not solely dependent on the active ingredient,2023,Environmental Toxicology and Pharmacology,101,,,10.1016/j.etap.2023.104196,"The current massive and indiscriminate agrochemicals usage, which is inexorably linked to the toxic consequences to the environment and people, represents a great concern. Our work aimed to compare the toxicity induced by chlorpyrifos in its pure form (CPF) with that of a commercial formulation containing allegedly inert ingredients (CBCF) using Caenorhabditis elegans as in vivo model. After a 48 h exposure period, CBCF was 14 times more lethal than CPF; Hatching, brood size, body length and motor-related behavioral parameters were decreased, but these effects were significantly higher in CBCF-exposed worms. Additionally, CBCF induced significant morphological changes in cholinergic neurons, which are associated with the motor-related behavioral parameters. Finally, by analyzing the CBCF, we detected the presence of potentially-toxic metals that were not specified in the label. The presented results highlight the toxicological relevance of components present in the commercial formulations of pesticides, which have been claimed as inert compounds. © 2023 Elsevier B.V."
Saha S.; Banerjee P.; Saha N.C.; Chukwuka A.V.,"Triazophos-induced Respiratory and Behavioral Effects and Development of Adverse Outcome Pathway (AOP) for short-term Exposed Freshwater Snail, Bellamya Bengalensis",2023,Bulletin of Environmental Contamination and Toxicology,110,,,10.1007/s00128-023-03734-4,"The physiological effects of triazophos were examined using respiratory and behavioral endpoints in Bellamya bengalensis under a 96-hour acute exposure regime. Physiological manifestation of respiratory stress was measured using the rate of oxygen consumption while behavioral toxicity was measured using crawling reflexes, touch response, and mucus production. The threshold effect values for LOEC (Lowest Observed Effect Concentration), NOEC (No Observed Effect Concentration), and MATC (Maximum Acceptable Toxicant Concentration) at 96 h were 0.40, 0.60, and 0.075 mg/l, respectively. Definitive 96 h acute exposures for both respiratory and behavioral endpoints tests were determined using a control group and concentrations ranging from 0.40 to 1.60 mg/l monitored for 24, 48, 72, and 96 h. Test organisms irrespective of exposure concentration demonstrated an initial rise in oxygen consumption rate after 24 h, followed by a progressive decrease in toxicant concentration and exposure period. The in silico structural analysis presents triazophos as having an electrophilic toxic structure similar to choline esterase inhibitors, and also capable of inducing oxidative stress. The AOP highlighted neurotoxicity and oxidative stress as plausible pathways of triazophos toxicity in mollusk species. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
Malka E.; Margel S.,Engineering of PVA/PVP Hydrogels for Agricultural Applications,2023,Gels,9,,,10.3390/gels9110895,"Hydrogels have gained significant popularity in agricultural applications in terms of minimizing waste and mitigating the negative environmental impact of agrochemicals. This review specifically examines the utilization of environmentally friendly, shapable hydrogels composed of polyvinyl alcohol (PVA) and polyvinylpyrrolidone (PVP) in various casings for crop protection against different pests, fertilizing, and watering. To activate their effectiveness, PVA/PVP hydrogels were loaded with both hydrophilic and hydrophobic environmentally friendly pesticides, namely hydrogen peroxide (HP), the essential oil thymol, and urea as a fertilizer, either separately or in combination. This review covers various physical and chemical approaches used for loading, shaping, and controlling the release profiles of pesticides and fertilizers. Additionally, it explores the evaluation of the chemical composition, structure, classification, rheology, and morphology of the hydrogels as well as their impact on the thermal stability of the encapsulated pesticides and fertilizer, followed by biological tests. These hydrogels significantly contribute to the stabilization and controlled release of essential nutrients and biocides for plants, while maintaining excellent biocidal and fertilizing properties as well as sustainability characteristics. By shedding light on the latest insights into the concepts, applications, and results of these hydrogels, this review demonstrates their immense potential for widespread future use in agriculture. © 2023 by the authors."
Eghbalinejad M.; López-Cabeza R.; Kotouček J.; Grillo R.; Koutný M.; Bílková Z.; Hofman J.,Effects of three tebuconazole nanopesticides on the survival of Daphnia magna,2024,Environmental Science: Nano,11,1044,1059,10.1039/d3en00673e,"The growing pressure to reduce excessive pesticide use has led to exploring novel formulation methods, including nanoparticle carriers for active substances. However, these emerging nanopesticides need a thorough evaluation compared to current formulations to determine whether their “nano” properties intensify toxicity for non-target organisms. This study assessed the lethal toxicity of three nanopesticides on Daphnia magna. The nanopesticides tested were tebuconazole loaded onto poly-ϵ-caprolactone, nanostructured lipid carriers, and poly(3-hydroxybutyrate) nanoparticles. Additionally, the study evaluated the toxicity of nanocarriers without loaded tebuconazole, a commercial tebuconazole formulation, and tebuconazole (pure). Effects were studied across a series of dilutions to examine the impacts on tebuconazole chemistry (total and free concentrations) and particle physics (size, heterogeneity, and density). D. magna exhibited varied responses to polymeric and lipid nanoformulations of tebuconazole and unloaded nanocarriers. The observed toxicity levels, from highest to lowest, were as follows: pure tebuconazole > tebuconazole-loaded on nanostructured lipid carriers > commercial tebuconazole > tebuconazole-loaded on poly(3-hydroxybutyrate) nanoparticles > tebuconazole-loaded on poly-ϵ-caprolactone. The mechanisms underlying the observed toxicity can generally be attributed to chemical factors (tebuconazole's free concentration and particle composition) and physical aspects (particle size and concentration). The study also revealed that dilution series can influence particle size and homogeneity, affecting the loaded substance's chemistry. This implies that the toxicity testing of nanopesticides is complex and not as straightforward as traditional dose-response modeling. Research like this is crucial to understanding the ecological impacts of nanopesticides, ensuring that new nanoformulations are beneficial rather than detrimental for plant protection. © 2024 The Royal Society of Chemistry"
Campani T.; Casini S.; Maccantelli A.; Tosoni F.; D’Agostino A.; Caliani I.,Oxidative stress and DNA alteration on the earthworm Eisenia fetida exposed to four commercial pesticides,2024,Environmental Science and Pollution Research,31,35969,35978,10.1007/s11356-024-33511-7,"Modern agriculture is mainly based on the use of pesticides to protect crops but their efficiency is very low, in fact, most of them reach water or soil ecosystems causing pollution and health hazards to non-target organisms. Fungicide triazoles and strobilurins based are the most widely used and require a specific effort to investigate toxicological effects on non-target species. This study evaluates the toxic effects of four commercial fungicides Prosaro® (tebuconazole and prothioconazole), Amistar®Xtra (azoxystrobin and cyproconazole), Mirador® (azoxystrobin) and Icarus® (Tebuconazole) on Eisenia fetida using several biomarkers: lipid peroxidation (LPO), catalase activity (CAT), glutathione S-transferase (GST), total glutathione (GSHt), DNA fragmentation (comet assay) and lysozyme activity tested for the first time in E. fetida. The exposure to Mirador® and AmistarXtra® caused an imbalance of ROS species, leading to the inhibition of the immune system. AmistarXtra® and Prosaro®, composed of two active ingredients, induced significant DNA alteration, indicating genotoxic effects. This study broadened our knowledge of the effects of pesticide product formulations on earthworms and showed the need for improvement in the evaluation of toxicological risk deriving from the changing of physicochemical and toxicological properties that occur when a commercial formulation contains more than one active ingredient and several unknown co-formulants. © The Author(s) 2024."
Ashu F.A.; Fouet C.; Ambadiang M.M.; Penlap-Beng V.; Kamdem C.,Vegetable oil-based surfactants are adjuvants that enhance the efficacy of neonicotinoid insecticides and can bias susceptibility testing in adult mosquitoes,2023,PLoS Neglected Tropical Diseases,17,,,10.1371/journal.pntd.0011737,"Background The standard operating procedure for testing the susceptibility of adult mosquitoes to neoni-cotinoid or butenolide insecticides recommends using a vegetable oil ester (Mero) as a sur-factant. However, there is growing evidence that this adjuvant contains surfactants that can enhance insecticide activity, mask resistance and bias the bioassay. Methodology/Principal findings Using standard bioassays, we tested the effects of commercial formulations of vegetable oil-based surfactants similar to Mero on the activity of a spectrum of active ingredients including four neonicotinoids (acetamiprid, clothianidin, imidacloprid and thiamethoxam) and two pyrethroids (permethrin and deltamethrin). We found that three different brands of linseed oil soap used as cleaning products drastically enhanced neonicotinoid activity in Anopheles mosquitoes. At 1% (v/v), the surfactant reduced the median lethal concentration, LC50, of clothianidin more than 10-fold both in susceptible and in resistant populations of Anopheles gambiae. At 1% or 0.5% (v/v), linseed oil soap restored the susceptibility of adult mosquitoes fully to clothianidin, thiamethoxam and imidacloprid and partially to acetamiprid. By contrast, adding soap to the active ingredient did not significantly affect the level of resistance to permethrin or deltamethrin suggesting that vegetable oil-based surfactants specifi-cally enhance the potency of some classes of insecticides. Conclusions/Significance Our findings indicate that surfactants are not inert ingredients, and their use in susceptibility testing may jeopardize the ability to detect resistance. Further research is needed to evalu-ate the potential, the limitations and the challenges of using some surfactants as adjuvants to enhance the potency of some chemicals applied in mosquito control. © 2023 Ashu et al."
Battisti L.; Potrich M.; Lozano E.R.; dos Reis Martinez C.B.; Sofia S.H.,Review on the sublethal effects of pure and formulated glyphosate on bees: Emphasis on social bees,2023,Journal of Applied Entomology,147,1,18,10.1111/jen.13089,"Bees are declining worldwide, and the use of pesticides has been linked to this problem. Studies show that even herbicides can negatively impact bees, causing death or compromising health. As a result, concern about the use of glyphosate (GLY) has increased, as it is the most sold pesticide. Studies have shown that exposure of bees to GLY can trigger sublethal effects. Considering the speed with which information is published, reviews become important for the integration of knowledge, aiding understanding of the topic. Therefore, the present study aimed to review the literature on the sublethal effects of GLY and the different commercial formulations on bees. After the literary review, it was observed that the exposition, acute and chronic, of larvae and adults of social and solitary bees, to GLY and its formulations, can trigger alterations in gene expression, enzyme functioning, oxidative metabolism, cell/tissue structure, intestinal microbiota diversity, learning, food consumption, flight and vertical displacement capacity, circadian cycle and body development of these insects. The most used species in the studies was Apis mellifera L. Studies are still necessary to understand the sublethal effects of GLY on bees, in the medium and long term, on colony homeostasis, especially about the information on the toxicity of some surfactants present in the different commercial formulations. © 2022 Wiley-VCH GmbH."
da Silva A.P.; Poquioma Hernández H.V.; Comelli C.L.; Guillén Portugal M.A.; Moreira Delavy F.; de Souza T.L.; de Oliveira E.C.; de Oliveira-Ribeiro C.A.; Silva de Assis H.C.; de Castilhos Ghisi N.,"Meta-analytical review of antioxidant mechanisms responses in animals exposed to herbicide 2,4-D herbicide",2024,Science of the Total Environment,924,,,10.1016/j.scitotenv.2024.171680,"The 2,4-Dichlorophenoxyacetic acid (2,4-D) is a low-cost herbicide to eradicate broadleaf weeds. Since the development of 2,4-D resistant transgenic crops, it has been described as one of the most widely distributed pollutants in the world, increasing concern about its environmental impacts. This study aimed to elucidate the antioxidant system response in animals exposed to 2,4-D by different routes of exposure. It focused on determining if tissue, phylogenetic group, and herbicide formulation would influence the antioxidant mechanisms. A careful literature search of Scopus, WoS, and Science Direct retrieved 6983, 24,098, and 20,616 articles, respectively. The dataset comprised 390 control-treatment comparisons and included three routes of exposure: transgenerational, oral, and topical. The data set for transgenerational and oral exposure revealed oxidative stress through a decrease in enzymatic activities and the level of molecules of the antioxidant system. In contrast, topical exposure increased the oxidative stress. Tissue-specific analyses revealed that the transgenerational effects reduced hepatic catalase (CAT) activity. Oral exposure caused a variety of effects, including increased CAT activity in the prostate and decreased activity in various tissues. Mammals predominate in the transgenerational and oral groups, showing a significantly reduced activity of the antioxidant system. In contrast, in the topical exposure, an increased activity of oxidative stress biomarkers was observed in fish, earthworms, and mollusks. The effects of the 2,4-D formulation on oxidative stress responses showed significant differences between pure and commercial formulations, with oral exposure resulting in decreased activity and topical exposure increasing responses. In summary, orally exposed animals exhibited a clear decrease in enzyme activities, transgenerational exposure elicited tissue-specific prompted biochemical reductions, and topical exposure induced increased responses, emphasizing the need for unbiased exploration of the effects of 2,4-D on biomarkers of oxidative stress while addressing publication bias in oral and topical datasets. © 2024 Elsevier B.V."
Nechalioti P.-M.; Karampatzakis T.; Mesnage R.; Antoniou M.N.; Ibragim M.; Tsatsakis A.; Docea A.O.; Nepka C.; Kouretas D.,"Evaluation of perinatal exposure of glyphosate and its mixture with 2,4-D and dicamba οn liver redox status in Wistar rats",2023,Environmental Research,228,,,10.1016/j.envres.2023.115906,"Wide-scale emergence of glyphosate-resistant weeds has led to an increase in the simultaneous application of herbicide mixtures exacerbated by the introduction of crops tolerant to glyphosate plus dicamba or glyphosate plus 2,4-D. This raises serious concerns regarding the environmental and health risks resulting from increased exposure to a mixture of herbicide active ingredients. We evaluated hepatotoxic effects following perinatal exposure to glyphosate alone or in combination with 2,4-D and dicamba from gestational day-6 until adulthood in Wistar rats. Animals were administered with glyphosate at the European Union (EU) acceptable daily intake (ADI; 0.5 mg/kg bw/day) and no-observed-adverse-effect level (NOAEL; 50 mg/kg bw/day). A mixture of glyphosate with 2,4-D (0.3 mg/kg bw/day) and dicamba (0.02 mg/kg bw/day) with each at their EU ADI was evaluated. Redox status was determined by measuring levels of reduced glutathione, decomposition rate of Η2Ο2, glutathione reductase, glutathione peroxidase, total antioxidant capacity, thiobarbituric reactive substances, and protein carbonyls. Gene expression analysis of Nr1d1, Nr1d2, Clec2g, Ier3, and Gadd45g associated with oxidative damage to DNA, was also performed. Analysis of liver samples showed that exposure to the mixture of the three herbicides induced a marked increase in the concentration of glutathione and malondialdehyde indicative of a disturbance in redox balance. Nevertheless, the effect of increased lipid peroxidation was not discernible following a 3-month recuperation period where animals were withdrawn from pesticide exposure post-weaning. Interestingly, toxic effects caused by prenatal exposure to the glyphosate NOAEL were present after the same 3-month recovery period. No statistically significant changes in the expression of genes linked with genotoxicity were observed. Our findings reinforce the importance of assessing the combined effects of chemical pollutants at doses that are asserted by regulatory agencies to be safe individually. © 2023"
