STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,YEAR,ABSTRACT
coxcited1,Guy,NO,"Santiago, Magda Regina; Salvo, Ligia Maria; Badaro-Pedroso, Cintia; Costa, Elaine Maria Frade",Single and mixed exposure to distinct groups of pesticides suggests endocrine disrupting properties of imidacloprid in zebrafish embryos,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,NA,,,10.1080/03601234.2023.2184158,2023,"Due to their selective toxicity to insects, nicotinoid compounds have been widely used to control pests in crops and livestock around the world. However, despite the advantages presented, much has been discussed about their harmful effects on exposed organisms, either directly or indirectly, with regards to endocrine disruption. This study aimed to evaluate the lethal and sublethal effects of imidacloprid (IMD) and abamectin (ABA) formulations, separately and combined, on zebrafish (Danio rerio) embryos at different developmental stages. For this, Fish Embryo Toxicity (FET) tests were carried out, exposing two hours post-fertilization (hpf) zebrafish to 96 hours of treatments with five different concentrations of abamectin (0.5-11.7 mg L-1), imidacloprid (0.0001-1.0 mg L-1), and imidacloprid/abamectin mixtures (LC50/2 - LC50/1000). The results showed that IMD and ABA caused toxic effects in zebrafish embryos. Significant effects were observed regarding egg coagulation, pericardial edema, and lack of larvae hatching. However, unlike ABA, the IMD dose-response curve for mortality had a bell curve display, where medium doses caused more mortality than higher and lower doses. These data demonstrate the toxic influence of sublethal IMD and ABA concentrations on zebrafish, suggesting that these compounds should be listed for river and reservoir water-quality monitoring."
coxcited2,Guy,NO,"Simonsen, Derek; Heffelfinger, Jacob; Cwiertny, David M.; Lehmler, Hans-Joachim",Benoxacor is enantioselectively metabolized by microsomes and cytosol from the human liver,EMERGING CONTAMINANTS,9,,,10.1016/j.emcon.2022.100198,2023,"Benoxacor is a safener added to current-use herbicide formulations to protect the target crop from herbicidal toxicity. It is an emerging environmental contaminant that has been detected in surface waters, raising the possibility of human exposure via drinking water. Because it is not subject to the same regulations as active pesticide ingredients, its metabolism and toxicity in humans have not been studied. Here we investigate the enantioselective metabolism of benoxacor in human subcellular fractions. Pooled human liver microsomes (pHLM) and cytosol (pHLC) were incubated with racemic benoxacor for up to 30-min. Gas chromatographic analyses were used to measure the enantioselective depletion of benoxacor. pHLMs with and without nicotinamide adenine dinucleotide phosphate (NADPH, co-factor for cytochrome P450 enzymes [CYPs]) and pHLC with glutathione (GSH, co-factor for glutathione Stransferases [GSTs]) metabolized benoxacor. These results demonstrate that microsomal CYPs, microsomal carboxylesterase (CESs), and cytosolic GSTs metabolize benoxacor. Females were predicted to have a higher clearance of benoxacor by GSTs than males. Male and female pHLM incubations with NADPH showed enrichment of the first eluting benoxacor enantiomer (E1-benoxacor). pHLM incubations without NADPH and pHLC incubations with GSH showed an enrichment of the second eluting enantiomer of benoxacor (E2-benoxacor). Our results indicate that human hepatic microsomal and cytosolic enzymes enantioselectively metabolize benoxacor, a fact that needs to be considered when investigating human exposures and toxicities of benoxacor. (c) 2022 The Authors. Publishing services by Elsevier B.V. on behalf of KeAi Communications Co. Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/"
coxcited3,Guy,YES,"Lackmann, Carina; Simic, Antonio; Ecimovic, Sandra; Mikuska, Alma; Seiler, Thomas-Benjamin; Hollert, Henner; Velki, Mirna",Subcellular Responses and Avoidance Behavior in Earthworm Eisenia andrei Exposed to Pesticides in the Artificial Soil,AGRICULTURE-BASEL,13,,,10.3390/agriculture13020271,2023,"Earthworms are key organisms of the soil ecosystem and bioindicators for soil quality. While pesticides are used for the improvement of crop yields, they also present a burden for soil organisms. To understand the complex effects of pesticides on soil organisms, it is important to test these effects in soil exposures to include influences of the soil matrix on the toxicity. Therefore, the aim of this study was the assessment of the effects pesticides on earthworm Eisenia andrei. In an initial screening, active ingredients and commercial preparations were tested for comparison. Since the commercial preparations showed a higher toxicity, all further investigations (biomarkers, multixenobiotic resistance (MXR) activity, and avoidance behavior) were performed using the commercial pesticide formulations only: Sumialfa (esfenvalerate), Calypso (thiacloprid), Frontier (dimethenamid-p), and Filon (prosulfocarb). Significant differences in avoidance behavior were observed for Filon and Frontier. All pesticides inhibited the MXR activity and affected oxidative stress-related markers. Frontier was the only pesticide that did not affect enzymatic biomarkers related to neurotransmission. The results show the potential hazards associated with the usage of the tested pesticides and the importance of evaluating the effects of commercial pesticide preparations for a more realistic insight into the adverse effects on the environment."
coxcited4,Guy,NO,"Lin, Fuyong; Mao, Yufei; Zhao, Fan; Idris, Aisha Lawan; Liu, Qingqing; Zou, Shuangli; Guan, Xiong; Huang, Tianpei","Towards Sustainable Green Adjuvants for Microbial Pesticides: Recent Progress, Upcoming Challenges, and Future Perspectives",MICROORGANISMS,11,,,10.3390/microorganisms11020364,2023,"Microbial pesticides can be significantly improved by adjuvants. At present, microbial pesticide formulations are mainly wettable powders and suspension concentrations, which are usually produced with adjuvants such as surfactants, carriers, protective agents, and nutritional adjuvants. Surfactants can improve the tension between liquid pesticides and crop surfaces, resulting in stronger permeability and wettability of the formulations. Carriers are inert components of loaded or diluted pesticides, which can control the release of active components at appropriate times. Protective agents are able to help microorganisms to resist in adverse environments. Nutritional adjuvants are used to provide nutrients for microorganisms in microbial pesticides. Most of the adjuvants used in microbial pesticides still refer to those of chemical pesticides. However, some adjuvants may have harmful effects on non-target organisms and ecological environments. Herein, in order to promote research and improvement of microbial pesticides, the types of microbial pesticide formulations were briefly reviewed, and research progress of adjuvants and their applications in microbial pesticides were highlighted, the challenges and the future perspectives towards sustainable green adjuvants of microbial pesticides were also discussed in this review."
coxcited5,Guy,NO,"Wang, Huachen; Tang, Gang; Zhou, Zhiyuan; Chen, Xi; Liu, Yulu; Yan, Guangyao; Zhang, Xiaohong; Li, Xuan; Huang, Yuqi; Wang, Jialu; Cao, Yongsong",Stable Fluorescent Nanoparticles Based on Co-assembly of Acifluorfen and Poly(salicylic acid) for Enhancing Herbicidal Activity and Reducing Environmental Risks,ACS APPLIED MATERIALS & INTERFACES,NA,,,10.1021/acsami.2c18642,2023,"Herbicides are widely used in modern agricultural production for their advantages of high efficiency, convenience, and speed. However, there have been many problems caused by herbicide formulations, such as volatilization, leaching, and rainwashing loss in the process of agricultural application. Selfassembled nanotechnology is a promising strategy to solve these existing problems due to the environmentally friendly preparation process and high delivery efficiency. In this study, the stable fluorescent nanoparticles (AP NPs) based on co-assembly of acifluorfen (ACI) and poly(salicylic acid) (PSA) are constructed by using non-covalent bond interactions. The results indicate that the obtained nanoparticles with a stable fluorescence characteristic show improved physiochemical properties, such as uniform morphology, good thermal stability, low surface tension, and high retention on plants. The co-assembly can produce singlet oxygen to enhance the herbicidal activity under irradiation of light and reduce the leaching property of ACI to minimize the adverse impact on the aquatic environment. The safety evaluation of soybean seedlings indicates that AP NPs have no damage to non-target plants. In summary, the co-assembled herbicidal nano-formulation composed of ACI and PSA has high bioactivity and low environmental risks, which can be widely used in agricultural production."
coxcited6,Guy,NO,"Tu, Le Hoang; Grieneisen, Michael L.; Wang, Ruoyu; Watanabe, Hirozumi; Zhang, Minghua",Assessment of agricultural pesticide inert ingredient transport following modeling approach: Case study of two formulation agents in Sacramento River watershed,JOURNAL OF ENVIRONMENTAL MANAGEMENT,330,,,10.1016/j.jenvman.2022.117123,2023,"This research provides the first assessment of the environmental fate and transport of agricultural pesticide formulation agents following a dynamic modeling approach. Two formulation agents of toxicological concern, Naphthalene and Solvent Naphtha (Petroleum), Heavy Aromatic, were simulated from their usage in commercially-applied pesticides. The Soil and Water Assessment Tool (SWAT) was applied to simulate these formulation agents during 2011-2014 in the agriculturally intensive Sacramento River watershed. The sensitivity and uncertainty of some key parameters were analyzed. The predicted transport masses of these formulation agents in surface water were strongly associated with rainfall. While predicted transport masses were quite small at the watershed scale (<0.01% of applied masses), they were 26-31 times higher in certain locales at the subbasin level. Since many formulation agents are widely used in pesticides throughout this and other agri-culturally impacted watersheds, their potential risks in the environment need more thorough investigation by modeling and monitoring, especially for areas with heavy usage."
coxcited7,Guy,NO,"Paunescu, Alina; Ponepal, Cristina Maria; Tofan, Lucica; Brinzea, Gheorghita; Tantu, Monica Marilena; Mihaescu, Cristina Florina; Draghiceanu, Oana Alexandra; Popoviciu, Dan Razvan; Fagaras, Marius Mirodon; Vasile, Daniela; Soare, Liliana Cristina",Ecotoxicological Risk Assessment of Actellic 50 EC Insecticide on Non-Target Organisms in Parallel with the Application of Standardized Tests,TOXICS,10,,,10.3390/toxics10120745,2022,"This paper contributes to the ecotoxicological risk assessment of the Actellic 50 EC insecticide (with 50% pirimiphos-methyl as the active substance) tested on non-target organisms. The insecticide concentrations tested were the same for all organisms (0.1, 0.01, and 0.001 mg L-1 of Actellic 50 EC), with an exposure of 3-5-21 days for plants and 4-5-14 days for animals. The non-target organisms tested were both plants (wheat and two ferns) and animals (the Prussian carp and marsh frog tadpoles). The tested insecticide significantly inhibited the growth of roots in wheat, a result that was also confirmed by a microbiotest application (62% root growth inhibition in sorghum and 100% germination inhibition in white mustard and garden cress). In ferns, even for the lowest concentration, the percentage of germinated spores was inhibited by 40% for Asplenium scolopendrium. The recorded toxicological effects of Actellic 50 EC upon the Prussian carp included a decrease in the respiratory rate and oxygen consumption, an increase in the number of erythrocytes and leukocytes, and an increase in blood glucose levels. The highest concentration (0.1 mg L-1 of Actellic 50 EC) caused a 50% decrease in the survival rate of marsh frog tadpoles after 5 days of exposure, negatively affecting body volume and length. Given the high degree of toxicity of the insecticide Actellic 50 EC, we recommend continuing investigations on non-target species, including both plants and animals, as the sub-chronic effects are quite little known in the scientific literature."
coxcited8,Guy,NO,"Laura Carbajal-Hernandez, Ana; Alberto Arzate-Cardenas, Mario; Carlos Valerio-Garcia, Roberto; Martinez-Jeronimo, Fernando",Commercial pesticides for urban applications induced population growth and sub-cellular alterations in Raphidocelis subcapitata (Chlorophyceae) at concerning environmental concentrations,ECOTOXICOLOGY,31,1462,1476,10.1007/s10646-022-02596-6,2022,"Information regarding the safety and environmental risks of pesticides intended for urban use remains limited. This study aimed to assess the effects of four common pesticides on the microalga Raphidocelis subcapitata: DIAZINON (R) 25% C. E., Roundup (R), URBACIN (R) 20C. E., and VAPODEL (R) 20% C. E., which are commercial formulations of diazinon, glyphosate, dichlorvos, and cypermethrin, respectively. According to 96-h inhibition of population growth bioassays, the four pesticide toxicities exemplified the following order: DIAZINON (R) (diazinon) > Roundup (R) (glyphosate) > VAPODEL (R) (dichlorvos) > URBACIN (R) (cypermethrin). Increasing pesticide concentrations elicited alterations in the specific growth rates (mu max). The macromolecule contents and photosynthetic pigments increased in groups exposed to the highest concentrations of DIAZINON (R) 25%, Roundup (R), and URBACIN (R) 20 compared to the control group, despite these treatments inducing lower population growth rates. VAPODEL (R) 20% induced higher growth rates and lower macromolecule content compared to the control. Since active ingredients were not quantified, certain comparisons may prove limiting, but it is important to assess the effects of the whole mixtures in the form that they enter the environment, especially for urban-intended applications or generic formulations with higher additive contents. Finally, this study demonstrated that commercial pesticide formulations designed for urban applications might pose a threat to freshwater microalgae due to their underestimated toxic potential, but further studies are required."
coxcited9,Guy,NO,"Magna, Emmanuel Kaboja; Koranteng, Samuel Senyo; Donkor, Augustine; Gordon, Christopher",Levels of Persistent Organochlorine Compounds in Nile Tilapia (Oreochromis niloticus) from Three Cage Aquaculture Farms on the Volta Basin of Ghana: Implications for Human Health,ENVIRONMENTAL PROCESSES-AN INTERNATIONAL JOURNAL,9,,,10.1007/s40710-022-00600-z,2022,"Increased agrochemical-based agricultural activities along the Volta basin and cage aquaculture practices from the cage farms have raised concerns about the potential ecological risk to the aquatic ecosystem. To assess this, caged tilapia samples were analysed for polychlorinated biphenyls (PCBs) and organochlorine pesticides (OCP). Fish samples in acetone/hexane (2:1v/v) solvent medium were sonicated in an ultrasonic bath, shaken electronically, cleaned by solid-phase extraction, and analysed using GC/ECD for OCPs and GC/MS for PCBs. The levels of OCPs reported in the fish ranged; ND - 2.31 mu g/kg (fish farm A), <LOD - 4.3 mu g/kg (fish farm B), <LOD - 6.11 mu g/kg (fish farm C) and ND - 0.88 mu g/kg (control). The highest concentration of 6.11 mu g/kg was encountered for delta-HCH in tilapia from fish farm C, while p,p'-DDE recorded the lowest in fish from Farm A. The levels of the OCPs detected in cage tilapia were below the maximum residue limits (MRL) proposed by the EU. Six PCBs congeners, i.e., PCB 18, PCB 28, PCB 52, PCB 101, PCB153 and PCB 180 were detected and concentrations ranged from 0.288 to 0.931 mu g/kg dw, 0.042-1.321 mu g/kg dw, 0.260-10.657 mu g/kg dw, and ND - 0.298 mu g/kg dw in fish Farms A, B, C and control, respectively. Risk assessment of POPs indicated that n-ary sumation PCBs in Farm C fish may pose health risk to consumers. Further analysis revealed that Farms B and C fish polluted with endrin may pose cancer risk to children consumers. Frequent monitoring of PCBs, OCPs and other contaminants is needed to mitigate the impacts on human health."
coxcited10,Guy,NO,"Bruce, Analena B.; Borlu, Yetkin; Glenna, Leland L.",Assessing the scientific support for U.S. EPA pesticide regulatory policy governing active and inert ingredients,JOURNAL OF ENVIRONMENTAL STUDIES AND SCIENCES,13,1,13,10.1007/s13412-022-00788-4,2023,"US Environmental Protection Agency (EPA) pesticide regulatory policy only requires environmental impact and safety testing and labeling of the active ingredients of pesticide products, rather than the end use formula. This policy is thought to partially explain the conflicting outcomes of the International Agency for Research on Cancer (IARC) and EPA assessments on glyphosate, and there is substantial scientific evidence that this approach has led to an underestimation of risk. In this paper, we present a review of EPA pesticide policy governing the regulation of active and other ingredients and findings from a survey of US agricultural scientists focused on their views of this EPA policy. The survey findings indicate that the scientists we surveyed support a more comprehensive approach to the regulation of pesticide products, including both active and inert ingredients, as well as the end use product, to test for combined effects. They also support the disclosure and labeling of inert ingredients to support independent testing of these chemicals. The results also indicate that university scientists oriented towards public science are more likely to support regulation than university scientists oriented towards private science. Overall, despite substantial evidence that the combination of all ingredients in pesticide products may be more toxic than the active ingredients alone, the current regulatory approach does not provide a pathway for the agency to respond to this science. In this sense, the scientific support for the agency's current regulatory approach is unclear."
