STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
coxref1,Guy,YES,"Zeljezic, D; Garaj-Vrhovac, V; Perkovic, P",Evaluation of DNA damage induced by atrazine and atrazine-based herbicide in human lymphocytes in vitro using a comet and DNA diffusion assay,TOXICOLOGY IN VITRO,"Atrazine is one of the most widely used herbicides in the world. When applied, it is not used as a pure active ingredient but in the form of commercial formulations. Besides atrazine, these formulations contain other substances that might represent a risk to human health due to their mutual interactions. We evaluated the genotoxicity, apoptosis and necrosis induction of atrazine as an active ingredient, the commercial formulation Gesaprim (R), and a Gesaprim (R) adjuvant mixture without atrazine by comet and DNA diffusion assay, respectively. Human lymphocytes were treated for 0.5, 1, 3, 5, and 8 It with 0.047 mu g/ml, 0.47 mu g/ml, 4.7 mu g/ml of substances tested both in the presence and in the absence of an exogenous metabolic activator. Atrazine did not appear to be genotoxic or to be capable of inducing apoptosis or necrosis. Unlike atrazine, Gesaprime (R) and the adjuvant mixture increased DNA damage in lymphocytes. After 5 h of treatment, it also increased the number of apoptotic cells. Metabolic activation additionally enhanced the DNA-damaging potential of Gesaprim (R) and the adjuvant mixture but did not affect atrazine genotoxicity. Thus, both assay endpoints differed significantly for the active ingredient and formulation. To evaluate the potential health risk of simultaneous exposure to adjuvants and an active ingredient, further efforts using a biomonitoring approach should be made. (c) 2006 Elsevier Ltd. All rights reserved.",2006,20,923,935,10.1016/j.tiv.2006.01.017
coxref2,Guy,YES,"Garcia-Ortega, S; Holliman, PJ; Jones, DL",Toxicology and fate of Pestanal (R) and commercial propetamphos formulations in river and estuarine sediment,SCIENCE OF THE TOTAL ENVIRONMENT,"To quantify the impact of organophosphate pesticides on aquatic ecosystems requires a mechanistic understanding of their behaviour in a range of environmental matrices. The objective of this study was to compare the sorption/desorption, biodegradation and toxic effects of the Pestanal (R) grade and commercial formulation (Ectomort Centenary) of the organophosphate insecticide propetamphos in river and estuarine sediments. For both formulations, the sorption of propetamphos onto sediment was initially very rapid followed by a slower sorption phase. Similarly, the initial rate of desorption was rapid, followed by a much slower rate. In both sorption and desorption experiments, the level of sorbed propetamphos was considerably higher for the commercial formulation of propetamphos (K-d = 7-11) than for the Pestanal (R) grade (K-d = 4-10). The rate of propetamphos biodegradation was sediment dependent but was most rapid where microbial activity and nutrients were the highest and sorption was the lowest. Propetamphos was more rapidly degraded in sediments under aerobic (t(1/2)=15 d) compared to anaerobic conditions (t(1/2) = 19 d). However, no significant difference in the biodegradation rates of the Pestanal (R) grade and commercial formulations of propetamphos were observed. The toxic effect of propetamphos on sediment microbial communities was significantly greater for the commercial formulation than for the Pestanal (R) grade of propetamphos based on EC50 (21 versus 236 mu g g(-1)) and EC10 values (0.3 versus 54 mu g g(-1)). In conclusion, our results highlight the importance of using commercial pesticide formulations when carrying out ecotoxicological testing. (c) 2005 Elsevier B.V. All rights reserved.",2006,366,826,836,10.1016/j.scitotenv.2005.08.008
coxref3,Guy,YES,"Tran, V; Hoffman, N; Mofunanya, A; Pryor, SC; Ojugbele, O; McLaughlin, A; Gibson, L; Bonventre, JA; Flynn, K; Weeks, BS",Bifenthrin inhibits neurite outgrowth in differentiating PC12 cells,MEDICAL SCIENCE MONITOR,"Background: Bifenthrin is a third generation member of the synthetic pyrethroid family of insecticides. As a new pesticide within a relatively new class of pesticides, bifenthrin is considered relatively safe. Here, we used the PC12 neuronal cell line to examine the effect of bifenthrin on the formation of neurites and the potential developmental neurotoxicity of this pesticide. Material/Methods: PC12 cells were exposed to varying concentrations of technical grade bifenthrin or Ortho Home Defense (R). Cell viability was determined using the AlmarBlue Toxicity Assay Nontoxic concentrations of these chemicals were concomitantly with nerve growth factor and neurite Outgrowth was assessed. Results: Ortho Home Defense (R) preparation reduced PC12 cell viability by approximately 50% and 70% at dilutions that correlate to bifenthrin concentrations of 10(-5) M and 10(-4) M, respectively. In contrast, technical grade bifenthrin, was not toxic to PC12 cells at 10(-3) M, which was the highest concentration tested that was soluble. At nontoxic concentrations of 10(-7) M and 10(-6) M, the Ortho Home Defense (R) inhibited nerve growth factor-mediated neurite outgrowth by 30% and 55% respectively. Furthermore the nontoxic concentrations of technical grade bifenthrin of 10(-6) M and 10(-3) M inhibited neurite outgrowth by approximately 35% and 75% respectively. Conclusions: These data suggest that the toxicity of the Ortho Home Defense (R) preparation was due to the inert additives in the preparation and not the bifenthrin itself. Further, these data suggest that, even in the absence of overt toxicity, bifenthrin may have deleterious effects to developing nervous system.",2006,12,BR57,BR62,
coxref4,Guy,YES,"Peixoto, F",Comparative effects of the Roundup and glyphosate on mitochondrial oxidative phosphorylation,CHEMOSPHERE,"The potential toxicity of the herbicide Roundup and its fundamental substance (glyphosate) was tested in bioenergetic functions of isolated rat liver mitocbondria. Roundup stimulates succinate-supported respiration twice, with simultaneous collapse of transmembrane electrical potential, while glyphosate used in the same concentrations does not induce any significant effect. Additionally, Roundup depresses state 3 respiration by about 40%, at 15 mM, whereas uncoupled respiration in the presence of FCCP is depressed by about 50%. Depression of uncoupled respiratory activity is mediated through partial inhibition of mitochondrial complexes II and III, but not of complex IV. The phosphorylative system was affected by both a direct and an indirect effect on the F0F1 ATPase activity. The addition of uncoupled concentrations of Roundup to Ca2+-loaded mitochondria treated with Ruthenium Red resulted in non-specific membrane permeabilization, as evidenced by mitochondrial swelling in isosmotic sucrose medium. Therefore, the uncoupling of oxidative phosphorylation is also related to the non-specific membrane permeabilization induced by Roundup. Glyphosate alone does not show any relevant effect on the mitochondrial bioenergetics, in opposition to Roundup formulation products. The differences in the toxicity observed could be either attributed to some products of Roundup or to a synergic effect of glyphosate and formulation products. Bearing in mind that mitochondria is provided with a variety of bioenergetic functions mandatory for the regulation of intracellular aerobic energy production and electrolyte homeostasis, these results question the safety of Roundup on animal health. (c) 2005 Elsevier Ltd. All rights reserved.",2005,61,1115,1122,10.1016/j.chemosphere.2005.03.044
coxref5,Guy,YES,"Richard, S; Moslemi, S; Sipahutar, H; Benachour, N; Seralini, GE",Differential effects of glyphosate and roundup on human placental cells and aromatase,ENVIRONMENTAL HEALTH PERSPECTIVES,"Roundup is a glyphosate-based herbicide used worldwide, including on most genetically modified plants that have been designed to tolerate it. Its residues may thus enter the food chain, and glyphosate is found as a contaminant in rivers. Some agricultural workers using glyphosate have pregnancy problems, but its mechanism of action in mammals is questioned. Here we show that glyphosate is toxic to human placental JEG3 cells within 18 hr with concentrations lower than those found with agricultural use, and this effect increases with concentration and time or in the presence of Roundup adjuvants. Surprisingly, Roundup is always more toxic than its active ingredient. We tested the effects of glyphosate and Roundup at lower nontoxic concentrations on aromatase, the enzyme responsible for estrogen synthesis. The glyphosate-based herbicide disrupts aromatase activity and mRNA levels and interacts with the active site of the purified enzyme, but the effects of glyphosate are facilitated by the Roundup formulation in microsomes or in cell culture. We conclude that endocrine and toxic effects of Roundup, not just glyphosate, can be observed in mammals. We suggest that the presence of Roundup adjuvants enhances glyphosate bioavailability and/or bioaccumulation.",2005,113,716,720,10.1289/ehp.7728
coxref6,Guy,YES,"Howe, CM; Berrill, M; Pauli, BD; Helbing, CC; Werry, K; Veldhoen, N",Toxicity of glyphosate-based pesticides to four North American frog species,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,"Glyphosate-based herbicides are among the most widely used pesticides in the world. We compared the acute toxicity of the glyphosate end-use formulation Roundup Original(R) to four North American amphibian species (Rana clamitans, R. pipiens, R. sylvatica, and Bufo americanus) and the toxicity of glyphosate technical, the polyethoxylated tallowamine surfactant (POEA) commonly used in glyphosate-based herbicides, and five newer glyphosate formulations to R. clamitans. For R. clamitans, acute toxicity values in order of decreasing toxicity were POEA > Roundup Original > Roundup Transor(R) > Glyfos AU(R); no significant acute toxicity was observed with glyphosate technical material or the glyphosate formulations Roundup Biactive(R), Touchdown(R), or Glyfos BIO(R). Comparisons between the four amphibian species showed that the toxicity of Roundup Original varied with species and developmental stage. Rana pipiens tadpoles chronically exposed to environmentally relevant concentrations of POEA or glyphosate formulations containing POEA showed decreased snout-vent length at metamorphosis and increased time to metamorphosis, tail damage, and gonadal abnormalities. These effects may be caused, in some part, by disruption of hormone signaling, because thyroid hormone receptor P mRNA transcript levels were elevated by exposure to formulations containing glyphosate and POEA. Taken together, the data suggest that surfactant composition must be considered in the evaluation of toxicity of glyphosate-based herbicides.",2004,23,1928,1938,10.1897/03-71
coxref7,Guy,YES,"Kudsk, P; Mathiassen, SK",Joint action of amino acid biosynthesis-inhibiting herbicides,WEED RESEARCH,"The joint action of binary mixtures of the amino acid biosynthesis-inhibiting herbicides glyphosate, glufosinate-ammonium, metsulfuron-methyl and imazapyr was assessed in pot experiments applying the Additive Dose Model (ADM). Plants of Sinapis arvensis or S. alba were sprayed with seven doses of the herbicides alone and binary fixed-ratio mixtures of the four herbicides. In total, 73 binary mixtures were studied in six separate experiments. Mixtures of glyphosate and glufosinate-ammonium were less phytotoxic than predicted by ADM whether commercial formulations or technical grade products were applied. In contrast, mixtures of glyphosate and metsulfuron-methyl, glyphosate and imazapyr, glufosinate-ammonium and metsulfuron-methyl, glufosinate-ammonium and imazapyr, and metsulfuron-methyl and imazapyr either followed ADM or were synergistic. Synergism was observed most frequently for mixtures of glyphosate or glufosinate-ammonium with metsulfuron-methyl. Synergism was also more pronounced for commercial formulations of glyphosate and glufosinate-ammonium than for the corresponding technical grade formulations, implying that synergism was caused by the presence of the formulation constituents of the commercial glyphosate and glufosinate-ammonium formulations in the spray solution.",2004,44,313,322,10.1111/j.1365-3180.2004.00405.x
coxref8,Guy,NO,"Arsenault, JTM; Fairchild, WL; MacLatchy, DL; Burtidge, L; Haya, K; Brown, SB",Effects of water-borne 4-nonylphenol and 17 beta-estradiol exposures during parr-smolt transformation on growth and plasma IGF-I of Atlantic salmon (Salmo salar L.),AQUATIC TOXICOLOGY,"4-Nonylphenol (4-NP) is an endocrine disrupting substance (EDS) capable of mimicking the action of 17beta-estradiol (E-2). It has been hypothesized that 4-NP in a pesticide formulation is linked to historical declines in Canadian Atlantic salmon (Salmo salar L.) populations, with effects being related to exposure during parr-smolt transformation (PST). To test this hypothesis, Atlantic salmon smolts were exposed to pulse-doses of water-borne 4-NP (20 ug/l), sustained doses of water-borne E-2(100 ng/l) (positive control), or ethanol vehicle (negative control) in mid-May during the final stages of PST. Individually tagged smolts were then sampled at three times (June, July and October) to monitor subsequent growth in sea water and plasma insulin-like growth factor I (IGF-I) concentrations. Smolt weights and plasma IGF-I concentrations were both affected by E-2 and 4-NP. The effects of E-2 and 4-NP on mean smolt weights were most prominent in July and October {E-2 (*98.1 +/- 2.8, *242.3 +/- 10.6 g), 4-NP (*102.1 +/- 3.1, 255.7 +/- 9.5 g), controls (112.5 +/- 2.8, 282.3 +/- 8.8 g)} (P < 0.05), while their effects on mean plasma IGF-I concentrations were most prominent in June and October {E-2( 15.0 +/- 1.9, 28.4 +/- 1.8 ng/ml), 4-NP (*14.8 +/- 1.9, *21.6 +/- 1.7 ng/ml), controls (20.0 +/- 1.1, 31.1 +/- 2.0 ng/ml)} (P < 0.05). Additionally, results suggest that the mechanisms of action of E-2 and 4-NP involve disruption in the GH/IGF-I axis, and that they may be different from each other. The effects of E2 and 4-NP on growth and plasma IGF-I concentrations observed in this study are ecologically significant because they evoke concerns for successful growth and survival of wild salmon smolts exposed to low levels of estrogenic substances that may occur from current discharges into rivers supporting sea-run salmon stocks. Crown Copyright (C) 2003 Published by Elsevier B.V. All rights reserved.",2004,66,255,265,10.1016/j.aquatox.2003.09.005
coxref9,Guy,NO,"De Rosa, CT; El-Masri, HA; Pohl, H; Cibulas, W; Mumtaz, MM",Implications of chemical mixtures in public health practice,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,"The Agency for Toxic Substances and Disease Registry (ATSDR) is a federal public health agency that investigates and strives to prevent human health problems produced by exposure to toxic chemicals and their mixtures in the environment. Most human exposures involving toxic chemicals or mixtures are thought to originate from environmental and occupational sources; however, concurrent exposures are also likely from other sources, such as prescription and nonprescription drugs, indoor air pollutants, alcohol, and tobacco smoke. Thus, in evaluating the potential hazard following exposure to environmental mixtures, ATSDR not only considers the inherent joint toxicity of the mixture but also the influence of environmental, demographic, occupational, and lifestyle factors. To foster these goals, ATSDR has pursued a Mixtures Research and Assessment Program that consists of three component efforts: trend analysis, joint toxicity assessment, and experimental testing. Through trend analysis, ATSDR sets priorities for environmental mixtures of concern for which joint toxicity assessments are conducted as needed. If data are not available to conduct appropriate assessments, a research agenda is pursued through established extramural mechanisms. Ultimately, the data generated are used to support ATSDR's work at sites involving exposure to chemical mixtures. This pragmatic approach allows testable hypotheses or research needs to be identified and resolved and enhances our understanding of the mechanisms of joint toxicity. Several collaborative and cooperative efforts with national and international organizations such as the Toxicology and Nutrition Office, the Netherlands, and the Department of Energy are being pursued as part of these activities. ATSDR also develops guidance manuals to consistently and accurately apply current methodologies for the joint toxicity assessment of chemicals. Further, expert panels often are assembled to resolve outstanding scientific issues or obtain expert advice on pertinent issues. Recently, the need for studies on chemical mixtures has been proposed as one of the six priority areas the agency identified in its agenda for public health environmental research. This has been reinforced through the agency's close work with communities whose leaders have spoken passionately about their concern for information on exposures to chemical mixtures. The five other priority research areas the agency identified are exposure, susceptible populations, communities and tribal involvement, evaluation/surveillance of health effects, and health promotion/prevention.",2004,7,339,350,10.1080/10937400490498075
coxref10,Guy,NO,"Eggen, RIL; Segner, H",The potential of mechanism-based bioanalytical tools in ecotoxicological exposure and effect assessment,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,"The current challenge to ecotoxicology is to develop tools that allow rapid and cost-efficient detection of those environmental chemicals or their combinations that are responsible for sublethal, chronic toxic effects in exposed organisms. Bioanalytical tools may meet these challenges, particularly if they are mechanism-based. Technically, bioanalytical tools allow rapid and cost-efficient analysis of environmental matrices. Mechanism-based, bioanalytical tools, however, do not only indicate that certain chemicals are there, but-and this is the major advantage of mechanism-based bioanalytical tools (MBBTs)-they indicate that chemicals with a specific mode of toxic action or a specific toxic potential are there. In this way MBBTs bridge exposure and effect assessment and help in a faster identification of the causative agent(s). Several principles of MBBTs, including immunoassays, enzyme inhibition assays, receptor assays and gene induction assays are briefly discussed and their application in processes such as bioassay-directed fractionation is illustrated. The focus of this manuscript is the analytical power of MBBTs in exposure and effect assessment. MBBTs have, however, a much broader potential and can support research on other challenges in ecotoxicology such as mixture effects or multiple effects caused by single pollutants or by various stresses simultaneously.",2003,377,386,396,10.1007/s00216-003-2059-y
