STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,YEAR,ABSTRACT
nagycited1,Guy,NO,"Han, Rui; Wang, Zixuan; Zhuansun, Xiangxun; Gao, Yuan; Li, Yao; Liu, Qi","Preparation of tea tree oil nanoemulsion: Characterisation, antibacterial mechanism and evaluation of apoptosis",FLAVOUR AND FRAGRANCE JOURNAL,NA,NA,NA,10.1002/ffj.3731,2023,"Tea tree oil (TTO) is a natural plant essential oil that has strong bactericidal properties and low toxicity. However, owing to its irritability, volatility, instability under light/oxygen and hydrophobicity, the application of TTO in pharmaceutical production technology and the food industry is limited. To overcome these problems, TTO nanoemulsions (TTONs) were prepared using a high-speed shearing method. The mean droplets size of TTON was measured. TTON droplets were observed using confocal laser scanning microscopy and analysed using a Turbiscan scanning spectrum. The most suitable nanoemulsion formula was obtained as follows: TTO content, 10% (w/w); Tw-40 content, 8% (w/w); deionised water content, 82% (w/w); shearing time, 5 minutes. The antibacterial effect of TTON was studied, and it was found that its antibacterial activity against Escherichia coli was more potent than that against Staphylococcus aureus. The antibacterial mechanism of TTON was also investigated by observing bacterial morphology using scanning electron microscopy and testing the levels of bacterial reactive oxygen species. The effect of TTON on L-02 cells was evaluated. The results showed that the cell survival rates of L-02 cells treated with TTON at 0.05-0.25 mu g/mu L were all >90%. At each concentration, the total apoptosis rate of L-02 cells was <10%. These results indicated the high biocompatibility and biological safety of TTON. Therefore, the preparation of TTO into a nanoemulsion can improve its bioavailability, which has positive implications for further applications of TTO."
nagycited2,Guy,YES,"Lackmann, Carina; Simic, Antonio; Ecimovic, Sandra; Mikuska, Alma; Seiler, Thomas-Benjamin; Hollert, Henner; Velki, Mirna",Subcellular Responses and Avoidance Behavior in Earthworm Eisenia andrei Exposed to Pesticides in the Artificial Soil,AGRICULTURE-BASEL,13,NA,NA,10.3390/agriculture13020271,2023,"Earthworms are key organisms of the soil ecosystem and bioindicators for soil quality. While pesticides are used for the improvement of crop yields, they also present a burden for soil organisms. To understand the complex effects of pesticides on soil organisms, it is important to test these effects in soil exposures to include influences of the soil matrix on the toxicity. Therefore, the aim of this study was the assessment of the effects pesticides on earthworm Eisenia andrei. In an initial screening, active ingredients and commercial preparations were tested for comparison. Since the commercial preparations showed a higher toxicity, all further investigations (biomarkers, multixenobiotic resistance (MXR) activity, and avoidance behavior) were performed using the commercial pesticide formulations only: Sumialfa (esfenvalerate), Calypso (thiacloprid), Frontier (dimethenamid-p), and Filon (prosulfocarb). Significant differences in avoidance behavior were observed for Filon and Frontier. All pesticides inhibited the MXR activity and affected oxidative stress-related markers. Frontier was the only pesticide that did not affect enzymatic biomarkers related to neurotransmission. The results show the potential hazards associated with the usage of the tested pesticides and the importance of evaluating the effects of commercial pesticide preparations for a more realistic insight into the adverse effects on the environment."
nagycited3,Guy,YES,"Esimbekova, Elena N.; Kalyabina, Valeriya P.; Kopylova, Kseniya V.; Lonshakova-Mukina, Victoria I.; Antashkevich, Anna A.; Torgashina, Irina G.; Lukyanenko, Kirill A.; Nemtseva, Elena V.; Kratasyuk, Valentina A.",Enzyme Inhibition-Based Assay to Estimate the Contribution of Formulants to the Effect of Commercial Pesticide Formulations,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,24,NA,NA,10.3390/ijms24032268,2023,"Pesticides can affect the health of individual organisms and the function of the entire ecosystem. Therefore, thorough assessment of the risks associated with the use of pesticides is a high-priority task. An enzyme inhibition-based assay is used in this study as a convenient and quick tool to study the effects of pesticides at the molecular level. The contribution of formulants to toxicological properties of the pesticide formulations has been studied by analyzing effects of 7 active ingredients of pesticides (AIas) and 10 commercial formulations based on them (AIfs) on the function of a wide range of enzyme assay systems differing in complexity (single-, coupled, and three-enzyme assay systems). Results have been compared with the effects of AIas and AIfs on bioluminescence of the luminous bacterium Photobacterium phosphoreum. Mostly, AIfs produce a considerably stronger inhibitory effect on the activity of enzyme assay systems and bioluminescence of the luminous bacterium than AIas, which confirms the contribution of formulants to toxicological properties of the pesticide formulation. Results of the current study demonstrate that inert ingredients are not ecotoxicologically safe and can considerably augment the inhibitory effect of pesticide formulations; therefore, their use should be controlled more strictly. Circular dichroism and fluorescence spectra of the enzymes used for assays do not show any changes in the protein structure in the presence of commercial pesticide formulations during the assay procedure. This finding suggests that pesticides produce the inhibitory effect on enzymes through other mechanisms."
nagycited4,Guy,YES,"Queiros, Libania; Aguiar, Nuno; Pereira, Patricia; Goncalves, Fernando J. M.; Alves, Artur; Pereira, Joana Luisa",Recommended rates of azoxystrobin and tebuconazole seem to be environmentally safe but ineffective against target fungi,ECOTOXICOLOGY,32,102,113,10.1007/s10646-023-02619-w,2023,"The use of fungicides in agriculture has been playing a role in the enhancement of agricultural yields through the control of pathogens causing serious diseases in crops. Still, adverse environmental and human health effects resulting from its application have been reported. In this study, the possibility of readjusting the formulation of a commercial product combining azoxystrobin and tebuconazole (active ingredients - AIs; Custodia (R)) towards environmentally safer alternative(s) was investigated. Specifically, the sensitivity of non-target aquatic communities to each AI was first evaluated by applying the Species Sensitivity Distributions (SSDs) approach. Then, mixtures of these AIs were tested in a non-target organism (Raphidocelis subcapitata) denoting sensitivity to both AIs as assessed from SSDs. The resulting data supported the design of the last stage of this study, where mixtures of those AIs at equivalent vs. alternative ratios and rates as in the commercial formulation were tested against two target fungal species: Pyrenophora teres CBS 123929 and Rhynchosporium secalis CBS 110524. The comparison between the sensitivity of non-target aquatic species and the corresponding efficacy towards target fungi revealed that currently applied mixture and rates of these AIs are generally environmentally safe (antagonistic interaction; concentrations below the EC1 for R. subcapitata and generally below the HC5 for aquatic non-target communities), but ineffective against target organisms (maximum levels of inhibition of 70 and 50% in P. teres CBS 123929 and R. secalis CBS 110524, respectively). Results additionally suggest a potentiation of the effects of the AIs by the other formulants added to the commercial product at tested rates. Overall, this study corroborates that commercial products can be optimized during design stages based on a systematic ecotoxicological testing for ingredient interactions and actual efficacy against targets. This could be a valuable pathway to reduce environmental contamination during transition to a more sustainable agricultural production."
nagycited5,Guy,NO,"Pasupuleti, Raghavendra Rao; Ku, Yi-Jia; Tsai, Tseng-Yu; Hua, Hung-Ta; Lin, Yu-Chia; Shiea, Jentaie; Huang, Po-Chin; Andaluri, Gangadhar; Ponnusamy, Vinoth Kumar",Novel fast pesticides extraction (FaPEx) strategy coupled with UHPLC-MS/ MS for rapid monitoring of emerging pollutant fipronil and its metabolite in food and environmental samples,ENVIRONMENTAL RESEARCH,217,NA,NA,10.1016/j.envres.2022.114823,2023,"In this work, we demonstrated a new, environmental-friendly and effective sample preparation strategy named 'in-syringe-assisted fast pesticides extraction (FaPEx)' technique coupled with LC-MS/MS for the rapid identi-fication and monitoring of emerging pollutant fipronil and its metabolite fipronil sulfone in chicken egg and environmental soil samples. FaPEx strategy comprising of two simple steps. Firstly, the sample was placed in the syringe and extracted using low-volume acetonitrile with NaCl and anhydrous MgSO4 salts. Secondly, the extractant was passed through in-syringe-based solid-phase extraction (SPE) kit containing cleanup sorbents and salt combinations (C18, primary secondary amine, and anhydrous MgSO4) for the cleanup process. Then, the obtained clean extractant was injected into LC-MS/MS for the quantification of target analytes. Various important parameters influencing the FaPEx performances, such as solvent type, salt type, salt amount, sorbent type, and amount, were examined and optimized. The method validation results showed excellent linearity with high correlation coefficients were >= 0.99. The estimated LODs were between 0.05-0.07 mu g/kg, and LOQs ranged between 0.1-0.25 mu g/kg for target analytes in both egg and soil sample matrices, and precision values were <= 7.90%. The developed method was applied to commercial chicken egg samples and environmental soil samples analysis. Spiked recoveries ranged between 88.75-110.91% for egg samples with RSDs <= 7.42% and 82.47-107.46% for soil samples with RSDs <7.37%. These results proved that the developed sample preparation method is a simple, fast, green, low-cost, and efficient method for the analysis of fipronil and its metabolites in food and environmental samples. Thus, this method can be applied as an alternative analytical methodology in routine and standard food and environmental testing laboratories."
nagycited6,Guy,NO,"Wei, Nuo; Hou, Chaoqun; Liu, Zirui; Liang, Qianwei; Lv, Ze; Meng, Xiaohan; Feng, Jianguo",Preparation of fenpropathrin nanoemulsions for eco-friendly management of Helicoverpa armigera: Improved insecticidal activity and biocompatibility,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,656,NA,NA,10.1016/j.colsurfa.2022.130442,2023,"In this study, the ratio, dosage of surfactants, and emulsification process were selected. The prepared fenpro-pathrin nanoemulsion exhibited suitable stability and remarkable insecticidal activity against Helicoverpa armigera. The optimal formula in compliance with the standard of FAO was obtained. Fenpropathrin (10 wt%) and ethoxylated castor oil (EL-10: EL-40 = 2: 1, 9 wt%) were dissolved, mixed with hydrocarbon solvent (S-200, 8 wt%) and replenished with deionized water to obtain 100 wt%. The nanoemulsion droplets showed small contact angle and high adhesion work onto corn leaves, indicating that the nanoemulsions exhibited excellent wetting, adhesion and stretching capabilities. Compared with commercial emulsifiable concentrate (EC), the nanoemulsion had lower LC50 (50.01 mg L-1) against the third instar larva of Helicoverpa armigera. This was due to the body of larvae becoming completely darkened, shriveled and incapacitated shortly after treatment. The LC50 of the fenpropathrin nanoemulsion on Eisenia fetida was 96.60 and 47.99 mg kg-1 after 7 and 14 days, respectively. This indicated low toxicity to E. fetida. The L02 cell viability after 24 and 48 h of nanoemulsion treatment was 85.32 % and 68.95 %, respectively. In addition, the fenpropathrin nanoemulsion showed a lower apoptosis rate against L02 cells (8.52 %) than EC (63.18 %) after 24 h, indicating that the nanoemulsion had low cytotoxicity against L02 cells. In general, the utilization and environmental performance of pesticides were improved, with less cytotoxicity. This study will facilitate the preparation and application of nanoemulsions for lipophilic pesticide to enhance insecticidal activity, lower cytotoxicity and improve environmental compatibility."
nagycited7,Guy,YES,"Bordin, Eduarda Roberta; Yamamoto, Flavia Yoshie; Mannes, Yorrannys; Munhoz, Renan Cesar; Muelbert, Juan Ramon Esquivel; de Freitas, Adriane Martins; Cestari, Marta Margarete; Ramsdorf, Wanessa Algarte",Sublethal effects of the herbicides atrazine and glyphosate at environmentally relevant concentrations on South American catfish (Rhamdia quelen) embryos,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,98,NA,NA,10.1016/j.etap.2022.104057,2023,"The objective of this work was to evaluate the effects following exposure (96 h) of South American catfish (R. quelen) embryos to active ingredients and commercial formulations from atrazine and glyphosate, isolated and in mixtures, at environmentally relevant concentrations. While the survival rates were not affected, sublethal effects were evidenced after exposure. The most frequent deformities were fin damage and axial and thoracic damage. The mixture of active ingredients caused an increase in SOD and GST, differing from the treatment with the mixture of commercial formulations. The activity of AChE was significantly reduced following the treatment with the active ingredient atrazine and in the mixture of active ingredients. In general, herbicide mixtures were responsible for causing more toxic effects to R. quelen embryos. Therefore, these responses showed to be suitable biomarkers of herbicides' exposure, in addition to generating more environmentally relevant baseline data for re-stablishing safety levels of these substances in aquatic bodies."
nagycited8,Guy,NO,"Duchet, Claire; Mitchell, Chelsea J.; McIntyre, Jenifer K.; Stark, John D.",Chronic toxicity of three formulations of neonicotinoid insecticides and their mixture on two daphniid species: Daphnia magna and Ceriodaphnia dubia,AQUATIC TOXICOLOGY,254,NA,NA,10.1016/j.aquatox.2022.106351,2023,"Neonicotinoid insecticides represent nearly a quarter of the global insecticide market and are widely used in agriculture but also for lawn, garden care, and pest control. They are highly water-soluble, persistent in soil, may enter the aquatic compartment via spray drift, runoff, or leaching, and contribute to downstream aquatic toxicity. Although insects appear to be the most sensitive group to neonicotinoids, other groups, such as crus-taceans, may also be affected. Furthermore, most studies focus on single-insecticide exposure and very little is known concerning the impact of neonicotinoid mixtures on aquatic invertebrates. The present study was designed to test potential toxicological effects of an environmentally relevant mixture of imidacloprid, clothia-nidin, and thiamethoxam on populations of Ceriodaphnia dubia and Daphnia magna under controlled conditions. Chronic toxicity tests were conducted in the laboratory, and survival and reproduction were measured for both species under environmentally relevant, 'worst-case' concentrations for each compound separately and in combination as pesticides are often detected as mixtures in aquatic environments. The neonicotinoids did not appear to affect the survival of C. dubia and D. magna. Reproduction of C. dubia was affected by the mixture whereas all three individual insecticides as well as the mixture caused a significant reduction in the reproduction of D. magna. Our results highlight the complexity of pesticide toxicity and show that traditional toxicological approaches such as, acute mortality studies and tests with single compounds can underestimate negative impacts that occur in the environment."
nagycited9,Guy,NO,"Tu, Le Hoang; Grieneisen, Michael L.; Wang, Ruoyu; Watanabe, Hirozumi; Zhang, Minghua",Assessment of agricultural pesticide inert ingredient transport following modeling approach: Case study of two formulation agents in Sacramento River watershed,JOURNAL OF ENVIRONMENTAL MANAGEMENT,330,NA,NA,10.1016/j.jenvman.2022.117123,2023,"This research provides the first assessment of the environmental fate and transport of agricultural pesticide formulation agents following a dynamic modeling approach. Two formulation agents of toxicological concern, Naphthalene and Solvent Naphtha (Petroleum), Heavy Aromatic, were simulated from their usage in commercially-applied pesticides. The Soil and Water Assessment Tool (SWAT) was applied to simulate these formulation agents during 2011-2014 in the agriculturally intensive Sacramento River watershed. The sensitivity and uncertainty of some key parameters were analyzed. The predicted transport masses of these formulation agents in surface water were strongly associated with rainfall. While predicted transport masses were quite small at the watershed scale (<0.01% of applied masses), they were 26-31 times higher in certain locales at the subbasin level. Since many formulation agents are widely used in pesticides throughout this and other agri-culturally impacted watersheds, their potential risks in the environment need more thorough investigation by modeling and monitoring, especially for areas with heavy usage."
nagycited10,Guy,NO,"Battisti, Lucas; Potrich, Michele; Lozano, Everton Ricardi; dos Reis Martinez, Claudia Bueno; Sofia, Silvia Helena",Review on the sublethal effects of pure and formulated glyphosate on bees: Emphasis on social bees,JOURNAL OF APPLIED ENTOMOLOGY,147,1,18,10.1111/jen.13089,2023,"Bees are declining worldwide, and the use of pesticides has been linked to this problem. Studies show that even herbicides can negatively impact bees, causing death or compromising health. As a result, concern about the use of glyphosate (GLY) has increased, as it is the most sold pesticide. Studies have shown that exposure of bees to GLY can trigger sublethal effects. Considering the speed with which information is published, reviews become important for the integration of knowledge, aiding understanding of the topic. Therefore, the present study aimed to review the literature on the sublethal effects of GLY and the different commercial formulations on bees. After the literary review, it was observed that the exposition, acute and chronic, of larvae and adults of social and solitary bees, to GLY and its formulations, can trigger alterations in gene expression, enzyme functioning, oxidative metabolism, cell/tissue structure, intestinal microbiota diversity, learning, food consumption, flight and vertical displacement capacity, circadian cycle and body development of these insects. The most used species in the studies was Apis mellifera L. Studies are still necessary to understand the sublethal effects of GLY on bees, in the medium and long term, on colony homeostasis, especially about the information on the toxicity of some surfactants present in the different commercial formulations."
