STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
nagyrefs1,Guy,YES,"Zhang, XJ; Huang, QX; Zhao, ZZ; Xu, XQ; Li, SK; Yin, H; Li, LL; Zhang, JX; Wang, RB",An Eco- and User-Friendly Herbicide,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"The increasing use of pesticides in agriculture and gardening has caused severe deterioration to both the ecosystem and the health of users (human beings), so there is an urgent need for eco- and user-friendly pesticides. Among a variety of herbicides, paraquat (PQ), frequently used as an effective herbicidal agent worldwide, is well-known for its serious toxicity that has killed, and harmed, thousands of people and countless wildlife such as fish. Herein, we present a facile supramolecular formulation of PQ@cucurbit[7]uril (PQ@CB[7]), prepared by simply mixing PQ with equivalent (molar) CB[7] in water. With addition of CB[7], PQ's cellular uptake was dramatically inhibited. The reactive oxygen species (ROS) generation and the associated apoptosis otherwise induced by PQ in cellular models were both reduced, resulting in increased cellular viability. In a wildtype zebrafish model that is a typical fragile wildlife species in the ecosystem, the supramolecular formulation exhibited significantly reduced hepatotoxicity and increased survival rate, in comparison with those of the fish exposed to free PQ. In a mouse model that is clinically relevant to human being, the administration of PQ@CB[7] significantly alleviated major organ injuries and unusual hematological parameters that were otherwise induced by free PQ, resulting in a significantly increased survival rate. Meanwhile, this formulation maintained effective herbicidal activity that was equivalent to that of free PQ. Taken together, this facile supramolecular PQ formulation is providing not only an extremely rare example of an eco- and user-friendly herbicide that has been desired for decades but also a practical solution for green agriculture.",2019,67,7783,7792,10.1021/acs.jafc.9b00764
nagyrefs2,Guy,YES,"Rocha, O; Neto, AJG; Lima, JCD; Freitas, EC; Miguel, M; Mansano, AD; Moreira, RA; Daam, MA",Sensitivities of three tropical indigenous freshwater invertebrates to single and mixture exposures of diuron and carbofuran and their commercial formulations,ECOTOXICOLOGY,"As compared to their temperate counterparts, few toxicity tests have been conducted so far into the evaluation of the sensitivity of indigenous tropical species to pesticides. Especially mixture toxicity assessments appear to be scarce. To contribute to increase our knowledge in this arena, we evaluated the acute toxicity of diuron and carbofuran and their mixtures to the neotropical oligochaetes Allonais inaequalis and Dero furcatus, and the ostracod Strandesia trispinosa. Tests were performed with both the pure active ingredients, as well as their formulated products. The toxicity of the latter to the three test organisms was generally greater than that of the pure active ingredients, although absolute differences were rather small. The sensitivity of the indigenous species was slightly greater than temperate test species from the same taxonomic groups. The concentration addition conceptual model best described the results of the mixture toxicity data. Derived deviations of this model appeared to be dependent on the test organism and as to whether the pesticides were applied as active ingredients or their commercial products. Reported field concentrations of the two pesticides indicate risks to freshwater biota, especially if they are both present. The test species used in the present study are concluded to be suitable candidates as surrogate test organisms in local pesticide risk evaluations.",2018,27,834,844,10.1007/s10646-018-1921-9
nagyrefs3,Guy,YES,"Zeljezic, D; Zunec, S; Bjelis, M; Benkovic, V; Mladinic, M; Tariba, BL; Pavicic, I; Cermak, AMM; Kasuba, V; Milic, M; Pizent, A; Vrdoljak, AL; Kopjar, N",Effects of the chloro-s-triazine herbicide terbuthylazine on DNA integrity in human and mouse cells,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"Terbuthylazine belongs to the chloro-s-triazine group of herbicides and acts primarily as a photosynthesis inhibitor. The mechanisms of action related to its exposure, relevant both in animals and humans, are still insufficiently investigated. This comprehensive study focused on the outcomes of terbuthylazine exposure at cell level in vitro, and a mice model in vivo. Experiments in vitro were conducted on whole human peripheral blood, isolated lymphocytes, and HepG2 cells exposed for 4 h to terbuthylazine at 8.00, 0.80, and 0.58 ng/mL, which is comparable with current reference values set by the European Commission in 2011. Terbuthylazine cytotoxicity was evaluated using dual fluorescent staining with ethidium bromide and acridine orange on lymphocytes, and CCK-8 colorimetric assay on HepG2 cells. The levels of DNA damage were measured using alkaline and hOGG1-modified comet assays. The potency of terbuthlyazine regarding induction of oxidative stress in vitro was studied using a battery of standard oxidative stress biomarkers. The in vivo experiment was conducted on Swiss albino mice exposed to terbuthlyazine in the form of an active substance and its formulated commercial product Radazin TZ-50 at a daily dose of 0.0035 mg/kg bw for 14 days. Following exposure, the DNA damage levels in leukocytes, bone marrow, liver, and kidney cells of the treated mice were measured using an alkaline comet assay. In vitro results suggested low terbuthylazine cytotoxicity in non-target cells. The highest tested concentration (8.00 ng/mL) reduced lymphocyte viability by 15%, mostly due to apoptosis, while cytotoxic effects in HepG2 cells at the same concentration were negligible. Acute in vitro exposure of human lymphocytes and HepG2 cells to terbuthylazine resulted in low-level DNA instability, as detected by the alkaline comet assay. Further characterization of the mechanisms behind the DNA damage obtained using the hOGG1-modified comet assay indicated that oxidative DNA damage did not prevail in the overall damage. This was further confirmed by the measured levels of oxidative stress markers, which were mostly comparable to control. Results obtained in mice indicate that both the active substance and formulated commercial product of terbuthylazine produced DNA instability in all of the studied cell types. We found that DNA in liver and kidney cells was more prone to direct toxic effects of the parent compound and its metabolites than DNA in leukocytes and bone marrow cells. The overall findings suggest the formation of reactive terbuthylazine metabolites capable of inducing DNA cross-links, which hinder DNA migration. These effects were most pronounced in liver cells in vivo and HepG2 cells in vitro. To provide a more accurate explanation of the observed effects, additional research is needed. Nevertheless, the present study provides evidence that terbuthylazine at concentrations comparable with current reference values possesses toxicological risk because it caused low-level DNA instability, both at cellular and animal organism level, which should be further established in forthcoming studies.",2018,25,19065,19081,10.1007/s11356-018-2046-7
nagyrefs4,Guy,YES,"Panzacchi, S; Mandrioli, D; Manservisi, F; Bua, L; Falcioni, L; Spinaci, M; Galeati, G; Dinelli, G; Miglio, R; Mantovani, A; Lorenzetti, S; Hu, JZ; Chen, J; Perry, MJ; Landrigan, PJ; Belpoggi, F",The Ramazzini Institute 13-week study on glyphosate-based herbicides at human-equivalent dose in Sprague Dawley rats: study design and first in-life endpoints evaluation,ENVIRONMENTAL HEALTH,"Background: Glyphosate-based herbicides (GBHs) are the most widely used pesticides worldwide, and glyphosate is the active ingredient of such herbicides, including the formulation known as Roundup. The massive and increasing use of GBHs results in not only the global burden of occupational exposures, but also increased exposure to the general population. The current pilot study represents the first phase of a long-term investigation of GBHs that we are conducting over the next 5 years. In this paper, we present the study design, the first evaluation of in vivo parameters and the determination of glyphosate and its major metabolite aminomethylphosphonic acid (AMPA) in urine. Methods: We exposed Sprague-Dawley (SD) rats orally via drinking water to a dose of glyphosate equivalent to the United States Acceptable Daily Intake (US ADI) of 1.75 mg/kg bw/day, defined as the chronic Reference Dose (cRfD) determined by the US EPA, starting from prenatal life, i.e. gestational day (GD) 6 of their mothers. One cohort was continuously dosed until sexual maturity (6-week cohort) and another cohort was continuously dosed until adulthood (13-week cohort). Here we present data on general toxicity and urinary concentrations of glyphosate and its major metabolite AMPA. Results: Survival, body weight, food and water consumption of the animals were not affected by the treatment with either glyphosate or Roundup. The concentration of both glyphosate and AMPA detected in the urine of SD rats treated with glyphosate were comparable to that observed in animals treated with Roundup, with an increase in relation to the duration of treatment. The majority of glyphosate was excreted unchanged. Urinary levels of the parent compound, glyphosate, were around 100-fold higher than the level of its metabolite, AMPA. Conclusions: Glyphosate concentrations in urine showed that most part of the administered dose was excreted as unchanged parent compound upon glyphosate and Roundup exposure, with an increasing pattern of glyphosate excreted in urine in relation to the duration of treatment The adjuvants and the other substances present in Roundup did not seem to exert a major effect on the absorption and excretion of glyphosate. Our results demonstrate that urinary glyphosate is a more relevant marker of exposure than AMPA in the rodent model.",2018,17,NA,NA,10.1186/s12940-018-0393-y
nagyrefs5,Guy,YES,"Nielsen, LN; Roager, HM; Casas, ME; Frandsen, HL; Gosewinkel, U; Bester, K; Licht, TR; Hendriksen, NB; Bahl, MI",Glyphosate has limited short-term effects on commensal bacterial community composition in the gut environment due to sufficient aromatic amino acid levels,ENVIRONMENTAL POLLUTION,"Recently, concerns have been raised that residues of glyphosate-based herbicides may interfere with the homeostasis of the intestinal bacterial community and thereby affect the health of humans or animals. The biochemical pathway for aromatic amino acid synthesis (Shikimate pathway), which is specifically inhibited by glyphosate, is shared by plants and numerous bacterial species. Several in vitro studies have shown that various groups of intestinal bacteria may be differently affected by glyphosate. Here, we present results from an animal exposure trial combining deep 16S rRNA gene sequencing of the bacterial community with liquid chromatography mass spectrometry (LC-MS) based metabolic profiling of aromatic amino acids and their downstream metabolites. We found that glyphosate as well as the commercial formulation Glyfonova (R) 450 PLUS administered at up to fifty times the established European Acceptable Daily Intake (ADI = 0.5 mg/kg body weight) had very limited effects on bacterial community composition in Sprague Dawley rats during a two-week exposure trial. The effect of glyphosate on prototrophic bacterial growth was highly dependent on the availability of aromatic amino acids, suggesting that the observed limited effect on bacterial composition was due to the presence of sufficient amounts of aromatic amino acids in the intestinal environment. A strong correlation was observed between intestinal concentrations of glyphosate and intestinal pH, which may partly be explained by an observed reduction in acetic acid produced by the gut bacteria. We conclude that sufficient intestinal levels of aromatic amino acids provided by the diet alleviates the need for bacterial synthesis of aromatic amino acids and thus prevents an antimicrobial effect of glyphosate in vivo. It is however possible that the situation is different in cases of human malnutrition or in production animals. (C) 2017 The Authors. Published by Elsevier Ltd.",2018,233,364,376,10.1016/j.envpol.2017.10.016
nagyrefs6,Guy,NO,"Mostafalou, S; Abdollahi, M",Pesticides: an update of human exposure and toxicity,ARCHIVES OF TOXICOLOGY,"Pesticides are a family of compounds which have brought many benefits to mankind in the agricultural, industrial, and health areas, but their toxicities in both humans and animals have always been a concern. Regardless of acute poisonings which are common for some classes of pesticides like organophosphoruses, the association of chronic and sub-lethal exposure to pesticides with a prevalence of some persistent diseases is going to be a phenomenon to which global attention has been attracted. In this review, incidence of various malignant, neurodegenerative, respiratory, reproductive, developmental, and metabolic diseases in relation to different routes of human exposure to pesticides such as occupational, environmental, residential, parental, maternal, and paternal has been systematically criticized in different categories of pesticide toxicities like carcinogenicity, neurotoxicity, pulmonotoxicity, reproductive toxicity, developmental toxicity, and metabolic toxicity. A huge body of evidence exists on the possible role of pesticide exposures in the elevated incidence of human diseases such as cancers, Alzheimer, Parkinson, amyotrophic lateral sclerosis, asthma, bronchitis, infertility, birth defects, attention deficit hyperactivity disorder, autism, diabetes, and obesity. Most of the disorders are induced by insecticides and herbicides most notably organophosphorus, organochlorines, phenoxyacetic acids, and triazine compounds.",2017,91,549,599,10.1007/s00204-016-1849-x
nagyrefs7,Guy,NO,"Yusoff, SNM; Kamari, A; Aljafree, NFA",A review of materials used as carrier agents in pesticide formulations,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,"Development of environmentally-friendly pesticides for sustainable agriculture is a key focus in the agrochemical industry. Identifying novel active ingredients and improving the delivery system of a pesticide are the main challenges in developing new pesticides. Strategies for the control of delivery systems for slow and sustained release of agrochemicals are of great interest to environmental scientists. In this context, the selection of materials to be used as carrier agents in pesticide formulations is crucial. In recent years, the efficacy of several materials for agrochemical formulations has been evaluated by researchers. These materials have unique properties, such as being biodegradable and biocompatible, and having low toxicity and involving a simple preparation process. This review summarises recent applications of various materials in pesticide formulations. The application of the materials can effectively encapsulate or bind the pesticide's active ingredients in the material's matrix with a sustained release profile and slow mobility in soil. This review also discusses some issues and concerns that are faced in formulating pesticide products.",2016,13,2977,2994,10.1007/s13762-016-1096-y
nagyrefs8,Guy,YES,"Freydier, L; Lundgren, JG","Unintended effects of the herbicides 2,4-D and dicamba on lady beetles",ECOTOXICOLOGY,"Weed resistance to glyphosate and development of new GM crops tolerant to 2,4-dichlorophenoxyacetic acid (2,4-D) and dicamba is expected to lead to increased use of these herbicides in cropland. The lady beetle, Coleomegilla maculata is an important beneficial insect in cropland that is commonly used as an indicator species in safety evaluations of pesticides. Here, we examined the lethal and non-lethal effects of 2,4-D and dicamba active ingredients and commercial formulations to this lady beetle species, and tested for synergistic effects of the herbicides. Second instars of lady beetles were exposed to an experimental treatment, and their mortality, development, weight, sex ratio, fecundity, and mobility was evaluated. Using similar methods, a dose-response study was conducted on 2,4-D with and without dicamba. The commercial formulation of 2,4-D was highly lethal to lady beetle larvae; the LC90 of this herbicide was 13 % of the label rate. In this case, the inactive ingredients were a key driver of the toxicity. Dicamba active ingredient significantly increased lady beetle mortality and reduced their body weight. The commercial formulations of both herbicides reduced the proportion of males in the lady beetle population. The herbicides when used together did not act synergistically in their toxicity toward lady beetles versus when the chemistries were used independently. Our work shows that herbicide formulations can cause both lethal and sublethal effects on non-target, beneficial insects, and these effects are sometimes driven by the inactive ingredients. The field-level implications of shifts in weed management practices on insect management programs should receive further attention.",2016,25,1270,1277,10.1007/s10646-016-1680-4
nagyrefs9,Guy,YES,"Defarge, N; Takacs, E; Lozano, VL; Mesnage, R; de Vendomois, JS; Seralini, GE; Szekacs, A",Co-Formulants in Glyphosate-Based Herbicides Disrupt Aromatase Activity in Human Cells below Toxic Levels,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"Pesticide formulations contain declared active ingredients and co-formulants presented as inert and confidential compounds. We tested the endocrine disruption of co-formulants in six glyphosate-based herbicides (GBH), the most used pesticides worldwide. All co-formulants and formulations were comparably cytotoxic well below the agricultural dilution of 1% (18-2000 times for co-formulants, 8-141 times for formulations), and not the declared active ingredient glyphosate (G) alone. The endocrine-disrupting effects of all these compounds were measured on aromatase activity, a key enzyme in the balance of sex hormones, below the toxicity threshold. Aromatase activity was decreased both by the co-formulants alone (polyethoxylated tallow amine-POEA and alkyl polyglucoside-APG) and by the formulations, from concentrations 800 times lower than the agricultural dilutions; while G exerted an effect only at 1/3 of the agricultural dilution. It was demonstrated for the first time that endocrine disruption by GBH could not only be due to the declared active ingredient but also to co-formulants. These results could explain numerous in vivo results with GBHs not seen with G alone; moreover, they challenge the relevance of the acceptable daily intake (ADI) value for GBHs exposures, currently calculated from toxicity tests of the declared active ingredient alone.",2016,13,NA,NA,10.3390/ijerph13030264
nagyrefs10,Guy,NO,"Ouzzani, M; Hammady, H; Fedorowicz, Z; Elmagarmid, A",Rayyan-a web and mobile app for systematic reviews,SYSTEMATIC REVIEWS,"Background: Synthesis of multiple randomized controlled trials (RCTs) in a systematic review can summarize the effects of individual outcomes and provide numerical answers about the effectiveness of interventions. Filtering of searches is time consuming, and no single method fulfills the principal requirements of speed with accuracy. Automation of systematic reviews is driven by a necessity to expedite the availability of current best evidence for policy and clinical decision-making. We developed Rayyan (http://rayyan.qcri.org), a free web and mobile app, that helps expedite the initial screening of abstracts and titles using a process of semi-automation while incorporating a high level of usability. For the beta testing phase, we used two published Cochrane reviews in which included studies had been selected manually. Their searches, with 1030 records and 273 records, were uploaded to Rayyan. Different features of Rayyan were tested using these two reviews. We also conducted a survey of Rayyan's users and collected feedback through a built-in feature. Results: Pilot testing of Rayyan focused on usability, accuracy against manual methods, and the added value of the prediction feature. The taster review (273 records) allowed a quick overview of Rayyan for early comments on usability. The second review (1030 records) required several iterations to identify the previously identified 11 trials. The suggestions and hints,based on the prediction model,appeared as testing progressed beyond five included studies. Post rollout user experiences and a reflexive response by the developers enabled real-time modifications and improvements. The survey respondents reported 40% average time savings when using Rayyan compared to others tools, with 34% of the respondents reporting more than 50% time savings. In addition, around 75% of the respondents mentioned that screening and labeling studies as well as collaborating on reviews to be the two most important features of Rayyan. As of November 2016, Rayyan users exceed 2000 from over 60 countries conducting hundreds of reviews totaling more than 1.6M citations. Feedback from users, obtained mostly through the app web site and a recent survey, has highlighted the ease in exploration of searches, the time saved, and simplicity in sharing and comparing include-exclude decisions. The strongest features of the app, identified and reported in user feedback, were its ability to help in screening and collaboration as well as the time savings it affords to users. Conclusions: Rayyan is responsive and intuitive in use with significant potential to lighten the load of reviewers.",2016,5,NA,NA,10.1186/s13643-016-0384-4
