AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT,...10
Ferguson S.; Mesnage R.; Antoniou M.N.,Cytotoxicity Mechanisms of Eight Major Herbicide Active Ingredients in Comparison to Their Commercial Formulations,2022,Toxics,10,NA,NA,10.3390/toxics10110711,"Commercial pesticide formulations contain co-formulants, which are generally considered as having no toxic effects in mammals. This study aims to compare the toxicity of 8 major herbicide active ingredients–namely glyphosate, dicamba, 2,4-D, fluroxypyr, quizalofop-p-ethyl, pendimethalin, propyzamide and metazachlor–with a typical commercial formulation of each active ingredient. Cytotoxicity and oxidative stress capability was assessed in human hepatoma HepG2 cells. Using an MTT assay, formulations of glyphosate (Roundup Probio), fluroxypyr (Hurler), quizalofop-p-ethyl (Targa Super) and dicamba (Hunter) were more toxic than the active ingredient alone. Metazachlor and its formulation Sultan had similar cytotoxicity profiles. Cytotoxicity profiles were comparable in immortalised human fibroblasts. Toxilight necrosis assays showed the formulation of metazachlor (Sultan50C) resulted in significant membrane disruption compared to the active ingredient. Generation of reactive oxygen species was detected for glyphosate, fluroxypyr, pendimethalin, quizalofop-p-ethyl, the formulation of 2,4-D (Anti-Liserons), and dicamba and its formulation Hunter. Further testing of quizalofop-p-ethyl and its formulation Targa Super in the ToxTracker assay system revealed that both products induced oxidative stress and an unfolded protein response. In conclusion, these results show that most herbicide formulations tested in this study are more toxic than their active ingredients in human tissue culture cell model systems. The results add to a growing body of evidence, which implies that commercial herbicide formulations and not just their active ingredients should be evaluated in regulatory risk assessment of pesticides. © 2022 by the authors.",NA
Epstein A.; Maiteki-Sebuguzi C.; Namuganga J.F.; Nankabirwa J.I.; Gonahasa S.; Opigo J.; Staedke S.G.; Rutazaana D.; Arinaitwe E.; Kamya M.R.; Bhatt S.; Rodríguez-Barraquer I.; Greenhouse B.; Donnelly M.J.; Dorsey G.,Resurgence of malaria in Uganda despite sustained indoor residual spraying and repeated long lasting insecticidal net distributions,2022,PLOS Global Public Health,2,NA,NA,10.1371/journal.pgph.0000676,"Five years of sustained indoor residual spraying (IRS) of insecticide from 2014 to 2019, first using a carbamate followed by an organophosphate, was associated with a marked reduction in the incidence of malaria in five districts of Uganda. We assessed changes in malaria incidence over an additional 21 months, corresponding to a change in IRS formulations using clothianidin with and without deltamethrin. Using enhanced health facility surveillance data, our objectives were to 1) estimate the impact of IRS on monthly malaria case counts at five surveillance sites over a 6.75 year period, and 2) compare monthly case counts at five facilities receiving IRS to ten facilities in neighboring districts not receiving IRS. For both objectives, we specified mixed effects negative binomial regression models with random intercepts for surveillance site adjusting for rainfall, season, care-seeking, and malaria diagnostic. Following the implementation of IRS, cases were 84% lower in years 4–5 (adjusted incidence rate ratio [aIRR] = 0.16, 95% CI 0.12–0.22), 43% lower in year 6 (aIRR = 0.57, 95% CI 0.44–0.74), and 39% higher in the first 9 months of year 7 (aIRR = 1.39, 95% CI 0.97–1.97) compared to pre-IRS levels. Cases were 67% lower in IRS sites than non-IRS sites in year 6 (aIRR = 0.33, 95% CI 0.17–0.63) but 38% higher in the first 9 months of year 7 (aIRR = 1.38, 95% CI 0.90–2.11). We observed a resurgence in malaria to pre-IRS levels despite sustained IRS. The timing of this resurgence corresponded to a change of active ingredient. Further research is needed to determine causality. © 2022 Epstein et al.",NA
Suder D.; Socha M.,Roundup in the aquatic environment and fish reproduction,2022,Animal Science and Genetics,18,1,10,10.5604/01.3001.0015.9691,"This review paper aims to present the effects of Roundup in the aquatic environment on fish reproduction. It describes the mechanism of action and toxic effects of Roundup and its active ingredient glyphosate on non-target organisms — flatworms, amphibians, and mammals. Commercial formulations based on glyphosate are dangerous for living organisms, as they lead to behavioural disorders, reduce reproductive parameters, and may cause metabolic disorders. In fish, Roundup causes damage to the liver, brain, and gills, and triggers degenerative changes in the kidneys. Sub-lethal doses of this pesticide impair locomotor activity and damage DNA through oxidative stress. Many experiments show toxic effects of Roundup on fish reproduction. Reported anomalies include disturbances in embryogenesis (e.g. pericardial oedema or tail bend), reduced embryo survival, and an increase in the number of deformed larvae. Roundup and glyphosate inhibit ovarian follicular growth in adult females. Adult males exposed to the pesticide have inferior semen quality, with limited sperm concentration and motility. Roundup represents a serious threat to land and water organisms, and therefore its use must be limited. © 2022, Polish Society of Animal Production. All rights reserved.",NA
Marcantonio A.S.; França F.M.; Santos D.S.; Martins A.M.C.R.P.F.; Hipólito M.; Schalch S.H.C.; Viriato C.; Ferreira C.M.,Histopathological changes in Lithobates catesbeianus tadpoles used as biomarkers of pesticide poisoning; [Alterações histopatológicas utilizadas em girinos de Lithobates catesbeianus como biomarcadores de intoxicações causadas por pesticidas],2022,Boletim do Instituto de Pesca,48,NA,NA,10.20950/1678-2305/bip.2022.48.e711,"The use of biological indicators has increased in recent years with the aim of investigating environmental pollution in aquatic environments that are vulnerable to the constant use of pesticides. Some biomarkers can help assess the health status, indicating physical, metabolic, and behavioral changes under acute and sublethal poisoning. The mixture of the active ingredients cyproconazole and pico-xystrobin is a widely used fungicide for the control of pests in cotton, rice, coffee, sugarcane, corn, soybean, and wheat. The objective of this study was to verify the occurrence of possible histopathological lesions in the liver and kidneys of bullfrog tadpoles (Lithobates catesbeianus) caused by a fungicide commercial formula composed of picoxystrobin and cyproconazole. The animals were subjected to different concentrations of the fungicide to determine the median lethal concentration (LC50-96h = 0.05 mg L-1), that is, the lethal dose for 50% of the animals in 96 h. After determining the value of LC50-96h, the animals were subjected to three sublethal concentrations (LC50-96h/2, LC50-96h/10, and LC-). Through histological biomarkers, it was verified that this fungicide changed the morphology 50-96h/100 of the animals’ kidney and liver tissues in a chronic way, impairing the functioning of organs that are essential for their survival and metamorphosis, which can result in an imbalance in the biodiversity of aquatic ecosystems. © 2022, Instytut Technologii Drewna. All rights reserved.",NA
Kannan M.; Mohan M.; Elango K.; Govindaraju K.; Mani M.,Principles and Application of Nanotechnology in Pest Management,2022,Trends in Horticultural Entomology,NA,49,79,10.1007/978-981-19-0343-4_2,"The word ŉano’ is generally used for materials having size range of 1-100 nm. However, it is also characteristic that these materials would display different properties from bulk materials as a result of their reduced size. This book focused on traditional strategies used for insect pest’s management and potential of nanomaterials in insect pest control as modern approaches of nanoscience and nanotechnology. Nanopesticide products could tender a variety of profits including amplified efficacy, durability and a decline in the amounts of active ingredients that require to be used. A number of formulation types have been recommended including nanoemulsions, nanocapsules and products containing immaculate engineered nanoparticles like metals, metal oxides and nanoclays. Nanotechnological deliverables like nanomaterials, encapsulated nanoscale plant production and protection inputs such as fertilizers, pesticides, herbicides, plant growth regulators and other formulations using surfactants, polymers, dendrimers, surface ionic attachments and other related mechanisms can be utilized in controlled release of agricultural and horticultural inputs. Nanoparticles present possibilities for well-organized, effective control of pests in crops and also transformation of green revolution to ever green revolution. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2022.",NA
Ferreira R.A.A.; Kfouri M.S.; Pires-Oliveira R.; Gonçalves A.C.; Cardoso-Gustavson P.,Physicochemical Properties of Inorganic Nanopesticides/Nanofertilizers in Aqueous Media and Tank Mixtures,2022,Inorganic Nanopesticides and Nanofertilizers: A View from the Mechanisms of Action to Field Applications,NA,253,270,10.1007/978-3-030-94155-0_8,"Nanotechnology is still pointed out as a promising technology in the crop protection market, mainly in a sustainable scenario of reducing the amount of active ingredient (AI) applied in the field. Although the benefits of this technology in terms of safety, efficiency, sustainability, and performance in the field are undeniable, a huge regulatory issue remains to be overcome. Apart from the several promises and challenges in the development, scale up, and use of the nanoformulations in the field, the global market shows a stable growth of this technology and a movement toward innovation by using sustainable components and new application models. All the known nanosystems’ advantages are thoroughly explained by the physicochemistry of colloids. This technology might provide more stable formulations in terms of shelf-life, a higher field performance with a lower applied dose of the AI, and less issues in the tank mixtures. Indeed, a rising technology in precision agriculture is the application of nanoformulations through drones, which can finally overspread their use in the field. In this chapter, we provide an overview of the global market for nanofertilizers, besides deepening on the main physicochemical properties linked to the higher stability of nanoformulations over conventional ones, as well as their expected performance in the tank mix applications in the field. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2022.",NA
Khan A.; Ahmad F.,Nanomaterials as Unique Carriers in Agricultural Practices for Plant Growth and Development: A State of Current Knowledge,2022,Plant and Nanoparticles,NA,281,314,10.1007/978-981-19-2503-0_11,"In the present situation, it is critical to meet the nutritional needs of the world’s rising population. Nearly one-third of crops are affected in conventional farming due to pathogens infestation. Nanotechnology can change agricultural production and improve plant growth by facilitating the cost-effective management of natural resources and other necessary inputs. Nanomaterials (NMs) in agriculture offer a once-in-a-lifetime opportunity to improve crop yield and preserve soil health. Potential NMs uptake in soil-plant systems and positive and negative effects in various crops have been observed in several studies. Because of their unique properties, NMs have received much attention in agriculture. NMs and nanotechnology improve the stability and dispersion of active ingredients, reduce residual pollution and labor costs, and maintain agricultural systems’ sustainability. Many nanomaterials-based formulations have been extensively used for plant growth and development, including nano-based associated pesticides and fertilizers in the modern agricultural system. Understanding the interactions between plants and NMs opens up new paths for improving agricultural crop yield and quality. This chapter helps readers better understand the role of NMs in plant growth and development. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2022.",NA
"Kfouri M.S.; Da Silva C.F.; Gonçalves H.; Ferreira R.A.A.; De Castro Celestrin V.; Ramos E.C., Jr.; Gonçalves A.; Jordão A.M.; Mendonça B.",Protoporphyrinogen Oxidase (PPO) Inhibitor Oil Dispersion Formulation as an Ecofriendly All-in-One Option for Broadleaf Control,2022,ASTM Special Technical Publication,NA,59,79,10.1520/STP164120210059,"Weed control using green-based products is mandatory for a sustainable agriculture. Saflufenacil is a protoporphyrinogen oxidase (PPO) inhibitor widely used for preplant control of broadleaf weeds, and it can be combined with other active ingredients, such as glyphosate, as a result of their synergistic effect in the field. Currently, the available commercial products are formulated as waterdispersible granules (WDGs) or aqueous suspension concentrates (SCs) and the application requires an oil-based tank mix adjuvant to ensure biological efficacy. In this scenario, an oil-dispersion (OD) formulation would represent an interesting option for enhancing sustainability of the system because it uses an all-in-one concept and removes the need for a tank mix adjuvant. On the other hand, oil dispersions are usually challenging to formulate and stabilize. In this work, we present a market-load saflufenacil OD formulation to replace both WDG and SC formulation systems applied with a tank mix adjuvant. Our solution delivers a higher rate of control of some broadleaves than current products, involves lower doses of chemicals applied on the field, and achieves a highly stable formulation through an easy process with few components. The project was carried out in four steps: (1) an extensive screening of components using an emulsion stability protocol for selection; (2) rheology profile studies; (3) a complete stability study according to the Collaborative International Pesticides Analytical Council (CIPAC) and Brazilian standards (Associação Brasileira de Normas Técnicas [ABNT]); and (4) biological efficacy trials in the greenhouse and field for control of Conyza spp., Ipomea spp., and other broadleaf species. The deliveries to be presented comprise a process to formulate in two simple steps an OD formulation with excellent stability and rheological profiles even in the absence of a thickener agent. Our saflufenacil OD formulation showed similar and superior performance in the control of Conyza spp. and Ipomea spp. weeds, respectively, compared to the benchmark protocol.  © 2022 by ASTM International.",NA
Aftab T.; Hakeem K.R.,Metabolic Engineering in Plants,2022,Metabolic Engineering in Plants,NA,1,413,10.1007/978-981-16-7262-0,"This edited book highlights the plant and cell/organ culture systems, and environmental and genetic transformation-based modulation of biochemical pathways. Special focus is given to microRNA-based technology, heterologous systems expression of enzymes and pathways leading to products of interest, as well as applications using both model and non-model plant species. Metabolic engineering is usually defined as the re-routing of one or more enzymatic reactions to generate new compounds, increase the production of existing compounds, or facilitate the degradation of compounds. Plants are the foundation of numerous compounds which are synthesized via assimilated complex biosynthetic routes. Plants have evolved an incredible arrangement of metabolic pathways leading to molecules/compounds capable of responding promptly and effectively to stress situations imposed by biotic and abiotic factors, some of which supply the ever-growing needs of humankind for natural chemicals, such as pharmaceuticals, nutraceuticals, agrochemicals, food and chemical additives, biofuels, and biomass. However, in foreseeable future we will be forced to think about the accessibility of resources for the generations to come. For these reasons, the book proposes alternative options of food/food supplement, medicines and other essential items, by using plant metabolic engineering approach. This book is of interest to teachers, researchers and academic experts. Also, the book serves as additional reading material for undergraduate and graduate students of biotechnology and molecular biology of plants. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2022.",NA
Fuentes-Campos M.E.; Carranza-Oropeza M.V.,Nanoencapsulation of Neem Oil Using Inulin and Modified Starch for Use as Bioinsecticide,2022,Proceedings of the World Congress on New Technologies,NA,NA,NA,10.11159/icnfa22.127,"Nowadays the use of nanotechnology is increasing in different fields, for example in agriculture the use of nanocarriers for pesticides is important for disease control of plants. Many researchers are focusing on control release formulations (CRF) of bioactive compounds present in essential oils (EOs) as alternatives for reducing the risks to the environment and effects on health. Essential oils contain active metabolites such as terpenes, alkaloids, monoterpenes, limonoids, and others [1]. These metabolites have antifeeding properties against the insects since these when in contact decrease their activity. However, the biggest inconvenience of using essential oils is their chemical instability in the presence of factors such as air, light, dry, and high temperatures which cause rapid evaporation and degradation of the active components [2]. To solve these problems surge nanocarriers that can encapsulate EO through the polymeric matrix for it is important to investigate resources that have advantages as available, feasible, and safe for handling; the polysaccharides as starch, cellulose, chitosan, inulin are examples of these advantages [3]. Our research involves the use of inulin and modified starch as major encapsulating matrices for neem oil formulation using a green method for obtaining nanoparticles of polysaccharides and modification of starch with citric acid, two formulations for encapsulating neem oil were prepared: One with inulin and other with inulin-modified starch using green solvent and conditions as gelatinization temperature [4]. The morphology, physical and chemical characterization was performed by attaining FT-IR, FE-SEM, DLS, and UV-Vis. The stability of solids showed major stability in the inulin matrix, the shape of this matrix was spherical, and uniform compared and inulin-starch. Functional groups of nanoencapsulation of neem were confirmed by FT-IR and finally the characteristic peak the absorbance of neem was detected by UV-Vis at 296nm. © 2022, Avestia Publishing. All rights reserved.",NA
